S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2006-2007,Assam,020760009,A Chik Baptist Convention,Baghpara Union Compound P.O. Khagarpur BongaigaonAssam-,771784.00
2,2006-2007,Assam,020780080,Aaranyak,Samanwoy Path (Survey) P.O. Beltola GuwahatiKamrup Distt. (Assam)-781028,14621565.16
3,2006-2007,Assam,020830001,Adarsh Hindi Vidyalaya,Mariani JorhatAssam-785634,0.00
4,2006-2007,Assam,020780104,Adhoc  Pacifist Organisation,H.No.25 Narikal Basti5th Bye Lane Zoo Narengi Road GuwahatiAssam-781024,0.00
5,2006-2007,Assam,020520001,Agency for Growth and Upliftment of All,Don Bosco Doom Dooma Tinsukia (Assam) -786151,2913430.00
6,2006-2007,Assam,020820017,Aid for the Disabled Samity, MorigaonAssam-782105,239028.00
7,2006-2007,Assam,020780041,AIDs Prevention Society,MonalivClinic & AidsResearch Centre Zoo Narangi Road GuwahatiAssam-781021,18638398.00
8,2006-2007,Assam,020780028,Al-Ameen Charitable Fund Trust,Barpeta  Assam-,692075.00
9,2006-2007,Assam,020780020,Amri Karbi C D Project,Christian Hospital Compound KamrupAssam-782402,0.00
10,2006-2007,Assam,020760007,Amtika Community Development Project,Tukrajhar KokrajharAssam-,2785651.00
11,2006-2007,Assam,020770002,Anchalik Gram Unnyan Parishad,Vill & P.O.:  Jania Distt.- BarpetaAssam-781314,0.00
12,2006-2007,Assam,020780084,Ankan Academy,Vill & P.O.- Puthimari Kamrup Distt.Assam-781380,0.00
13,2006-2007,Assam,020820003,Anwarul Uloom Madrasa Committee,Jaluguti MorigaonAssam-782104,0.00
14,2006-2007,Assam,020780031,ARCHDIOCESE OF GUWAHATI,Kharguli Guwahati Assam-781001,67749040.00
15,2006-2007,Assam,020720005,Asapalli Christian Hostel Trust,P.O.Fulertal  CacharAssam-788106,1401304.11
16,2006-2007,Assam,020780056,Ashadeep,KANAKLATA PATH LACHIT NAGAR GUWAHATIGUWAHATI781007,0.00
17,2006-2007,Assam,020780012,Asom Go Seva Samiti,Gokul Basistha PO: Beltola Guwahati Assam-,0.00
18,2006-2007,Assam,020690001,Assam Baptist Convention,Post Box No. 49 Mission Compound GolaghatAssam-785621,0.00
19,2006-2007,Assam,020750014,Assam Committee on Relief and Development,Lachit Nagar PO Moranhat DibrugarhAssam-,0.00
20,2006-2007,Assam,020820038,Assam Gana Mukti Society,Premnagar Dhing Road NagaonAssam-782002,5561816.00
21,2006-2007,Assam,020780038,Assam Gandhi Smarak Nidhi,Gandhi Nagar  Dist. Kamrup Assam-,0.00
22,2006-2007,Assam,020780027,Assam Imdadiya Hospital Committee,Sijubari P.O Assam Sachivalaya GuwahatiAssam-781006,0.00
23,2006-2007,Assam,020780066,Assam Institute of Management,Navagiri Road Chandmari GuwahatiKamrup (Assam)-781003,9948.00
24,2006-2007,Assam,020630001,Associated Gramya Unnayan Society,Bogidal SivasagarAssam-785640,0.00
25,2006-2007,Assam,020780076,Association for Socio-Cultural and Environmental Development,SBI Officers Colony House No.341st Floor Hatigarh Chari Ali Guwahati781024,0.00
26,2006-2007,Assam,020770001,ATA Bhavkamari Society Dev. Association,Vill-ATA-Bhowkamari P.O.-SarutapaDistt. Barpeta Assam.-,0.00
27,2006-2007,Assam,020780047,ATMA NIRBHAR-EK CHALLENGE,Gopinath Nagar P.O. GuwahatiAssam-781016,107794.22
28,2006-2007,Assam,020780095,Auxilium Reach out,Near Holy Child Higher Secondary School Krishnanagar ChandmariGuwahati Kamrup Metro781005,1190384.00
29,2006-2007,Assam,020820023,Bahumukhi Krishi & Samaj Kalyan Samiti,P.O. Herapati NowgaonAssam-782002,0.00
30,2006-2007,Assam,020640008,Barbhag Bahjani & Khata Unnayan Samittee,Vill-Pub Arora Po Arara PS Nalbari District NalbariAssam-781335,0.00
31,2006-2007,Assam,020800009,Barnibari Yubak Sangha,Barnibari NalbariAssam-781304,0.00
32,2006-2007,Assam,020640007,Bishnu Jyoti Janakalyan Samity,Sonpur Village Nalbari (Assam) -,0.00
33,2006-2007,Assam,020720022,Bishnupriya Manipuri Welfare Trust,P.O. Vivekananda Road Durga Lane SilcharDistt. Cachar (Assam)-788007,0.00
34,2006-2007,Assam,020740020,Bishops House,Tezpur SonitpurAssam-784001,0.00
35,2006-2007,Assam,020740032,Bodo Evangelical Lutherean Church,Udalgiri DarrangAssam-784509,636574.00
36,2006-2007,Assam,020830019,Boloma Yuva Vikash Kendra,P.O. Boloma Via Teok JorhatAssam-785112,0.00
37,2006-2007,Assam,020730003,Bongaigaon Gana Seva Society,Karija Dolaigaon P.O. Box No. 43 Kissan BazarBongaigaon (Assam)-783380,2688453.00
38,2006-2007,Assam,020760004,Boro Baptist Church Association,HQ and PO Tukrajhar BongaigaonChirang783394,2588712.00
39,2006-2007,Assam,020780071,Bureau of Integrated Rural Development,Opposite Doordarshan Kendra R.G. Baruah Road GuwahatiKamrup Distt. (Assam)-781024,0.00
40,2006-2007,Assam,020720004,Burrows Memorial Christian Hospital Society,Banaskandi CacharAssam-788101,372718.00
41,2006-2007,Assam,020810002,Cachar Hill Tribes Synod,Haflong  North CacharAssam-788819,1996250.00
42,2006-2007,Assam,020830003,Carmel Nilaya,Post- Cinnamara  JorhatAssam-785008,0.00
43,2006-2007,Assam,020740001,Catholic Church,Tangla  DarrangAssam-784521,5083467.00
44,2006-2007,Assam,020740002,Catholic Church,Dimakuchi DarrangAssam-784526,1711818.00
45,2006-2007,Assam,020740010,Catholic Church,Rangpara  Sonipur Assam-784505,0.00
46,2006-2007,Assam,020740011,Catholic Church,Borpukhari SonitpurAssam-784174,0.00
47,2006-2007,Assam,020740012,Catholic Church,Tetenbari SonitpurAssam-784171,0.00
48,2006-2007,Assam,020740013,Catholic Church,Borgang SonitpurAssam-784167,0.00
49,2006-2007,Assam,020740015,Catholic Church,Gohpur SonitpurAssam-784168,0.00
50,2006-2007,Assam,020740016,Catholic Church,PO: Nahargari Dholaibil  SonitpurAssam-784182,488325.00
51,2006-2007,Assam,020740017,Catholic Church,Mangaldai  DarrangAssam-784125,1984345.00
52,2006-2007,Assam,020740018,Catholic Church,Rowta DarrangAssam-784508,0.00
53,2006-2007,Assam,020740019,Catholic Church,Ambagaon DarrangAssam-784510,0.00
54,2006-2007,Assam,020740023,Catholic Church,Tezpur SonitpurAssam-784001,0.00
55,2006-2007,Assam,020740026,Catholic Church,Missamari SonitpurAssam-784506,0.00
56,2006-2007,Assam,020740027,Catholic Church,Mazbath DarrangAssam-784507,0.00
57,2006-2007,Assam,020740028,Catholic Church,Udalguri DarrangAssam-784509,0.00
58,2006-2007,Assam,020750002,Catholic Church,Doom Dooma TinsukhiaAssam-786151,0.00
59,2006-2007,Assam,020760002,Catholic Church,Damra GoalparaAssam-783122,399000.00
60,2006-2007,Assam,020760005,Catholic Church,Soraibil KokrajharAssam-783350,0.00
61,2006-2007,Assam,020780002,Catholic Church,Baganpara NalbariAssam-781342,0.00
62,2006-2007,Assam,020780014,Catholic Church,Barpeta  Assam-781315,3300773.00
63,2006-2007,Assam,020780016,Catholic Church,Barama NalbariAssam-781346,231955.00
64,2006-2007,Assam,020790003,Catholic Church,Gogamukh North LakhimpurAssam-787029,62646958.00
65,2006-2007,Assam,020790004,Catholic Church,St. Francis Sales School Telem DhimajiAssam-787060,256050.00
66,2006-2007,Assam,020790005,Catholic Church,Sabati North LakhimpurAssam-787001,8256374.00
67,2006-2007,Assam,020790006,Catholic Church,Dhemaji North LakhimpurAssam-787057,0.00
68,2006-2007,Assam,020790007,Catholic Church,Harmutty  North LakhimpurAssam-784160,3947493.56
69,2006-2007,Assam,020790008,Catholic Church,Doolahat North Lakhimpur Assam -787031,262191.00
70,2006-2007,Assam,020790009,Catholic Church,Silapathar DhemajiAssam-787059,0.00
71,2006-2007,Assam,020790010,Catholic Church,Jowai DehmajiAssam-787060,0.00
72,2006-2007,Assam,020800004,Catholic Church,Umswai Karbi AnglongAssam-782410,5405930.00
73,2006-2007,Assam,020800005,Catholic Church,Sojong Karbi AnglongAssam-782485,2799284.00
74,2006-2007,Assam,020810001,Catholic Church,Haflong North CacharAssam-788819,565534.00
75,2006-2007,Assam,020820006,Catholic Church,Prem Nagar Dhing Road PO HaiborgaonNagaon782002,3999759.00
76,2006-2007,Assam,020820007,Catholic Church,Catholic Mission Rangalu P.O. JakhalabandhaDist. Nagaon Assam-782136,179548050.00
77,2006-2007,Assam,020820008,Catholic Church,Lumding NowgongAssam-782447,0.00
78,2006-2007,Assam,020820009,Catholic Church,Jagi Road NowgongAssam-782410,0.00
79,2006-2007,Assam,020820025,Catholic Church,Salana NowgaonAssam-782139,0.00
80,2006-2007,Assam,020780019,Catholic Church Doomni,Doomni BarpetaAssam-781373,1081158.00
81,2006-2007,Assam,020760006,CATHOLIC CHURCH GOSSAIGAON,Gosaigaon KokrajharAssam-783360,0.00
