S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2007-2008,Andaman & Nicobar Islands,240020003,Association of Catholic Andaman & Nicobar,Haddo Port BlairAndaman & Nicobar-744103,54684939.45
2,2007-2008,Andaman & Nicobar Islands,240020016,Association of Christ for Islands,Camp BellbayGreat Nicobar744302,0.00
3,2007-2008,Andaman & Nicobar Islands,240020010,Indian Christian Fellowship,PB No. 630 Haddo-PO Port Blair AndamansA & N Islands-744102,12355865.80
4,2007-2008,Andaman & Nicobar Islands,240020011,Islamic Welfare Society,Wimberly Gunj AndamanA&N Islands-744206,790991.00
5,2007-2008,Andaman & Nicobar Islands,240020009,Island Islamic Foundation,Near Juma Masjid Aberdeen Port BlairAndaman & Nicobar-744101,0.00
6,2007-2008,Andaman & Nicobar Islands,240020004,Muslim Education Society,Stewart Gunj Bamboo Flat Port BlairAndaman & Nicobar-744107,0.00
7,2007-2008,Andaman & Nicobar Islands,240020001,Pilar Clinic Society / Health Centre,Junglighat Port BlairAndaman & Nicobar Islands-744103,587871.00
8,2007-2008,Andaman & Nicobar Islands,240020007,Ramakrishna Mission,Port Blair  Andaman & Nicobar-744104,821891.00
9,2007-2008,Andaman & Nicobar Islands,240020015,Snahalaya Ashram,Pankaj Deep Bhavan VIP Road Port BlairAndaman & Nicobar Island-744103,0.00
10,2007-2008,Andaman & Nicobar Islands,240020013,Society of Pilar Andamans,Lambaline Junglighat (PO) Port Blair South AndamanAndaman & Nocobar-744103,1545632.00
