S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2007-2008,Uttar Pradesh,136510017,Gramin Vikas Samiti,Village-BaharipurPost-Baharipur222175,0.00
2,2007-2008,Uttar Pradesh,136760088,A.K. Lodi Memorial Society,B. 8/77 A. Bara-Gambhir Sing BhelupuraVaranasi (Uttar Pradesh)-221001,0.00
3,2007-2008,Uttar Pradesh,136760067,Aanjuman Jamea Hospital,Pilikothi  Dist. VaranasiUttar Pradesh-221001,0.00
4,2007-2008,Uttar Pradesh,136460019,Aastha Institute for Research & Development,182/2 Civil Liens  GondaUttar Pradesh-271001,0.00
5,2007-2008,Uttar Pradesh,136210064,Aastha Welfare Society,Sharma Complex 05/81 Madia Katra AgraUttar Pradesh-282002,0.00
6,2007-2008,Uttar Pradesh,136280008,Abhiyan,Lodhu Thok Atarra Banda Uttar Pradesh-210201,2045394.65
7,2007-2008,Uttar Pradesh,136760132,Abhudaya Sansthan,S 8/314A-9-E-1near Tulsi Niketan SchoolKhjuriPandeypurVaranasiUttar Pradesh-221002,0.00
8,2007-2008,Uttar Pradesh,136230141,Abul Kalam Azad Jan Sewa Sansthan,6-bStrachy Road Civil Lines AllahabadUttar Pradesh-211001,0.00
9,2007-2008,Uttar Pradesh,136380028,Acharya Keshava Chandra Mishra Vichar Manch,Nonapar Deoria Up-274001,0.00
10,2007-2008,Uttar Pradesh,136310032,Achhai Bar Gram Vikas Sewa Sansthan,Vill-k Murad Pur Po-Gaura Uppadhya Town/City: Mahsoo Distt: BastiUttar Pradesh-272124,0.00
11,2007-2008,Uttar Pradesh,136530044,Action For Women & Rural Development,454- Block-y Kidwai Nagar KanpurUttar Pradesh-,3214003.00
12,2007-2008,Uttar Pradesh,136550155,Adarsh Gram Seva Samiti,Munshikhera Post Amoshi (transport Nagar)Lucknow Uttar Pradesh.-,0.00
13,2007-2008,Uttar Pradesh,136440071,Adarsh Grameen Vikas Samiti,Vill/Post-Chak Abdul Sattar GhazipurUttar Pradesh-233001,0.00
14,2007-2008,Uttar Pradesh,136570023,Adarsh Gramin Vikas Parishad,Village- Sawla Post- Sonka Mathura Uttar Pradesh -,0.00
15,2007-2008,Uttar Pradesh,136720006,Adarsh Gramodyog Sewa Sansthan,Samjai Nagar P.o. Chandipur SultanpurUttar Pradesh-228151,0.00
16,2007-2008,Uttar Pradesh,136440021,Adarsh Gramodyog Vikas  Sansthan,Village-& Post- Deochandpur GhazipurUp-233204,0.00
17,2007-2008,Uttar Pradesh,136500005,Adarsh Jan Seva Sansthan,Ganesh Ganj Orai JalaunUp-,0.00
18,2007-2008,Uttar Pradesh,136440035,Adarsh Khadi Avam Gramodyog Vikas Sansthan,Mohalla- Sujawalpur Post- Sadar Ghazipur CityGhazipur (uttar Pradesh)-233001,0.00
19,2007-2008,Uttar Pradesh,136550018,Adarsh Kusth Ashram,Po Lda Colony  LucknowUp-226012,0.00
20,2007-2008,Uttar Pradesh,136310008,Adarsh Mahatma Gandhi Kusht Ashram, BijnorUttar Pradesh-,0.00
21,2007-2008,Uttar Pradesh,136230125,Adarsh Mahila Kalyan Shiksha Sansthan Allahabad,32/30 New Katra New Katra (near Triveni gas agency)Allahabad     Uttar Pradesh-211002,0.00
22,2007-2008,Uttar Pradesh,136610006,Adarsh Seva Samiti,326/1 Saket Colony St. No. 6 Muzaffar NagarUttar Pradesh-,3432850.00
23,2007-2008,Uttar Pradesh,136810058,Adarsh Sewa Samiti (U.P.),MIG Double Storey Flat No.H-80 Sector-12 Pratab ViharGHAZIABAD    Uttar Pradesh-,0.00
