S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2008-2009,Arunachal Pradesh,310540005,Abotani Ashram Welfare Association,Naharlagun  Arunachal Pradesh -791110,0.00
2,2008-2009,Arunachal Pradesh,310540035,Arunachal Pradesh Society for Rural Development,Tapio Apartment Kimin P.S/PO Papumpare Arunachal Pradesh -791120,0.00
3,2008-2009,Arunachal Pradesh,310530001,Buddhist Culture Society,Upper Goupa Road Bomdila West KamengArunachal Prades-,2296982.00
4,2008-2009,Arunachal Pradesh,310540034,Catholic Church Welfare Society,Naharlagun Papum Pare Arunachal Pradesh -791110,59145939.00
5,2008-2009,Arunachal Pradesh,310580002,District Horticulture and Agriculture Development Cooperative Society Ltd.,Vill-Mebua P.O- SeppaEast Kamang790102,0.00
6,2008-2009,Arunachal Pradesh,310610002,Essomi Foundation,Enzengo Roing Lower Dibang ValleyArunachal Pradesh-792110,400000.00
7,2008-2009,Arunachal Pradesh,310540007,Future Generation,Vivek BuildingVivek Vihar H-Sector ItanagarPapumparaArunachal Pradesh-791113,4571774.00
8,2008-2009,Arunachal Pradesh,310600001,Hill Tribes Multifarious Development Society,Banskota Village Near M/S KK Engg. WorkshopPasighat East Siang (Ar. Pradesh)-791102,0.00
9,2008-2009,Arunachal Pradesh,310590003,Indigenous Mission,Dumporijo Box-1 PO Daporijo Upper SubansiriArunachal Pradesh-791122,0.00
10,2008-2009,Arunachal Pradesh,310580001,Kameng Social Service Society,St. Joseph's School / St Joseph's Hospital New SeppaEast Kameng (Arunachal Pradesh)-791102,918602.00
11,2008-2009,Arunachal Pradesh,310540024,Mangyanam (Hope) Arunachal Pradesh,Don Bosco Centre Tigodo Village Yupia Papum Pare DistrictArunachal Pradesh-791110,6387641.00
12,2008-2009,Arunachal Pradesh,310540032,Manjushree Charitable Society,Manjushree Vidyapeeth Orphanage Tashi Jong TawangArunachal Pradesh-790104,0.00
13,2008-2009,Arunachal Pradesh,310540012,Nani Sala Foundation,Arunachal Front Building Post Box N0.202NaharlagunPapumpare Aarunachal Pradesh-791110,0.00
14,2008-2009,Arunachal Pradesh,310540002,Oju Welfare Association,Naharlagun  Arunachal Pradesh-,0.00
15,2008-2009,Arunachal Pradesh,310550001,Ramakrishna Mission, Vivek NagarWest Siang -791001,2956277.51
16,2008-2009,Arunachal Pradesh,310570001,Ramakrishna Mission, Narottam NagarTirap-786629,200000.00
17,2008-2009,Arunachal Pradesh,310540003,Ramakrishna Mission Hospital,RamaKrishna Mission Hospital P.O ItanagarArunachal Pradesh.-791113,2746707.00
18,2008-2009,Arunachal Pradesh,310540018,Salesians of Don Bosco,Don Bosco Jully Itanagar PapumpareArunachal Pradesh-791111,0.00
19,2008-2009,Arunachal Pradesh,310540004,SEVA KENDRA ARUNACHAL EAST, Borduria TirapArunachal Pradesh-786630,20194590.50
20,2008-2009,Arunachal Pradesh,310560001,Subansiri Kristu Kiran Society, 791120,20981467.00
21,2008-2009,Arunachal Pradesh,020750007,Tangsa Baptist Churches Association,P.O. Jagun TinsukiaAssam-792122,0.00
22,2008-2009,Arunachal Pradesh,310540001,Tibetan Multipurpose Cooperative Society,P.O.Tindglong  Dist. Lohit Arunachal Pradesh-,4245374.00
23,2008-2009,Arunachal Pradesh,310610001,Tribal Area Development Society,Thakar Complex Naharlagun Papum PareArunachal Pradesh-,0.00
24,2008-2009,Arunachal Pradesh,310540021,Voluntary Health Association of Arunachal Pradesh,Polo Hospital Complex Near RK Mis- sion HospitalGanga Market PBNo.185ItanagarPapum Pare (Arunachal Pr.)-791113,250000.00
