S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2008-2009,Dadra & Nagar Haveli,261530014,Balwatika Society,Helpers of Mary Dadra PO Dadra and Nagar Haveli SilvassaDist Valsad-396191,8401355.00
2,2008-2009,Dadra & Nagar Haveli,261530009,Chapel of St. Francis Xavier, Silvassa Dadra & Nagar Haveli-,0.00
3,2008-2009,Dadra & Nagar Haveli,261530008,Church of Our Lady of Piety,P.O.Box 14 SilvassaDadra & Nagar Haveli-,452.00
4,2008-2009,Dadra & Nagar Haveli,261530004,Church of Sacred Hearts of Jesus,Dapadda  Dadra & Nagar Haveli-396240,653650.00
5,2008-2009,Dadra & Nagar Haveli,261530006,Gyanmata Educational Society,Khanvel  Silvassa Dadra & Nagar Haveli-396230,4905116.00
6,2008-2009,Dadra & Nagar Haveli,261530002,Immaculate Conception Mission,Massate P.B.14 Silvassa Dadra & Nagar Haveli-396230,0.00
7,2008-2009,Dadra & Nagar Haveli,261530012,Our Lady of Lourdes Mission,Chisda P.O.  Khanvel Dadra & Nagar Haveli-396320,587549.00
8,2008-2009,Dadra & Nagar Haveli,261530003,Our Lady Of Pilar Mission,Sindonim   Dadra & Nagar Haveli-396230,732650.00
9,2008-2009,Dadra & Nagar Haveli,261530013,Our Lady Of Rosary Mission, SheltiDadra & Nagar Haveli  -396230,145880.00
10,2008-2009,Dadra & Nagar Haveli,261530007,Our Lord Redeemer Church,Khanvel  SilvassaDadra & Nagar Haveli -396230,1099550.00
11,2008-2009,Dadra & Nagar Haveli,261530005,Social Service Adivasi Society,Khanvel  SilvassaDadra & Nagar Haveli-396230,122110.34
12,2008-2009,Dadra & Nagar Haveli,261530015,Society of Pilar Nagar Haveli,Premal Deep Zanda Chowk SilvassaDadra & Nagar Haveli-396230,4112054.00
13,2008-2009,Dadra & Nagar Haveli,261530001,St. Francis Xavier Mission,Khanvel  Sivassa Dadra & Nagar Haveli-396230,3469744.00
14,2008-2009,Dadra & Nagar Haveli,261530010,St. Francis Xavier Mission, DudhniDadra & Nagar Haveli-396230,866620.00
