S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2008-2009,Himachal Pradesh,182520029,Aastha Welfare Society,Opp. General Post Office Nahan Distt. SirmourHimachal Pradesh-173001,0.00
2,2008-2009,Himachal Pradesh,182520025,Action Research and Training Institute (ARTI),V.P.O. Rajgarh Distt.- SirmourHimachal Pradesh-173101,0.00
3,2008-2009,Himachal Pradesh,182470010,Ananda-Sustianabale Development for the Welfare of Nature and Society,The Krishna Temple Thawa Nagar KulluHimachal Pradesh-175130,507600.00
4,2008-2009,Himachal Pradesh,182510029,Association for Social Health in India,2 Craig Garden Near Secretariat Distt.- ShimlaHimachal Pradesh-171002,2965190.00
5,2008-2009,Himachal Pradesh,182450059,Association for the Rural and Technical Education Centre,Vill. and P.O. Malan Tehsil and Distt. Kangra Himachal PradeshKangra176047,0.00
6,2008-2009,Himachal Pradesh,182520027,"Awarness Services for Rural Areas ""ASRA""",Vill. & PO Nainidhar Teh  Shillai SirmourHimachal Pradesh-173027,0.00
7,2008-2009,Himachal Pradesh,182420006,Chetna,Roura Sector-III Bilaspur Near Govt.(Girls)Senior SecondarySchoolBilaspur Himachal Pradesh.-174001,0.00
8,2008-2009,Himachal Pradesh,182450025,Chinmaya Tapovan Trust, Kangra Himachal Pradesh -,98429.00
9,2008-2009,Himachal Pradesh,182520020,Community Action for Rural Excellence,V.P.O. Birla Teh Nahan  Via-Dadahu Distt-Sirmour -173022,0.00
10,2008-2009,Himachal Pradesh,182450005,Dalai Lama's Central Tibetan Relief Committee,Central Tibetan Sectt Gang Chen Kyeshaong Session Rd. DharamshalaDist: Kangra Himachal Pradesh-176715,121672437.15
11,2008-2009,Himachal Pradesh,182500005,Deen Bandhu Seva Mandal,Bharnal  MandiHimachal Pradesh -,0.00
12,2008-2009,Himachal Pradesh,182540016,Devbhumi Himachal Development Foundation,Dhiarighat P.O BishaSolan173215,0.00
13,2008-2009,Himachal Pradesh,182470009,Dhagpo Shedrup Ling Monastic Cultural Society,Vill.& PO-Kais Kothi-Kais KulluHimachal Pradesh-175101,6365137.00
14,2008-2009,Himachal Pradesh,182450026,Dip Tsechokling Monastery School, Dist: KangraHimachal Pradesh-,1539867.00
15,2008-2009,Himachal Pradesh,182500010,Divya Manav Jyoti Anathalaya,Village and Post- Dehar MandiHimachal Pradesh-175030,0.00
16,2008-2009,Himachal Pradesh,182450046,Dongyu Gatsal Ling Trust,Tashi Jong P.O.-TaragarhDistt.-Kangra Himachal Pradesh-176081,29895026.52
17,2008-2009,Himachal Pradesh,182450056,Dorzong Manastic Institute Charitable Trust,Tashi Jong PO- Taragarh KangraHimachal Pradesh-176081,505881.00
18,2008-2009,Himachal Pradesh,182540009,Dr. Yashwant Singh Parmar University of Horticulture and Forestry,Nauni  Dist. SolanHimachal Pradesh -,0.00
19,2008-2009,Himachal Pradesh,182430005,Education Society,Chaminu PO Baror via Sultanpur Dist: ChambaHimachal Pradesh-,3206600.00
20,2008-2009,Himachal Pradesh,182520019,Education Society Vidya Niketan,Rohari P.O Kotla  Bangi SirmourHimachal Pradesh-,0.00
21,2008-2009,Himachal Pradesh,182450033,Foundation for Universal Responsibility of his Holiness,East Court Zone Macleodganj Dharamala Dist. KangraHimachal Pradesh-,11573005.80
22,2008-2009,Himachal Pradesh,182530001,Grameen Kalyan Mandal, Dist. HamirpurHimachal Pradesh -,0.00
23,2008-2009,Himachal Pradesh,182470005,H.P. Mahila Kalyan Mandal, Dist. KulluHimachal Pradesh-,0.00
24,2008-2009,Himachal Pradesh,182510012,Himachal Harijan Kalyan Sanstha Theog, SimlaHimachal Pradesh-,1282352.00
25,2008-2009,Himachal Pradesh,182510014,Himachal Pradesh Voluntary Health Association,B-37 Phase-ISector-II New Shimla171009,4884174.00
26,2008-2009,Himachal Pradesh,182500009,Himalaya International Health Institute D.B.A.,APPI Charitable Foundation Clinic  TrustChobata Bazar Mandi H.P.-175001,482259.00
27,2008-2009,Himachal Pradesh,182510020,Himalayan  Research Group,Umesh Bhavan Chotta Shimla  ShimlaH.P.-171002,0.00
28,2008-2009,Himachal Pradesh,182470015,Himalayan Buddhist Cultural Association,P.O. Box No. 74Rangri P.O. Manah111111,0.00
29,2008-2009,Himachal Pradesh,182450037,Himalayan Jeevan Nirman Rural Development Society,P.O.Box. No.7 PO Palampur Dist. KangraHimachal Pradesh-176061,0.00
30,2008-2009,Himachal Pradesh,182510026,Hind Sewa Sangathan,Trimorty Bhawan Cemetry RoadShimla (Himachal Pradesh)-171006,227463.00
31,2008-2009,Himachal Pradesh,182450006,His Holiness The Dalai Lama s Religious and Cultural Society,Central Tibetan SecretariatDharamsala176215,23261266.54
32,2008-2009,Himachal Pradesh,182450013,His Holiness The Dalai Lama's Charitable Trust,Gangchen Kyishong P.O Dharamsala Dist: KangraHimachal Pradesh -176215,24530004.96
33,2008-2009,Himachal Pradesh,182520013,Hitkar Society,Koti PO Shaya Chabron Teh. Rajgarh Dist. SirmaurHimachal Pradesh -,0.00
34,2008-2009,Himachal Pradesh,182520015,Indira Ladies Club, Nahan Himachal Pradesh -,0.00
35,2008-2009,Himachal Pradesh,182540005,Indra Talimiyat Society,Malagarh  Dist. SolanHimachal Pradesh-,0.00
36,2008-2009,Himachal Pradesh,182510007,Indus Medical Foundation,Indus Drive Mount Jakhoo ShimlaHimachal Pradesh -171002,0.00
37,2008-2009,Himachal Pradesh,182450054,Institute of Budhist Dialectics,PO-Mcleod Ganj Dharamsala KangaraHimachal Pradesh-176219,12039954.59
38,2008-2009,Himachal Pradesh,182450032,International Sahaj Public School Society,Talnoe Dharamsala  Dist. KangraHimachal Pradesh-,0.00
39,2008-2009,Himachal Pradesh,182500007,Jagdishwari Samaj Kalyan Mandal,71\1-A Jawahar Nagar Khaliyan Dist. MandiHimachal Pradesh -175001,0.00
40,2008-2009,Himachal Pradesh,182470014,Jagriti,# 341 Ward 12 Shishamati KulluHimachal Pradesh-175101,1555839.00
41,2008-2009,Himachal Pradesh,182510027,Jonang Takten Phuntsok  ChoslingCultural Society,Tibetan Buddhist Monastery Sanjauli ShimlaHimachal Pradesh-,0.00
42,2008-2009,Himachal Pradesh,182450052,Kangra Mahila Sabha,C/o Shri Karu Krishan VPO- Rait Tehsil Shahpur KangraHimachal Pradesh-176208,0.00
43,2008-2009,Himachal Pradesh,182540015,Kasavisa, Dist. Solan Himachal Pradesh -,0.00
44,2008-2009,Himachal Pradesh,182520004,Kham Kathak Tibetan Society,Sataun.  SirpurHimachal Pradesh -,1350072.00
45,2008-2009,Himachal Pradesh,182470007,Kullu Rotary Association,Dimpu Tyres Mall Road DhalpurKullu-175101,1301459.00
46,2008-2009,Himachal Pradesh,182550002,Lala Jagat Narain Himotkarsh Kanya Mahavidyalya,Shiksha Samiti VPO-Kotla Khurd Teh. & Dist. UnaHimachal Pradesh-174303,0.00
47,2008-2009,Himachal Pradesh,182470013,Layul Tribals Welfare Association,112/7 Police Station Road Town/City: ManaliDistt: Kullu Himachal Pradesh-175131,0.00
48,2008-2009,Himachal Pradesh,182450002,Library of Tibetan Works & Archives,Gangchen Kyeshong Dharamsala Dist: KangraHimachal Pradesh-176215,2317805.00
49,2008-2009,Himachal Pradesh,182510017,Lok Kalyan Mandal,Theoo Dist. ShimlaHimachal Pradesh-,0.00
50,2008-2009,Himachal Pradesh,182520009,Madarsa Quadria, Dist. SirmaurHimachal Pradesh -,756939.00
51,2008-2009,Himachal Pradesh,182510015,Mahila Kalyan evam Vikas Samiti, Dist. ShimlaHimachal Pradesh -,1115317.00
52,2008-2009,Himachal Pradesh,182520017,Mahila Mandal,Cheseon  Dist. SirmaurHimachal Pradesh -,0.00
53,2008-2009,Himachal Pradesh,182420002,Mahila Mandali,Jabli Dist: BilaspurHimachal Pradesh-,235098.00
54,2008-2009,Himachal Pradesh,182430006,Mahila Vikas Manch,Mohalla Kharura ChambaHimachal Pradesh-176310,0.00
55,2008-2009,Himachal Pradesh,182510013,Manav Kalyan Seva Samiti,Karai Dist. ShimlaHimachal Pradesh -,330330.00
56,2008-2009,Himachal Pradesh,182420001,Manav Seva Sanstha,Varthi District- BilaspurHimachal Pradesh-174029,139500.00
57,2008-2009,Himachal Pradesh,182420005,Manav Vikas Sansthan,V.P.O. KalolTehJhandutta BilaspurHimachal Pradesh-174035,0.00
58,2008-2009,Himachal Pradesh,182450023,Maple Leap Hospital, KangraHimachal Pradesh -,0.00
59,2008-2009,Himachal Pradesh,182510025,MUSE,MUSE C/o Sh. Parikshit Khanna Geeta Cottage SanjauliShimla Himachal Pradesh-171006,2568742.00
60,2008-2009,Himachal Pradesh,182470012,National Association for Blind  HP State Branch,Chander Abha Mahila Kalyan Bhawan Mahila BhawanSarwari KulluHimachal Pradesh-175101,528173.00
61,2008-2009,Himachal Pradesh,182450036,Nav Nirman Kalyan Samiti, Dist. KangraHimachal Pradesh-,0.00
62,2008-2009,Himachal Pradesh,182450053,Nechung Monastery(Institute of Buddhist Studies)),Gangchen Kyishong Dharamsala KangraHimachal Pradesh-176215,4734598.00
63,2008-2009,Himachal Pradesh,182450040,New Himalayan Organisation for Peoples Education,PO Thakurdwara Teh. Palampur dist. KangraHimachal Pradesh.-,0.00
64,2008-2009,Himachal Pradesh,182450048,Nishtha Rural Health Education and Environment Centre,Vill-Rakkar PO-Siddhbari Dharamsala KangraHimachal Pradesh-176057,4059110.00
65,2008-2009,Himachal Pradesh,182450047,Norbulingka Institute of Tibetan Culture,Norbulingka Institute Dharamsala KangraHimachal Pradesh-176057,1170844.26
66,2008-2009,Himachal Pradesh,182450022,Nyingmapa Buddhist Charitable Institute,P.O. Bir Dist: Kangra Himachal Pradesh.-,4916551.00
67,2008-2009,Himachal Pradesh,182450055,Osho Nisarga Foundation,Vill. & PO- Shilla Opp. Pasu Rain Shelter Gaggal Dari RoadDharmshala Distt:Kangara  H.P.-176057,0.00
68,2008-2009,Himachal Pradesh,182450042,Palpung Munishasan Dharamchakra Sangh,V&Po Upper Bhattu Baijnath Teh KangraH.P. -176125,101467085.00
69,2008-2009,Himachal Pradesh,182520012,Parvatiya Jan Shiksha evam Vikas Sangathan,  Himachal Pradesh-,277843.00
70,2008-2009,Himachal Pradesh,182540011,Paryavaran evam Gramin Vikas Sansthan, Dist. SolanHimachal Pradesh -,0.00
71,2008-2009,Himachal Pradesh,182500008,People Awareness for Rural Action,Vill & PO: Drahal  Teh: Joginder Nagar Dist: MandiHimachal Pradesh-176120,151503.00
72,2008-2009,Himachal Pradesh,182520007,Peoples Action for the People in Need, Dist. SirmaurHimachal Pradesh-,2880642.00
73,2008-2009,Himachal Pradesh,182450034,Planning Council,Dharamsala  Dist: Kangra Himachal Pradesh-,1285630.60
74,2008-2009,Himachal Pradesh,182450024,Public Service Commission, SimlaHimachal Pradesh-,359336.01
75,2008-2009,Himachal Pradesh,182520005,Rural Centre for Human Interests,Shalana P.O. Rajgarh Dist: SirmourHimachal Pradesh -173101,9329923.00
76,2008-2009,Himachal Pradesh,182500006,Rural Technology & Development Centre, Dist. MandiHimachal Pradesh-,500001.00
77,2008-2009,Himachal Pradesh,182500011,Sahyog Bal Shravan Viklang Kalyan Samiti,IInd Floor 65/6 National Street MandiHimachal Pradesh-175001,0.00
78,2008-2009,Himachal Pradesh,182510019,Sai Engineering Foundation,Sai Bhawan New Shimla Shimla -171009,0.00
79,2008-2009,Himachal Pradesh,182520001,Sakya Tibetan Society,Puruwala Gorkkhuwala  Dist. SirmaurHimachal Pradesh -,702477.12
80,2008-2009,Himachal Pradesh,182510006,Sangye Chowling Tibetan Buddhist Association, ShimlaHimachal Pradesh-,0.00
81,2008-2009,Himachal Pradesh,182500003,Satnam Seva Ashram, Dist: MandiHimachal Pradesh-,0.00
82,2008-2009,Himachal Pradesh,182520028,SIDHI(Social Institute of Deliberate Human Immanence),VPO- Dadahu Shri Renuka Ji SirmourHimachal Pradesh-173022,0.00
