S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2009-2010,Kerala,052850309,A-1 Poor Fund Foundation Of India,Vattekkunnam Edappally Northo P.o. CochinKerala-682024,146000.00
2,2009-2010,Kerala,052880167,A.M.FOUNDATION CHARITABLE TRUST,PANNIKODE P.O MUKKOM VIA KOZHIKODEKOZHIKODE673602,0.00
3,2009-2010,Kerala,052910194,Abhaya,Kerala   -,1500786.00
4,2009-2010,Kerala,052930215,Abhaya Bhavan Society,Tiruvalla Muthoor PathanamthittaKerala  - 689 101-,9378.00
5,2009-2010,Kerala,052910230,Ability Aids India International,5-B Windsor Mansions  Kuravankonam695003,1988678.00
6,2009-2010,Kerala,052910343,Action council Vellarada,ACL Building Vellarada TrivandrumKerala-695505,0.00
7,2009-2010,Kerala,052850473,Adarsh,17/298Anchari Madam Elamana Road TripumithuraKochi-Kerala-682301,862773.55
8,2009-2010,Kerala,052880159,Adhwana Kerala Forum of Partners in Functional Vocational Training,HOUSE NO. 1/1188A KOYON HOUSE KODUVALLY VAYAL WEST HILL POKOZHIKODE673005,0.00
9,2009-2010,Kerala,052810135,Adi Parasakthi Ashramam Charitable Trust,Adi Parasakthi Ashramam Vatackadu Vallikunnam (PO) MavelikaraAlappuzha Kerala-690501,0.00
10,2009-2010,Kerala,052870169,Adoration Congn Provincial House,SANGIOVANNI ADORATION PROVINCIALATE ADORATION CONGN PROVINCIAL HOUSE KUNNAMBHAGAM KANJIRAPPALLY-686507KANJIRAPPALLY686507,0.00
11,2009-2010,Kerala,052870205,Adoration Congregation,Rita Bhavan Koothrapally P.o.Kottayam-686 540-,7172975.97
12,2009-2010,Kerala,052850072,Adoration Generalate Cenacle,U.c. College Aluva P.o.Ernakulam -683 102-,654900.00
13,2009-2010,Kerala,052870123,Adoration Monastery, Chelacombu P.o. NedumkunnamKottayam -686 540-,363967.41
14,2009-2010,Kerala,052850203,Adoration Novitiate Convent,Thrikkakana Po Kochi ErnakulamKerala-682021,88000.00
15,2009-2010,Kerala,052870329,Adorno CRM Society,Adorno AshramMallikassery Poovarany KottayamKerala-686577,5453382.00
16,2009-2010,Kerala,052850287,Agape Child Centre,West Vengala PerumbavoorErnakulam-,4935024.00
17,2009-2010,Kerala,052930225,Agape India Gospel Outreach Ministries,Agape Rock Hill Thumpamon P.O   PathanamthittaKerala-689505,759360.00
18,2009-2010,Kerala,052960013,Agape Indians Ministries,Plavila House Anayam Anakottoor PO Kottarakara Kollam Dist.Kerala-691516,3407679.00
19,2009-2010,Kerala,052870004,Agape Outreach,   -,0.00
20,2009-2010,Kerala,052930214,Agency For Dev.of Oppressed Rel.& Edu.,(adore) Sakshya Sadan Podiyatuvila ValakomKollam - 691 021-,310676.00
21,2009-2010,Kerala,052900367,AHALIA INTERNATIONAL FOUNDATION,AHALIA ARCADE KURUPPAM ROADTHRISSUR680001,314147.00
22,2009-2010,Kerala,052910350,Akshaya Rural Development Organisation,SasthamkonamPoovachal P.OThiruvananthapuram695575,0.00
23,2009-2010,Kerala,052880029,Al Islam Charitable Trust,Dayapuram  Post- R. C. College Calicut  Kerala-673601,1531740.93
24,2009-2010,Kerala,052830110,Al Maquarru Sunniya Ali Islamiya, KannurKerala-,2545000.00
25,2009-2010,Kerala,052850398,Al- Ammeen Educational Trust, Cochin Ernakulam Kerala -,0.00
26,2009-2010,Kerala,052880136,Al- Huda Islamic Cultural Estt. And  Ainual  Huda Orphanage,Kappad P. O.  Chemanchery (via) Kozhikode Kerala -673620,11000.00
27,2009-2010,Kerala,052810109,Al-mu-assasthul Islamiya Trust,Al-islamiya Nagar Arattupuzha North P.o.Alleppey Kerala-,0.00
28,2009-2010,Kerala,052920002,Al-mujammaul Islami,Door No: 3/897 Neelambam TrikarpurKasargod (kerala)-671310,894303.00
29,2009-2010,Kerala,052870274,All India Daiva Sabha, Chingavanam P.o.Kottayam - 686 531-,0.00
30,2009-2010,Kerala,052930150,All India Good News Centre- Suvartha,Kidangannur P.O.  Pathanamthitta Distt. Kerala.-,2514915.00
31,2009-2010,Kerala,052900146,All Saints Social Cen For P.h.child/wom, PullurThrissur -680 683-,206170.00
32,2009-2010,Kerala,052930156,Alliance Educational Foundation,Kottayam D KeralaVia Chengannur-,10649570.97
33,2009-2010,Kerala,052940067,Alphonsa Social Service Society,Alphonsa Hospital MurickasseryIdukki-Kerala-685604,67744.00
34,2009-2010,Kerala,052900137,Alverina Provincial House,Chalakudy TrichurKerala-680307,6648965.41
35,2009-2010,Kerala,052900327,Alzhemer's & Related Disorders Society Of India,Guruvayoor Road Kunnamkulam  ThrissurKerala-680503,3043502.00
36,2009-2010,Kerala,052900181,Amala Bhavan,P.o.amala Nagar  Thrissur - 680 553-,0.00
37,2009-2010,Kerala,052900227,Amala Cancer Hospital Society,Trichur Dt Kerala -,146758.00
38,2009-2010,Kerala,052900079,Amala Cancer Research Centre Society, Amala Nagar P. O.Thrissur 680553-,212558.00
39,2009-2010,Kerala,052870197,Amala Nilayam,Keezhukunnu Collectorate Po KottayamKerala-686002,0.00
40,2009-2010,Kerala,052870071,AMALA PROVINCE OF CONGREGATION OF MOTHER OF CARMEL,Little Flower Convent Parathodu KanjirapallyKottayam - 686 512-,2651524.00
41,2009-2010,Kerala,052900299,Amala Vanitha Kshemam,Trichur Dt. Near Elenjikulam MannuthyThrissur Kerala-680651,0.00
42,2009-2010,Kerala,052850482,Amalambika Trust,Amalambika Convent Vaduthala Post Boat Jetty RoadErnakulam Kerala-682023,2407366.00
43,2009-2010,Kerala,052830088,Anand Ashram Trust, KannurKerala-,9340834.00
44,2009-2010,Kerala,052850389,Anand Educational & Charitable Trust,Anand House Xl/478m.g.road  Ernakulam 682011-,0.00
45,2009-2010,Kerala,052980136,Anand Matha Ashram Of The Cistercian Order,Kunnambetta P OWayanad673123,7578202.00
46,2009-2010,Kerala,052890040,Ananda Bhavan,Malampuzha PalghatKerala-678651,34948.50
47,2009-2010,Kerala,052870152,Ananda Bhavan Orphanage,Aruvithura Po KottayamKerala-686122,329678.86
48,2009-2010,Kerala,052830001,Ananda Bhavan Social Centre,Kolithattu Po Kannur.Kerala-670706,0.00
49,2009-2010,Kerala,052880083,Ancillae Institute, ThiruvnmbadyKozhikode - 673 603-,725848.00
50,2009-2010,Kerala,052830137,Angadi Kadavu Don Bosco Society,Angadikadavu - P.o. District-   KannurKerala-670706,84637.00
51,2009-2010,Kerala,052830048,Angalalayam Social Centre,Aripampra Thiruvattoor KannurKerala-670141,0.00
52,2009-2010,Kerala,052900254,Angelo Bhavan Orphanage, Venginissery P.o. ParalamTrichur - 680 575-,307954.90
53,2009-2010,Kerala,052910321,Anil's Global ministries for the Eternal Life,P.B.No. 420 TC-1219 H.No. 2 Aswathy ThycaudTrivandrum Kerala-695014,0.00
54,2009-2010,Kerala,052940002,Annakkara Vikasana Sangham,Ward No. Iv Chakkupallam Anakkara  IdukkiKerala-695512,0.00
55,2009-2010,Kerala,052830099,Annunciation Convent,Elapeedika Malayaliampady P.O. Kelakam- Via Distt. KannoorKerala-,15000.00
56,2009-2010,Kerala,052850425,Annunciation Convent,South Kalamassary ErnakulamKerala.-,5329192.00
57,2009-2010,Kerala,052900027,Ansari Charitable Trust,Ansar  Nagar Perumpilavu P.o. Karikkad Thrissur Kerala -680519,3815082.22
58,2009-2010,Kerala,052950002,Ansarul Islam Charitable Trust,P.O. Kondotty MalappuramKerala-673638-,103500.00
59,2009-2010,Kerala,052850526,ANUGRAHA CHARITABLE TRUST,XL/5763  T D EAST SANNIDHI ROADKOCHI682035,32026.00
60,2009-2010,Kerala,052900282,Apex Voluntary Agency For Rural Development,Trichur Dt Kerala -,862000.00
