S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2009-2010,Mizoram,304330014,Agape Moral Reformation Organisation (AMRO),T/74 C R. Z. Lalbuaia BuildingVenghlui Republic Road796001,0.00
2,2009-2010,Mizoram,304340001,Baptist Church Of Mizoram,Serkawn Zotlang P.O LungleiMizoram-796691,3201506.06
3,2009-2010,Mizoram,304330041,CENTRE FOR PEACE AND DEVELOPMENT,"3rd Floor K. V. Tlangmawia Building
TuikhuahtlangAizawl796001",12917440.00
4,2009-2010,Mizoram,304340002,Citizens Action for Rural Development,Lungsen PO Lungsen Lunglei (Mizoram) -797730,817075.00
5,2009-2010,Mizoram,304330042,Cod Nerc,Cod Nerc Head Office 2nd Floor Dr. C.Lalthanga Building Near Mahatma Gandhi Statue Zodin Sq.Aizawl796001,0.00
6,2009-2010,Mizoram,304330015,Don Bosco,Don Bosco Complex Seling P.OMizoram-796017,1700000.00
7,2009-2010,Mizoram,304430001,Don Bosco Saiha,Don Bosco Saiha (P.O.) SaihaMizoram-796901,0.00
8,2009-2010,Mizoram,304350003,Evangelical Church of Maraland,PO Saiha District Saiha Mizoram -796901,0.00
9,2009-2010,Mizoram,304430002,Faithful Trust,Prince Computer Centre New Colony SaihaMizoram-796901,0.00
10,2009-2010,Mizoram,304330035,Ferrando Integrated Women Development Centre,Peace Home-Zione Veng-Durtlang Aizawl Mizoram -796025,635979.00
11,2009-2010,Mizoram,304330020,Goodwill Foundation,"PC Lianchungnunga Building
Opp: Aizawl West College
Dawrpui Vengthar AizawlAizawl796001",0.00
12,2009-2010,Mizoram,304330030,Greenwood Hospital Society,Bawngkawn AizawlMizoram-796014,0.00
13,2009-2010,Mizoram,304330028,Institute of the Brothers of St. Gabriel Society Province of N.E. India,Montfort Villa Aizawl Mizoram -796005,25117681.69
14,2009-2010,Mizoram,304350004,Isua Krista Kohhran Headquarters Bualpui (NG),Bualpui (NG)Saiha796901,0.00
15,2009-2010,Mizoram,304350002,Lairam Isua Krista Baptist Kohhran Lairam Jesus Christ Baptist Church,Lawngtlai P.O.- Lawngtlai Mizoram-796891,0.00
16,2009-2010,Mizoram,304330036,Mission for Christ,Hermon Street Durtlang Aizawl Mizoram -796025,31192.00
17,2009-2010,Mizoram,304330025,Mizoram Bio Science Management Centre,E 78 Khatla AizawlMizoram-796001,0.00
18,2009-2010,Mizoram,304330018,Mizoram Hmeithai Association,10 Aupper Republic Road Aizawl Mizoram -,0.00
19,2009-2010,Mizoram,304330004,Mizoram Presbyterian Church,Synod Office AizawlMizoram-796001,2414915.00
20,2009-2010,Mizoram,304330022,Montfort Educational Development Society(MEDS),C/o St. Paul's Hr. Sec. School  Montfort HillsAizwal Mizoram-796005,16520654.79
21,2009-2010,Mizoram,304330033,New Life Home Society,Ramhlun North-Industrymual Aizawl Mizoram -796012,0.00
22,2009-2010,Mizoram,304330031,People's Action for Rural Transformation,Aibawk Aizawl District Mizoram -,1673565.00
23,2009-2010,Mizoram,304500001,Recovery Society,Faith Home  ChhingchhipSerchhip Mizoram-,0.00
24,2009-2010,Mizoram,304330026,Samaritan Society of  Mizoram,Zodin Square Below Milan Press Aizawl Mizoram -796001,0.00
25,2009-2010,Mizoram,304330023,Samaritans'Association for the Blind,Durtlang Aizawal Mizoram -796025,0.00
26,2009-2010,Mizoram,304330024,Society for HIV/AIDS and Lifeline Operation in Mizoram,A-48/1 Lalrengpuia Building Lower ZarkawtAizawl796007,2430535.00
27,2009-2010,Mizoram,304330011,Spastic Society of Mizoram,Falkland Veng PO ZemabawkAizawl796001,0.00
28,2009-2010,Mizoram,304330005,Synod Hospital,Durtlang AizawlAizawl796025,219983.00
29,2009-2010,Mizoram,304330019,Thutak Nunpuitu Team,Zuangtui Aizwal Mizoram -,3147561.40
30,2009-2010,Mizoram,304330040,TORCH BEARER MINISTRIES,Electric Veng Near YMA HallK- Sangthuama Ex MLA Building796001,0.00
31,2009-2010,Mizoram,304330007,Young Mens Christian Association,Sikulpulkawa  Aizwal Mizoram-,0.00
32,2009-2010,Mizoram,304330034,Zoram Drivers Ramthim Board,Damna In Zuangiui Aizawl Mizoram -796017,0.00
33,2009-2010,Mizoram,304330039,ZORAM ENTU PAWL,BISHOPS HOUSE RAMTHAR VENG CHANMARI AIZAWLAIZAWL796007,5243493.08
34,2009-2010,Mizoram,304330002,Zoram Evangelical Fellowship,Chhanmari Veng Aizawl Mizoram-796007,7771810.00
