S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2009-2010,Nagaland,164780015,AGAPE YOUTH WELFARE ORGANISATION (AYWO),TOURIST COLONY POST BOX- 20WOKHA TOWN797111,0.00
2,2009-2010,Nagaland,164740006,Akhoia Village Farmer Society,Akhoia Village MokokchungNagaland.-,0.00
3,2009-2010,Nagaland,164730035,Akimbo Society,H.No.163Supply ColonyPost Boz.No.423Dimapur797112,6451857.00
4,2009-2010,Nagaland,164730021,Anma Integrated Development Association,P.Box No.40 DimapurNagaland-797112,32065516.00
5,2009-2010,Nagaland,164730083,Asia Evangelistic Fellowship,PO Box - 111 2  1/2 Mile Near Kin School DimapurNagaland-797112,1091321.00
6,2009-2010,Nagaland,164730046,Association of Tribal Welfare Development,Woodlands Naharbani Dimapur Nagaland-,0.00
7,2009-2010,Nagaland,164730098,Basic Institute of Nurturing Career Multi Development Society,Dimapur (Nagaland) -797112,0.00
8,2009-2010,Nagaland,164730109,Bethany Society for the Destitutes,Peephole Mansion Circular Road Dimapur Nagaland -797112,0.00
9,2009-2010,Nagaland,164730095,Bethesda Ministries,Walford Road Dimapur Nagaland -797112,0.00
10,2009-2010,Nagaland,164730060,Bethesda Youth welfare Centre,Post Box -3194-Duncan Basti DimapurNagaland-79712,9699876.00
11,2009-2010,Nagaland,164730067,Care-Centre for Environment and Rural Poor,Post Box # 416United North Block Sector-BA-Mao ColonyBurma CampKK RoadDimapur Nagaland.-797112,959466.00
12,2009-2010,Nagaland,164730094,Carmel Bhawan,P.B.68 Dimapur Nagaland -797112,1890670.00
13,2009-2010,Nagaland,164770002,Chakhesang Baptist Church Council, T.ChikhariPfustero-797107,529436.00
14,2009-2010,Nagaland,164770006,Chizami BS Multipurpose Society,Chizami Dist. Phek Nagaland-797102,0.00
15,2009-2010,Nagaland,164740010,CLARK MEMORIAL HIGHER SECONDARY SCHOOL,IMPURMOKOKCHUNG798615,0.00
16,2009-2010,Nagaland,164730017,Clark Theological College,Aolijen MokokchungNagaland-,3543821.60
17,2009-2010,Nagaland,164730124,COMMUNITY AWARENESS AND DEVELOPMENT FOUNDATION,CAD FOUNDATION OFFICE OPP. WEST POLICE COLONY No. 194 PWD ROADDIMAPUR797112,1432056.27
18,2009-2010,Nagaland,164730079,D.K.Enterprise Society,Medziphema Dimapur Nagaland -797106,0.00
19,2009-2010,Nagaland,164730080,Development Action Network,Little Angels School 3rd Mile DimapurNagaland-797112,0.00
20,2009-2010,Nagaland,164730024,Development Association of Nagaland,C/o Bishop's House P.O. Box No 3 Circular Road DimapurNagaland-797112,5081983.49
21,2009-2010,Nagaland,164730087,Development Support Services Organisation,Duncan-168 (Behind S.M.College) DimapurNagaland-797112,902516.00
22,2009-2010,Nagaland,164730002,Diocese of Kohima,Bishop's House P..Box 3 Circular Road DimapurNagaland-797112,26992028.27
23,2009-2010,Nagaland,164730014,Discipleship Bible College,P.O.Box 36 DimapurNagaland-797112,0.00
24,2009-2010,Nagaland,164730018,Don Bosco Book Centre,P.Box 43 DimapurNagaland-797112,75000.00
25,2009-2010,Nagaland,164730064,Don Bosco Foundation for Education and Training,Don Bosco Provincial House  DimapurNagaland-797112,5313538.00
26,2009-2010,Nagaland,164730032,Eleutheros Christian Society,P.Box 51 Dist: TuensangNagaland-798612,3442091.00
27,2009-2010,Nagaland,164760004,Ellen Welfare Society,Mon D.C. Hill  NagalandMon-798621,186000.00
28,2009-2010,Nagaland,164730097,Faith Ministry Society,Nagagaon Colony Dimapur (Nagaland) -797112,0.00
29,2009-2010,Nagaland,164730072,Franciscan Clarist Society of North East,Clare Bhavan Kacharigaon PB No. 306Dimapur (Nagaland)-797112,9463994.74
30,2009-2010,Nagaland,164730030,Good Sheperd Ministry,Post Box No. 312 KohimaNagaland-797001,0.00
31,2009-2010,Nagaland,164740008,Grace Society,P.W.D. Colony Chagtongya Town Mokokchung Nagaland -798613,0.00
32,2009-2010,Nagaland,164730103,Guardian Angel Society,East Police Colony DimapurNagaland-797112,3436796.00
33,2009-2010,Nagaland,164730043,Gymkhana Khadi Village Industries Association,ADC Court Charalip P.O.Box 122 DimapurNagaland-,0.00
34,2009-2010,Nagaland,164760005,Hill Area Development Organisation,Mon Mission Centre MonNagaland-798621,665733.00
35,2009-2010,Nagaland,164730126,Himalayan For Christ,House No. 28 Aoyimkum Vill.Dimapur797112,0.00
36,2009-2010,Nagaland,164750009,INTERNATIONAL BORDER AREA PEOPLES WELFARE ORGANISATION,HQ KHONGKA PO BOX 19PUNGRO/KIPHIRE798611,0.00
37,2009-2010,Nagaland,164730077,K. P. Bethesda Health Society,T. Khel Green B-6 Kohima Village Kohima (Nagaland) -797003,0.00
38,2009-2010,Nagaland,164730053,Ketaketo Society,C/o Stella English School Kohima Nagaland -797001,0.00
