S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Bihar,031090088,A FUTURE OF CHILDREN IN BODHGAYA SOCIETY,VILL-DURGAPURMONIA P.O-BODHGAYADIST-GAYABODHGAYA824231,880199.00
2,2010-2011,Bihar,030950007,Aadarsh Jan Kalyan SanghNimdih,C/o Abhiram SharmaSri Krishnapuri ColonyFrant of Shiv Shankar CinemaHallPatna-Gaya Rd. Jehanabad-Bihar-804408,0.00
3,2010-2011,Bihar,031250022,AADHUNIK KRISHI VIKAS SANSTHAN,AT - HOTEL MAYUR MARKET DUMRAON ROAD BIKRAMGANJ DISTRICT - ROHTAS BIHAR - 802212BIKRAMGANJ802212,0.00
4,2010-2011,Bihar,031140061,Aakanksha Seva Sadan,At- Maidapur Chaubey Post-Kharuana dih Via-Patahi MuzaffarpurBihar-843113,0.00
5,2010-2011,Bihar,031170470,AAROGYAA,H/O MITHILESH KUMAR SINGH MITHAPUR B AREA BENGALI ROADPATNA800001,0.00
6,2010-2011,Bihar,031290090,Abala Sewa Ashram,At & PO -Khajouji MadhubaniBihar.-847228,42250.00
7,2010-2011,Bihar,031240012,Abdul Qayum Ausari Audyogik Vidy. S. PRK,Bhagalpur  Bihar  -,0.00
8,2010-2011,Bihar,031170448,ABHA,Road No-20Rajiv NagarPatna800024,0.00
9,2010-2011,Bihar,031270011,Abha Christian Social Welfare Society,Chanpatia West Champaran Bihar  -845449,0.00
10,2010-2011,Bihar,031290031,Abhigyan Disha,P.O. Narhi Via-Kaluahi Madhubani Bihar -847222,1777230.00
11,2010-2011,Bihar,031300022,ABHILASHA PARIWAR SWYAMSEVI SANSTHA,Mirchaibari Katihar Distt. - KatiharKatihar854105,0.00
12,2010-2011,Bihar,031140030,Abhinandan,N.H.28 Bhagwanpur Muzaffarpur Distt   Bihar  -,0.00
13,2010-2011,Bihar,031290089,Abhinav Vishwa Manav Kalyan Sansthan,Vill.+P.O.-Raiyam Via-Jhanjharpur Dist.-MadhubaniBihar-847404,0.00
14,2010-2011,Bihar,031040005,Abhinay Prashikshan Sansthan,Baksama Vaishali  Bihar  -,0.00
15,2010-2011,Bihar,031170097,Abhiyan,Barai Bhawan Birsa Adivasi ColonyGulzarbagh Patna800007,5266946.62
16,2010-2011,Bihar,031180022,Abul Hasan Ali Educational and Welfare Trust,Madrasa Rauzaatulmaarif Aziz  Nagar Ufrail P.o.Khokha Dist. PurneaBihar.-,1427837.90
17,2010-2011,Bihar,031080007,Action for Community Organisation & Rural Development,St. Xavier's Campus  Ghoushala Road KhagariaBihar.-851204,0.00
18,2010-2011,Bihar,031170309,Action for Development of Demos (ADD),East Indira Nagar Road no.-5 PO.O. -Lohiya Nagar KankarbaghPatna-,105740.92
19,2010-2011,Bihar,031040025,Action for Social Change,At-PO-Kanhauli Via- MahuaVaishali-Bihar-844122,0.00
20,2010-2011,Bihar,031290045,Adarsh Chikitsa Seva Sanstha,Parmesara Rupouli MadhubaniBihar -,0.00
21,2010-2011,Bihar,031170307,Adarsh Divya Vikas,202P.V. Complex West Boring Canal Road PatnaBihar.-800001,0.00
22,2010-2011,Bihar,031340025,Adarsh Khadi Gramodyog Seva Sansthan,Bhaisaspur Ranchi Road Bihar ShrifDistt. NalandaBihar -,0.00
23,2010-2011,Bihar,031290105,Adarsh Mahila Mandal Laddugama,Vill-LaddugamaP.O-AgaiVia-JogiyaraDistt.-MadhubaniMadhubani847303,0.00
24,2010-2011,Bihar,031330009,Adarsh Mahila Shilp Kala Kendra,Tajpur Road Distt. SamastipurBihar -,0.00
25,2010-2011,Bihar,031240041,ADARSH SAMAJ NIRMAN SAMITI,AT-ChhinegawnP.O-P.S-SinhaBhijpurBhojpur802316,0.00
26,2010-2011,Bihar,031170126,Adarshila Gramin Vikas Sansthan,Kailashpuri Hanuman Nagar  Patna Bihar  -800020,0.00
27,2010-2011,Bihar,031270020,Adhar,Rajguru Chowk P.O. Bettiah West Champaran Bihar  -845438,935672.00
28,2010-2011,Bihar,031170089,Adhunik Mahila Vikas Samiti,At. P.O. Rupas (Barh) Patna Bihar  -803211,0.00
29,2010-2011,Bihar,031240035,ADI SANATAN INSTITUTE OF BIOFORCE IMPROVEMENT AND RESEARCH ( AIBI RESEARCH ),MAHARAJA HATAARAARA802301,0.00
30,2010-2011,Bihar,031170047,Adithi,Er. K P Singh IAS Colony West of Nahar Off Bailey RoadDanapur,10507217.00
31,2010-2011,Bihar,031170253,Adivashi Harijan Mahila Samagra Vikas Parishad,Lav-KushVihar Mahesh NagarPO. KeshriPatna-Bihar-800024,0.00
32,2010-2011,Bihar,031100007,Adivasi Samagra Vikas Parishad,Bokaro GiridhJharkhand-,0.00
33,2010-2011,Bihar,030950028,AIM OF PEOPLE,MADHWAN NAGAR ROAD NO.-4 KAKO ROAD JEHANABADJEHANABAD804417,0.00
34,2010-2011,Bihar,031170353,Akansha Foundationm,MIG-265 Lohia Nagar Kankarbagh Colony PatnaBihar-800020,0.00
35,2010-2011,Bihar,031250008,Akhil  Bhartiya Sikshit Benasagar Yuva Kalyan Sansthan,Nokha Distt. Rohtas Bihar -,0.00
36,2010-2011,Bihar,031300023,Akhil Bhartiya Gramin Vikas Parishad,At. Naraynpur P.O-MukuriyaKatihar854317,0.00
37,2010-2011,Bihar,031170054,Akhil Bhartiya Silp Kala Sikshan Prasik,Post Box 243 G.P.O. Distt. Patna Bihar ` -,0.00
38,2010-2011,Bihar,031140039,Akhil Gramin Yuva Vikash Samiti,A.T.- Mani Fulkahan Post- Rakesha  Vai- Kanti Distt.- Muzaffarpur Bihar  -843109,349050.00
39,2010-2011,Bihar,031360027,Akshaywat Seva Sansthan,Bhikham Pur P.o.-Rupow Distt.-NawadaBihar-805107,198000.00
40,2010-2011,Bihar,031280029,AL AMEEN EDUCATIONAL AND WELFARE TRUST,VILLAGE SISWA P.S. AND ANCHAL BANJARIAMOTIHARI845401,0.00
