S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Chandigarh,291420055,Aasra Foundation,# 1224 Sector-8C Chanidigarh UT -160009,0.00
2,2010-2011,Chandigarh,291420006,All India Womens Conference,286 Sector 11  Chandigarh-160011,0.00
3,2010-2011,Chandigarh,291420069,Alliance Francaise Le Corbusier de Chandigarh,Next to Hibiscus Garden Sector 36-AChandigarh160036,0.00
4,2010-2011,Chandigarh,291420066,Alternative Development Initiatives,2920 Sector 42 - CChandigarh160022,0.00
5,2010-2011,Chandigarh,291420024,Anandpur Sahib Foundation,Plot No. 3 Sector 38 - AChandigarh.-160036,0.00
6,2010-2011,Chandigarh,291420037,Association for Social Health in India(Punjab State Branch),# 40 Sector 4-B Chandigarh(U.T.) -160001,0.00
7,2010-2011,Chandigarh,291420030,Baba Makhan Shah Lobana Foundation,Sector 30-A Chandigarh  (Near C.B. I. Office)Chandigarh-160020,96075.00
8,2010-2011,Chandigarh,291420047,Capital Christian Welfare Association,Sunrise Sewing and Fashion Designing Centre VPO Hallomajranear post officeChandigarh(UT)-,0.00
9,2010-2011,Chandigarh,291420025,Centre For Research in Rural and Indus Development,2-A Sector 19 - A Madhya Marg Chandigarh-160019,3721479.50
10,2010-2011,Chandigarh,291420044,CFI Ministries,61/17 New Darshani Bagh ManimajaraChandigarh(UT)-160101,55469305.84
11,2010-2011,Chandigarh,291420012,Chandi Kusht Ashram Samity,  Chandigarh-,53904.00
12,2010-2011,Chandigarh,291420061,Chandigarh Senior Citizens Association,Karuna Sadan Room No 9Sector 11-BFirst FloorChandigarh160011,0.00
13,2010-2011,Chandigarh,291420042,Church Leadership Development International(India),#104 Sector 23-A Chandigarh -160023,3824495.64
14,2010-2011,Chandigarh,291420067,CHURCH OF CHRIST,SCO 317/2 SEC-38DCHANDIGARH160017,705494.00
15,2010-2011,Chandigarh,291420011,Church of God in India,Church Building  Sector 41 - CChandigarh-160055,1521124.00
16,2010-2011,Chandigarh,291420059,CONSERVATION HIMALAYAS,# 977 TOP FLOOR SECTOR 41-ACHANDIGARH160041,542764.00
17,2010-2011,Chandigarh,291420051,Dr.Amrik Singh Cheema foundation Trust,# 64 Sector-9A Chandigarh UTChandigarh-160009,0.00
18,2010-2011,Chandigarh,291420060,GIAN SAGAR EDUCATIONAL AND CHARITABLE TRUST,SCO 109-110 SECTOR-43B CHANDIGARHCHANDIGARH160036,0.00
19,2010-2011,Chandigarh,291420023,Guru Harkrishan Education Society,Kothi No. 57 Sector 21 -  AChandigarh -160022,355669.00
20,2010-2011,Chandigarh,291420072,Haryana State Council for Child Welfare,Bal Vikas Bhawan Kothi No.650 Sector 16-DChandigarh160015,0.00
21,2010-2011,Chandigarh,291420045,IDMA Foundation for Sustainable Development,SCO-12 Sector-26 ChandigarhChandigah-160026,0.00
22,2010-2011,Chandigarh,291420022,Institute for Development and Communication,Sector 38 A opp. Sector 38DSCOs Chandigarh160014,9395276.00
23,2010-2011,Chandigarh,291420031,International Brahmrishi Mission,Madya Marg Sector 19-A Chandigarh Chandigarh-U.T. -160019,2400278.00
24,2010-2011,Chandigarh,291420064,Know Thyself As Soul Foundation,H.No. 2323/1 Mariwala Town ManimajraChandigarh160001,0.00
25,2010-2011,Chandigarh,291420017,Lohia Karpoori Institute of Technology for Social Change,5170 Modern Housing Complex ManimajraChandigarh-160101,0.00
26,2010-2011,Chandigarh,291420027,Morning Star Fellowship Society,No.1738 Mavli Jagraon Complex Chandigarh  -,0.00
27,2010-2011,Chandigarh,291420062,National Association for the Blind,Room 2Second Floor Karuna SadanSector 11B ChandigarhChandigarh160011,284683.00
28,2010-2011,Chandigarh,291420068,NEW LIFELINE CHARITABLE MINISTRIES,# 930/1 HOUSING BOARD COLONY DHANASCHANDIGARH160014,0.00
29,2010-2011,Chandigarh,291420010,North West India Baptist Association,Church  Sector 44 - CChandigarh  -160047,15945780.00
30,2010-2011,Chandigarh,291420002,Ramakrishan Mission Ashram,Madhya Marg Sector 15 - BChandigarh-160015,1246214.00
31,2010-2011,Chandigarh,291420046,Regional Centre for Enterpreneurship Development,SC)-313-14 2nd Floor Sector 35-BChandigarhUnion Territory-160022,0.00
32,2010-2011,Chandigarh,291420054,Rotary and Blood Bank Society Resource Centre,Plot No.4dakshin Margnear Batra TheatreSector 37A ChandigarhUT Chandigarh-160036,0.00
33,2010-2011,Chandigarh,291420035,Sahayta Charitable Welfare Society,House No.1220 Sector-18C Chandigarh(U.T.) -,435942.00
34,2010-2011,Chandigarh,291420049,Satnam Sarab Kalyan Trust,#1078/2 Sector 39-B ChandigarhUnion Territory-160036,6543600.00
35,2010-2011,Chandigarh,291420052,Shri guru Granth  Sahib Sewa Society,IMAComplexSector 35-B ChandigarhUT-160022,812218.00
36,2010-2011,Chandigarh,291420029,Shubhkarman health Care Society,House No.-3610 Sector 35-D Chandigarh(U.T.) -160022,0.00
37,2010-2011,Chandigarh,291420003,Simla Catholic Diocese,P.O.Box 709 Sector 19 - AChandigarh-160019,4731902.00
38,2010-2011,Chandigarh,291420004,Simla Chandigarh Diocese Society,P.O.Box 709  Sector 19 ACHANDIGARH -160019,12164432.00
39,2010-2011,Chandigarh,291420005,Simla Chandigarh Education Society,P.O.Box 709 Sector 19 - AChandigarh-160019,0.00
40,2010-2011,Chandigarh,291420036,Society for Service to Voluntary Agencies (North),18 Karuna Sadan Sector 11-B Chandigarh(U.T.) -160011,0.00
41,2010-2011,Chandigarh,291420032,Society for Social Health,No. 206/2 Sector 41A Chandigarh Chandigarh -160036,0.00
42,2010-2011,Chandigarh,291420053,Sri Guru Amardas Charitable Trust,# 519 Sector 10-D ChandigarhChandigarh(UT)-160011,2805931.40
43,2010-2011,Chandigarh,291420016,Sri Sathya Sai Gramin Jagriti,H.No. 551 Sector 8 - BChandigarh-160018,1490194.00
44,2010-2011,Chandigarh,291420019,Survival for Women and Children Foundation,636  Sector 16 - DChandigarh-160015,828811.00
45,2010-2011,Chandigarh,291420038,Theater Age,H.No.86 Sector 48-C ChandigarhChandigarh(UT)-160047,0.00
46,2010-2011,Chandigarh,291420033,Voluntary Health Association of Punjab,SCF 18./1 Sector-D  ChandigarhChandigarh-160011,1240000.00
47,2010-2011,Chandigarh,291420008,Youth Technical Training Society,R. No. 13 B Karuna Sadan Sector 11 - BChandigarh-160011,66889.00
48,2010-2011,Chandigarh,291420065,YUVSATTA,R. No. 12 Karuna Sadan Sector 11Chandigarh160011,1181431.00
