S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Gujarat,042000021,Aahadham Seva Mandal,KOPARLI ROAD  VAPI  -396191,0.00
2,2010-2011,Gujarat,041960120,Aarogya: Centre for Health-Nutrition Education and Health Promotion,C-2 Biren Appartments Fatehgunj   Char Rasta Above Punjab Nat. BankVadodara (Gujarat)-390002,0.00
3,2010-2011,Gujarat,042040130,AASHRA MAHILA UTKARSH TRUST,PETLAD-BORSAD ROADNR-GOPALPURA NERROW GAUGE RAILWAY CROSSINGAT LAKKADPURA POST-SUNDARNATA-PETLADPETLAD388480,704908.00
4,2010-2011,Gujarat,041910201,Abhikram,Gujarat Lok Samiti Premises Lal Darwaja AhmedabadGujarat-,0.00
5,2010-2011,Gujarat,042000096,Abhishyam Foundation,C/O Anu Eye Hospital Char Rasta Killa PardiValsad Distt. (Gujarat)-396125,9871.00
6,2010-2011,Gujarat,042090144,ACHALA TRUST,6 SHARDAKUNJ SOCIETY MOTIPURAHIMATNAGAR383001,0.00
7,2010-2011,Gujarat,042080091,ACHARYASHRI CHARANTIRTH MAHARAJ CHARITABLE TRUST,GHANSHYAM BHUVAN MAHADEV WADIGONDAL360311,17449.00
8,2010-2011,Gujarat,041990015,Action Research In Commun  Health & Dev., MANGROL P.OBHARUCH -393150,5574210.00
9,2010-2011,Gujarat,041910389,ADANI FOUNDATION,SHIKHAR SHRIMALI SOCIETY MITHAKHALI SIX ROADS NAVRANGPURAAHMEDABAD380009,0.00
10,2010-2011,Gujarat,042100160,ADARSH KELAVANI MANDAL,C/O V S PATEL HIGH SCHOOLKOSAMBA (R.S) TA-MANGROL394120,0.00
11,2010-2011,Gujarat,042080085,ADARSH KELVANI MANDAL,C/o.  PRIMARY AND SECONDARY SCHOOLKHIRASARA(GHETIYA) VIA-BHAYAVADAR TALUKO - UPLETA360490,0.00
12,2010-2011,Gujarat,041910276,Adhyatma Vidya Mandir Trust,Tattva-tirth Bhilaj Road Thaltej Ahmedabad (Gujarat) -380059,3698666.00
13,2010-2011,Gujarat,042000052,Adivashi Ashram Ahwa,Ahwa Dangs (Dt) Gujarat -,0.00
14,2010-2011,Gujarat,042100009,Adivasi Chhatralaya Education Trust, ZANKHVAVSURAT  -394440,754623.00
15,2010-2011,Gujarat,042090016,Adivasi Kheti Yojna,Mankroda- Bhiloda SabarkanthanGujarat-383245,3050354.00
16,2010-2011,Gujarat,042100005,Adivasi Pragati Kendra Society,Adivasi Pragati Kendra Opp Railway StationSURAT    Vyara -394650,5850605.00
17,2010-2011,Gujarat,042090091,Adivasi Pragati Mandal, MEGHRAJSABARKANTHA -383350,384996.00
18,2010-2011,Gujarat,041990021,Adivasi Samaj Seva Kendra,Sagbra  SAGBARADist- NARMADA Gujarat-393050,107483.00
19,2010-2011,Gujarat,041990004,Adivasi Samajik Kendra Educational Society,At.- Nivalda  Post. Tq- Deliapada District- DediapadaGujarat-393040,433348.00
20,2010-2011,Gujarat,041990045,Adivasi Samajik Kendra Educational Society,NaniSingloti P.O:Besna TA:Dediapada Distt. NarmadaGujarat-393040,5529299.00
21,2010-2011,Gujarat,041990031,Adivasi Seva Sangh, HINGORIABHARUCH -393110,1399188.00
22,2010-2011,Gujarat,041990029,Adivasi Sevalaya Educational Trust, JHAGADIABHARUCH -393110,161000.00
23,2010-2011,Gujarat,042090011,Adivasi Sevalaya Educational Trust,Vijaynagar SabarkanthaGujarat-383460,2775351.00
24,2010-2011,Gujarat,041960079,Adivasi Shaikshanik & Arogya Kendra,BODELI ROAD P.O.- KAWANTBAROAD Gujrat-391170,1250243.00
25,2010-2011,Gujarat,041990062,Adivasi Social Service Society,Nani Singloti PO Besna Ta Dediapada NarmadaGujarat-393040,3464957.00
26,2010-2011,Gujarat,041910308,Advanced Transfusion Medicine Research Foundation,'Prathama Blood CentreB/h.Jivraj Mehta HospitalOppJaltarang clubVasnaAhmedabad Gujarat-380007,0.00
27,2010-2011,Gujarat,041960103,Afmi Charitable Trust,Muslim Medical Centre Haran Khana RoadPanigate Baroda Gujarat-390019,2857906.20
28,2010-2011,Gujarat,041910091,Aga Khan Rural Support Programme (India),9th 10th Floor Corporate House Opp Dinesh HallOff Ashram Road380009,176075969.00
29,2010-2011,Gujarat,041910293,Ahmedabad Diamond Association Medical Trust,54 Sardar Patel Market Near  Samjuba Hospital BapunagarAhmedabad (Gujarat)-380024,0.00
