S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Madhya Pradesh,063210012,AAdharshila Sansthan,Post Box No.11  Marutal DamohDamoh470661,97482045.00
2,2010-2011,Madhya Pradesh,063160065,Aarambh Education & Community Development Society,52-C Inderpuri  B.H.E.L. BhopalMadhya Pradesh-462021,4788486.00
3,2010-2011,Madhya Pradesh,063180014,Abhar mahila samiti chhatrapur (m.p.),jawaher Road Bumani cheep Balon Ke Bagal Main Chhatarpur (m.p.)Chhatarpur471001,955762.00
4,2010-2011,Madhya Pradesh,063460015,Abhiyan,Shastri ChowkSadar Bazar,0.00
5,2010-2011,Madhya Pradesh,063160120,Action For Social Advancement,Flat No. 80 Block No. 5 Green City E-8 Gulmohar ColonyArera Colony Bhopal M.P.-462039,31159873.00
6,2010-2011,Madhya Pradesh,063160182,Active society For Integarted Development And Management,HIG-137 k Sector Ayodhya Nagar BhopalBhopal462023,0.00
7,2010-2011,Madhya Pradesh,063280007,Adarsh Mahila Samaj Seva Shiksha Samitee,C/O New Model High School Mall Road MorarGwalior-,0.00
8,2010-2011,Madhya Pradesh,063300030,Adibasi Sevashram Trust,402Ishan Apt. 13/2 Snehlataganj  IndoreMP-452003,335422.00
9,2010-2011,Madhya Pradesh,063320013,Adivasi Chetna Shikshan Seva Samiti, JHabuaMP-457661,1739319.00
10,2010-2011,Madhya Pradesh,063140024,Adiwasi Sanrachana Seva Sansthan,Barbatpur Post Office and Tehsil - ShahpurBetul460440,951525.00
11,2010-2011,Madhya Pradesh,063520007,Adrash Mahila Vikas Avem Vyawasaik Shiksha Sammiti,Arjun Nagar Uttar KarundiyaSidhi,0.00
12,2010-2011,Madhya Pradesh,063480002,Aishwarya Social Welfare Society,Shanti Bhawan Bilkisganj(PO) SehoreMadhya Pradesh-466111,0.00
13,2010-2011,Madhya Pradesh,063160111,Akshat Health Help and Research Society,C/O Bhopal Charitable Hospital Noor Mahal Road Chowki ImambadaBhopal (Madhya Pradesh)-462001,173095.00
