S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Sikkim,227430015,Baptist Church Sikkim,P.O. Namchybong P.O.Box 116 East Sikkim Gangtok -737106 SikkimGangtok East Sikkim737101,0.00
2,2010-2011,Sikkim,227460004,Health and Environment Conservation Society,Berthang Block PO Bermiok Bazar West SikkimGayzing737113,13636.00
3,2010-2011,Sikkim,227460003,Himali Vikash Sansthan,Middle Bermiok West SikkimKaluk PS737113,272184.00
4,2010-2011,Sikkim,227430009,Human Development Foundation of Sikkim,Lepcha CottageChanbari P O Raj BhavanGangtok,10931510.00
5,2010-2011,Sikkim,227430008,Indo Swiss Project Sikkim Trust,Gesarkhang NH 31/A Opp. Kanchen ViewGangtok Sikkim-737102,1000000.00
6,2010-2011,Sikkim,227430003,Karmapa Charitable Trust,Dharma Chakra Centre P.O.RumtekSikkim-,42309376.00
7,2010-2011,Sikkim,227430010,Namgyal Institute of Tibetology,Deorali Gangtok EastSikkim-737102,0.00
8,2010-2011,Sikkim,227450002,Serdup Choling (Trust) Monastry,Allay Compound Namchi South DistrictSikkim-,0.00
9,2010-2011,Sikkim,227430012,Sikkim Development Foundation,Tashi Khar Chungyal Complex MG Marg GangtokEast Division Sikkim-737101,0.00
10,2010-2011,Sikkim,227450001,Sikkim Presbytarian Free Church Board,P.O.Turuk Melli Bazar South SikkimSikkim-,2529008.00
11,2010-2011,Sikkim,227430004,Thrangu Tuluku Charitable Trust,H.No.125  P.O.Rumtek East Sikkim-737135,7210924.37
12,2010-2011,Sikkim,227430006,Voluntary Health Association of Sikkim,"BAHAI SCHOOL ROAD
DARAGAON TADONG GANGTOKGANGTOK737102",7105074.00
