S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2011-2012,Jammu & Kashmir,152670002,Alexander Memorial High School Project,Residency Road JammuJ&K-,0.00
2,2011-2012,Jammu & Kashmir,152710030,All Ladakh Social Welfare Society,Housing Colony Group B/H.No. 167 LehJ & K-194101,155208.00
3,2011-2012,Jammu & Kashmir,152710028,Basgo Welfare Committee Basgo,B.P.O-Basgo LehJammu & Kashmir-194101,0.00
4,2011-2012,Jammu & Kashmir,152680015,Border Area Development Organization Kargil,Akwoou Corpleu Main Rood Poyen KargilPoyen194103,0.00
5,2011-2012,Jammu & Kashmir,152750004,Catholic Social Service Society,Seva Niketan Kunjwani Bye Pass JammuJammu & Kashmir-,13853467.81
6,2011-2012,Jammu & Kashmir,152750015,Centre for Slum Development,New National Hotel Kahna Khan Dalgate SrinagarJammu and Kashmir-190001,0.00
7,2011-2012,Jammu & Kashmir,152710036,Centre for Sustainable Development and Food Security in Ladakh,PO Box No.53 Serdung House Chubi-Leh Ladakh(Jammu and Kashmir)-194101,4683201.00
8,2011-2012,Jammu & Kashmir,152750028,CHILD NURTURE AND REIELF KASHMIR CHINAR Kashmir,Guru Lane Opposite Ply Emporium Barzulla SrinagarSrinagar190005,384375.00
9,2011-2012,Jammu & Kashmir,152710018,Child Welfare Society,P.B.No. 135 Leh LadakhJammu & Kashmir-194101,1959458.00
10,2011-2012,Jammu & Kashmir,152710014,Chumur Cultural And Welfare Society,Chumur Gompa  C/o Hotel Lingzi East Leh - LadakhJammu & Kashmir-194101,8577410.00
11,2011-2012,Jammu & Kashmir,152670024,CMI Service Society,Yesupal Ashram 7A Sector 4 Extn Trikutanagar JammuJammu and Kashmir-180012,0.00
12,2011-2012,Jammu & Kashmir,152750003,Dar-Ul- Fazl Childrens Home,P.O Box 54 Manali Dist: KulluHimachal Pradesh -175131,9786431.00
13,2011-2012,Jammu & Kashmir,152670008,Diocese of Jammu - Srinagar St. Mary's Church, Jammu CanttJammu & Kashmir-,29785912.00
14,2011-2012,Jammu & Kashmir,152710032,Drigung Dharma Foundation,Phyang District LehJammu and Kashmir-194101,0.00
15,2011-2012,Jammu & Kashmir,152710045,Drikung Kagyu Cultural and Welfare Society,Gaon GonpaPheyang194101,0.00
16,2011-2012,Jammu & Kashmir,152710054,Druk Pema Karpo Educational Society,Hemis ComplexLeh194101,0.00
17,2011-2012,Jammu & Kashmir,152760001,Emmanuel Mission Hostel, RamnagarJ&K-182122,846232.00
18,2011-2012,Jammu & Kashmir,152750023,Global Green Peace,15/1 Poloview SrinagarJammu and Kashmir-190001,0.00
19,2011-2012,Jammu & Kashmir,152710031,Gyudzin Tantric Monastery (Phey),Phey PO Box No. 85 Leh Ladakh DistrictJammu and Kashmir-194101,4777326.00
20,2011-2012,Jammu & Kashmir,152750014,Help Foundation,16-A Gogji Bagh Srinagar(Kashmir)Jammu &  Kashmir-190008,3387822.00
21,2011-2012,Jammu & Kashmir,152740004,Himalayan Voice,Ward No.7 RajouriJammu and Kashmir-185131,80000.00
22,2011-2012,Jammu & Kashmir,152710022,His Holiness The Cyalwa Karumpu Welfare Society,P.o Box No.81 CPO Leh LadakhJ&K-,3381900.00
23,2011-2012,Jammu & Kashmir,152610003,Human Welfare Foundation,310 Room No. Lone Building K.P. RoadAnantnag192101,221125.00
24,2011-2012,Jammu & Kashmir,152610005,HUMANITY WELFARE ORGANIZATION HELP LINE,National Highway Road BijbeharaAnantnag192124,0.00
25,2011-2012,Jammu & Kashmir,152710039,Imamiya Mission Educational and Social Welfare Society,Chuchot PO Box No.32Leh Ladakh194101,200000.00
26,2011-2012,Jammu & Kashmir,152750006,Iqbal Memorial Trust,Iqbalabad Bemina  SrinagarJammu & Kashmir-,917763.25
27,2011-2012,Jammu & Kashmir,152640002,ISLAMIC RELIEF AND RESEARCH TRUST KASHMIR,ALAMDAR BAGH GOPALPORACHADOORA191113,75000.00
28,2011-2012,Jammu & Kashmir,152730002,ISLAMIC UNIVERSITY OF SCIENCE AND TECHNOLOGY,ONE UNIVERSITY AVENUE AWANTIPORAPULWAMA192122,0.00
29,2011-2012,Jammu & Kashmir,152750018,J & K Yateem Foundation,8- Top Floor Auqaf Building Budshah Chowk SgrSrinagar (J&K)-190001,17500997.60
30,2011-2012,Jammu & Kashmir,152750024,J and K Habakhatoon Foundation,103-Hotel Mazda BoulevardNehru Park190001,0.00
31,2011-2012,Jammu & Kashmir,152760008,J&K Destitute Handicapped Welfare Association,Khan Ramnagar UdhampurJ&K.-,0.00
32,2011-2012,Jammu & Kashmir,152750012,Jammu  & Kashmir  Yateem Trust  Srinagar,Red Cross Road Maisooma SrinagarJammu & Kashmir -190001,26469371.86
33,2011-2012,Jammu & Kashmir,152670010,Jammu & Kashmir Presentation Society,Gandhi Nagar JammuJammu & Kashmir-,0.00
34,2011-2012,Jammu & Kashmir,152670015,Jammu & Kashmir Women Society,70 (a) 2 - A Extn Gandhi Nagar Jammu Jammu & Kashmir-180004,0.00
35,2011-2012,Jammu & Kashmir,152670017,Jay  Kay Women Welfare Society,299 Nai Basti Satwari Jammu Cantt Jammu TawiJ & K-,2426769.00
36,2011-2012,Jammu & Kashmir,152610001,John Bishop Memorial Hospital,Sarnal AnantnagJ&K-,0.00
37,2011-2012,Jammu & Kashmir,152680010,Kargil Development Project,Greenland Campus Near TRC Kargil (J&K) -194103,2736937.00
