S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2012-2013,Punjab,115270007,1008-Sant Baba Hari Singh Ji Neki Wale Memorial Charitable Society,Vill-Panjaur Panjaur HoshiarpurPunjab-144404,0.00
2,2012-2013,Punjab,115280034,AAPI CHARITABLE FOUNDATION,Mohalla Kalhan  KartarpurJalandhar144208,2925772.00
3,2012-2013,Punjab,115320008,Adarsh Seva Samiti,Mohall Bari Sansthan Anandpur Sahib RoparPunjab-,0.00
4,2012-2013,Punjab,115260026,All India Christian Charitable Society,H.O Prem Nagar Hardhochhani RoadGurdaspur143521,0.00
5,2012-2013,Punjab,115210002,ALL INDIA PINGALWARA CHARITABLE SOCIETY, AmritsarPunjab-,106007451.24
6,2012-2013,Punjab,115210038,ASR Charitable Trust,1700 Chawal MandiAmritsar143006,1236693.50
7,2012-2013,Punjab,115320016,Association for Social and Rural Advancement,Vill & PO-Dher Teh-Anandpur Sahib RoparPunjab-140123,0.00
8,2012-2013,Punjab,115260004,Avalon Girls Higher Secondary School,Mission Road PathankotPunjab-,0.00
9,2012-2013,Punjab,115210030,BABA JIWAN SINGH BABA DALIP SINGH EDUCATION TRUST,GOINDWAL ROAD DERA BABA JIWAN SINGHTARN TARAN143401,32813860.78
10,2012-2013,Punjab,115280023,Baba Kashmira Singh Jan Seva Trust,City V Garha JalandharPunjab-144022,25594864.70
11,2012-2013,Punjab,115260020,Baring Union Christian College Association, Batala Punjab-,740999.00
12,2012-2013,Punjab,115260021,Beersheba Church of God, PathankotPunjab-145001,15273371.00
13,2012-2013,Punjab,115300030,BHAI DAYA SINGH (NISKHAM) SATSANG SABHA,379-E SBS NAGAR PAKHOWAL ROADLUDHIANA141004,0.00
14,2012-2013,Punjab,115270006,Bhai Ghanaiya Charitable Trust,372/ Gobind Nagar By Pass P O - Urmar HoshiarpurPunjab-144204,640351.00
15,2012-2013,Punjab,115210028,Bhai Ghanaya Ji Mission Society,62 East Mohan Nagar AmritsarPunjab-143001,997303.00
16,2012-2013,Punjab,115210037,BHAI KAHNIAYA JI BIRD GHAR JATIM GHAR AYURVEDIC DAWAGHAR WELFARE SOCIETY,BHAI MAJH SAHIB ROADSULTANWIND.AMRITSAR143001,0.00
17,2012-2013,Punjab,115270010,BHAMESHWARI MISSIONARY TRUST,VPO BHAMBHAM146103,0.00
18,2012-2013,Punjab,115210029,Bible Church of God,Post Box NO.-32 Back side Aanaam Cinema CourtRoad Amritsar-143001,669790.32
19,2012-2013,Punjab,115340002,C.N.I. Chidlren Home,Zeera Road MogaPunjab-142001,0.00
20,2012-2013,Punjab,115270001,Carmelite Charitable Society, Hoshiarpur Punjab-,192261.78
21,2012-2013,Punjab,115280017,Catholic Institute of Carmelite Sisters, Jalandhar CanttPunjab-,31894.56
22,2012-2013,Punjab,115210018,Chief Khalsa Diwan,G.T. Road  AmritsarPunjab-,0.00
