S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2012-2013,Tripura,206150020,Abhoy Mission,Ramnagar Road No. 1 2nd Lane P .O. Ramnagar799002,0.00
2,2012-2013,Tripura,206130006,Ashray,Gournagar Kailashshar North TripuraTripura-799279,0.00
3,2012-2013,Tripura,206150039,ASSOCIATION FOR SOCIAL AND HUMAN ADVANCEMENT,Damdamia Lembucherra postAgartala799210,0.00
4,2012-2013,Tripura,206150037,AUXILIUM WELFARE SOCIETY,BANKUMARI NANDAN NAGAR VIA KUNJABANAGARTALA799006,0.00
5,2012-2013,Tripura,206140006,Baba Garia Mission,GARIA HATHAI ATHARABLA UDAIPUR SOUTH TRIPURAUDAIPUR799114,0.00
6,2012-2013,Tripura,206140002,Bahujana Hitaya Education Trust,PO Bishnupur Manu Bankul Sabroom South TripuraTripura -799143,0.00
7,2012-2013,Tripura,206130003,Blind and Handicapped Association,Jail Road PO Dharmanagar North TripuraTripura-799250,504100.00
8,2012-2013,Tripura,206150025,Crafts World,Jorapukhur Par Madhya Banamalipur Agartala West TripuraTripura-799001,0.00
9,2012-2013,Tripura,206150011,Diocese of Agartala,Bishop House Airport Road P.O Durjoy Nagar AgartalaTripura (W)-499008,13464436.12
10,2012-2013,Tripura,206140004,Dishari,Ek No. Tilla Belonia South TripuraTripura -799155,0.00
11,2012-2013,Tripura,206150035,EVANGELICAL SYNOD SOCIETY(ESS),Rajghat Purabari English School CampP.O.- Kamalghat Mohanpur Subdivision799210,0.00
12,2012-2013,Tripura,206150028,Ganadoot Social Welfare Centre,PO Agartala Dist. West TripuraTripura-799001,0.00
13,2012-2013,Tripura,206150036,Human Care Mission,Bishramgonj 799103 tripura wbishramgonj799103,376897.00
14,2012-2013,Tripura,206150024,Jana Unnayan Samiti Tripura,Bishops House Durjoynagar AirportRoadAgartala West TripuraTripura-799009,13171892.20
15,2012-2013,Tripura,206130005,Janakalyan Parishad,Vill Nayapara PO Dharmanagar North TripuraTripura-799250,0.00
16,2012-2013,Tripura,206130001,Kailashar Baptist Christian Association,Darchawi  KumarghatTripura-799264,2155948.00
17,2012-2013,Tripura,206150026,Minority Development Organisation,South Ramnagar Agartala West TripuraTripura-799001,0.00
18,2012-2013,Tripura,206150022,Missionary Sisters of Mary Help of Christians,Belbari Jirania Champaknagar West TripuraTripura-799045,1932605.00
19,2012-2013,Tripura,206120001,Oisho Bani Society,Catholic Church Lalchori-K.P. Colony(PO)Ambassa Dhalai-799289,15766537.10
20,2012-2013,Tripura,206140003,Organisation for Rural Survivial,E K No.TillaBelonia,503100.00
21,2012-2013,Tripura,206120002,Pabitra Atma Society,Lalchuri K.P. Colony Ambassa Dhalai -Distt.Tripura-799289,10037843.00
22,2012-2013,Tripura,206150008,Ramakrishna Math,P.O. Amtali Vivek NagarTripura-799130,40000.00
23,2012-2013,Tripura,206150012,Ramakrishna Mission, ViveknagarWest Tripura-799130,541000.00
24,2012-2013,Tripura,206150032,Sampari Hukumu Bodol,Bankumari Post KunjabanAgartala799006,1011321.00
25,2012-2013,Tripura,206150033,Santikali Mission,Debtara p.o Birendranagarjirania tripura westAgartala799045,0.00
26,2012-2013,Tripura,206150016,St Xaviers Bishramganj,Bishramgani West TripuraTripura.-,2312500.00
27,2012-2013,Tripura,206150027,St. Anthony's Home,Belbari Champaknagar (Post) Tripura West AgartalaTripura-799045,0.00
28,2012-2013,Tripura,206150004,The Society of the Father of Holy Cross,Durjoynagar P.O. via Airport Agartala Tripura-799009,19273136.66
29,2012-2013,Tripura,206150002,Tripura Baptist Christian Union,P.O Arundhuti Nagar AgartalaTripura-799003,3985323.24
30,2012-2013,Tripura,206150015,Tripura Social Service Association,Kanchanmala  Agartala Tripura-,0.00
31,2012-2013,Tripura,206150006,Voluntary Health Association of Tripura,Circuit House Area P.O: Kunjaban AgartalaAgartala799006,1292301.88
32,2012-2013,Tripura,206150023,Young Development Club,Khasia Mangal Teliamura West TripuraTripura-799205,0.00
