S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2013-2014,Assam,020760009,A Chik Baptist Convention,Baghpara Union Compound P.O. Khagarpur BongaigaonAssam-,1821936.00
2,2013-2014,Assam,020780080,Aaranyak,Samanwoy Path (Survey) P.O. Beltola GuwahatiKamrup Distt. (Assam)-781028,48520589.35
3,2013-2014,Assam,020780151,Adap  Arni Tribal Development Society,Birkuchi Narengi Ghy 26  BirkuchiBirkuchi781026,0.00
4,2013-2014,Assam,020820059,ADARSHA SAMAJ KALYAN SAMITTEE,Village-Beloguri Natun Bazar Post-Solmari Via- HaiborgaonNagaon782002,0.00
5,2013-2014,Assam,020780104,Adhoc  Pacifist Organisation,H.No.25 Narikal Basti5th Bye Lane Zoo Narengi Road GuwahatiAssam-781024,0.00
6,2013-2014,Assam,020520001,Agency for Growth and Upliftment of All,Don Bosco Doom Dooma Tinsukia (Assam) -786151,0.00
7,2013-2014,Assam,020820017,Aid for the Disabled Samity, MorigaonAssam-782105,0.00
8,2013-2014,Assam,020760016,AJAGAR SOCIAL CIRCLE,VILL Agia PO AgiaGoalpara783120,10560110.45
9,2013-2014,Assam,020820057,AJMAL FOUNDATION,COLLEGE ROADHOJAI782435,35199192.20
10,2013-2014,Assam,020780028,Al-Ameen Charitable Fund Trust,Barpeta  Assam-,2230060.00
11,2013-2014,Assam,020640010,All Assam Socio Economic and Health Association   AASHA,Tilana Village         PO    MugkuchiNalbari781334,0.00
12,2013-2014,Assam,020840027,Altruist Venture,Nayanpur Japarigog house no 42guwahati781006,0.00
13,2013-2014,Assam,020780020,Amri Karbi C D Project,Christian Hospital Compound KamrupAssam-782402,0.00
14,2013-2014,Assam,020760007,Amtika Community Development Project,Tukrajhar KokrajharAssam-,81127.00
15,2013-2014,Assam,020770002,Anchalik Gram Unnyan Parishad,Vill & P.O.:  Jania Distt.- BarpetaAssam-781314,0.00
16,2013-2014,Assam,020820055,Anfar Foundation,C/o- Anfar Shopping Centre J. Kedia RoadHojai782435,29709230.82
17,2013-2014,Assam,020780084,Ankan Academy,Vill & P.O.- Puthimari Kamrup Distt.Assam-781380,0.00
18,2013-2014,Assam,020780031,ARCHDIOCESE OF GUWAHATI,Kharguli Guwahati Assam-781001,71841423.28
19,2013-2014,Assam,020720005,Asapalli Christian Hostel Trust,P.O.Fulertal  CacharAssam-788106,1389289.00
20,2013-2014,Assam,020640009,ASHA DARSHAN TRUST,P.O-TAMULPUR DISTRICT-BAKSA(BTAD) STATE-ASSAMGUWAHATI781367,2758000.00
21,2013-2014,Assam,020780056,Ashadeep,KANAKLATA PATH LACHIT NAGAR GUWAHATIGUWAHATI781007,107105.00
22,2013-2014,Assam,020820065,ASOM RAJYIK KRISHAK SAMANNAY SAMANNAY SAMITY,SENCHOWA   PO SECHOWA  VIA  HAIBORGAON  DIST NAGAON ASSAMNAGAON782002,0.00
23,2013-2014,Assam,020690001,Assam Baptist Convention,Post Box No. 49 Mission Compound GolaghatAssam-785621,5515423.48
