S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2013-2014,Uttarakhand,347920007,Aarohi,P.o. Peora Vil lage Satoli Distt. NainitalUttaranchal-263138,6192268.99
2,2013-2014,Uttarakhand,347900173,AASRAA TRUST,119 Phase 1 Vasant ViharDehradun248001,901555.00
3,2013-2014,Uttarakhand,347970012,ADARSH BAHUUDDESHIA JAN KALYAN SAMITI,MOHALLA KAZIBAGHKASHIPUR244713,0.00
4,2013-2014,Uttarakhand,347970011,Adarsh Sewa Sanstha,Indra Colony Lane 2Rudrapur263153,0.00
5,2013-2014,Uttarakhand,347910019,ADARSH YUVA SAMITI,DANDI IBRAHIMPUR  POST  BAHADRABADHARIDWAR249402,16743.00
6,2013-2014,Uttarakhand,347890005,Advaita Ashram,Po. Mayavati Via Lohaghat Distt. ChampawatUttaranchal -262424,4724283.42
7,2013-2014,Uttarakhand,347900036,Agape,173-C Rajpur Road DehradunUttaranchal-248009,13952589.96
8,2013-2014,Uttarakhand,347900096,Agnes Kunze Society,Pari Mahal D-55 aman ViharVillage Chidowali Kandoli P O Sahastradhara Road,13565512.65
9,2013-2014,Uttarakhand,347960044,Ajatananda Interreligious Trust,H. No- 212Tapovan249192,4402337.10
10,2013-2014,Uttarakhand,347960001,AKHANDA YOGA DHAM TRUST,Sree Mangal Yoga and Nature cure Centre Muni-Ki- Reti PO:RishikeshTehri Garhwal  Uttranchal-249201,12000.00
11,2013-2014,Uttarakhand,347860016,AMAN,Hussain Manzil Narsinghbari Post Almora Dist. AlmoraUttranchal-263601,4774324.85
12,2013-2014,Uttarakhand,347900147,Amar Jyoti Bal Vikas Sansthan,Lal Tappar Sai Mandir Hardwar RoadP.O. Resham Majri248004,460865.37
13,2013-2014,Uttarakhand,347960051,AMRIT FOUNDATION,KAILASH GATE MUNI KI RETIRISHIKESH249201,0.00
14,2013-2014,Uttarakhand,347960049,Anand Prakash Yoga Ashram Trust,Village Tapovan  Shivanand NagarVillage Tapovan249192,1870818.80
15,2013-2014,Uttarakhand,347910012,Anath Shishu Palan Trust Of India,Shri Ram Ashram Shyampur Distrt. Haridwar -,9994399.00
16,2013-2014,Uttarakhand,347900168,Anusuchit Jati Mahila Utthan Samiti,117 Khurbura StreetDehradun248001,0.00
17,2013-2014,Uttarakhand,347970004,Arpit Sewa Sansthan,Vill-Nandpur Narka  Topa Bazpur Udham Singh NagarUttranchal-262401,0.00
18,2013-2014,Uttarakhand,347960046,Asha Kiran Sewa Ashram,NarendranagarNarendranagar249175,0.00
19,2013-2014,Uttarakhand,347920033,ASHA KIRAN SOCIETY,PROVINCIAL HOUSE ST MARYS CONVENT RAMNEE PARKNAINITAL263002,338360.00
20,2013-2014,Uttarakhand,347990020,Association for Rural Planning and Action,Helpiya AskotPithoragarh-Uttranchal-262501,4094159.00
21,2013-2014,Uttarakhand,347940022,ASTHA VIDYA NIKETAN SAMITI,KASHIRAMPUR TALLA KOTDWARPAURI GARHWAL246149,0.00
22,2013-2014,Uttarakhand,347900088,Aurovalley Ashram Sosiety,Aurovalley Ashram Rishidwar RaiwalaDehradun-Uttranchal-249205,4195730.92
23,2013-2014,Uttarakhand,347990018,Avani,P.O.- Tripuradevi Via- BeringPithoragarh-Uttranchal-262531,15085166.00
24,2013-2014,Uttarakhand,347940021,BALMAITRI SHISHU SANSTHAN,VILLAGE MALEL GOAN DIULISWARGASHRAM249304,343029.00
25,2013-2014,Uttarakhand,347900070,Balvikas Kendra,173 Rajpur Road DehradunUttranchal -248009,165000.00
26,2013-2014,Uttarakhand,347920015,Bareilly Dioceson Social Servicce Centre,Fonseca Estate KathgodamHaldwaniNainital-Uttranchal-263126,8392437.46
27,2013-2014,Uttarakhand,347900119,Basharat Shikska and Vikas Samiti,Vill-Bhuddi Shimla Road Dehradun DehradunUttranchal-248001,0.00
28,2013-2014,Uttarakhand,347910036,Bharat Lok Sewa Sansthan,Village Rawli Mahdood BahadrabadHaridwar249402,0.00
29,2013-2014,Uttarakhand,347910008,Bharat Mata Janhit Trust,Raghava Vatika Haripurkalan SaptsarovarHardwal (Uttranchal)-249410,7205007.50
30,2013-2014,Uttarakhand,347900050,Bharat Susamachar Samiti,Kulhan P.O. Sahastradhara RoadDehradun Uttranchal-248001,60174842.00
31,2013-2014,Uttarakhand,347900022,Bharitya Gramothan Sansthan,Gram & Post  Dandi DehradunUttaranchal-248145,119700.00
32,2013-2014,Uttarakhand,347980015,Birja Gramin Jan Vikas Siksha Sansthan,ShyampurChinyalisour249196,0.00
33,2013-2014,Uttarakhand,347940005,Catholic Diocese Of Bijnore,Kotdwar Pauri GarhwalUttaranchal-246149,26608139.95
34,2013-2014,Uttarakhand,347900162,CENTER FOR BUSINESS AND ENTREPRENUERIAL DEVELOPMENT SOCIETY,14 Indira Nagar P.O. New  forestDehradun248006,0.00
35,2013-2014,Uttarakhand,347920016,Central Himalayan Environment Association,06 Waldorf CompoundMallital263001,9353066.40
36,2013-2014,Uttarakhand,347900178,Centre for Ecology Development and Research,201 Phase-1 Vasant ViharDehradun248006,0.00
37,2013-2014,Uttarakhand,347860022,CHANDRA MATRI EVAM BAL KALYAN SAMITI,MAA SARASWATI UPASANA MANDIR PRANAM NIVASP.O. KAUSANI263639,519561.06
38,2013-2014,Uttarakhand,347900072,CHILDREN HOME,Bhogpur Dehra DunUttaranchal -248143,39974080.44
39,2013-2014,Uttarakhand,347960027,Christian Academy Rural Welfare Movement,Bel Road P.O.Box 5 Kotdwar (Garhwal)Uttaranchal-,2742376.00
40,2013-2014,Uttarakhand,347900101,Christian Retreat & Study Centre,105 Old Rajpur Road DehradunUttaranchal-248009,121302.50
41,2013-2014,Uttarakhand,347900079,Cni Girls Inter College,51 Rajpur Road DehradunUttaranchal-,0.00
42,2013-2014,Uttarakhand,347990017,Creative Attempts In Rural Development Society,PO- Jhulaghat PithoragarhUttranchal-262526,0.00
43,2013-2014,Uttarakhand,347960006,Daliyon Ka Dagriya,P.O. Box - 44 Birla Parisar Amra Kunj SrinagarTehri (Uttranchal)-246174,2459609.73
44,2013-2014,Uttarakhand,347920037,DANPUR HIMALIYAN RURAL AND AGRICULTURE SOCIETY,DANI BHAWAN NEAR MUKHANI CHORAHA KALADUNGI ROADHALDWANI263139,0.00
45,2013-2014,Uttarakhand,347880007,Dasholi Gram Swarajya Mandal,Gopeshwar ChamoliUttaranchal-246401,100000.00
46,2013-2014,Uttarakhand,347900009,Dawa Rinjue School Society,Dehra Dun Road HerbertpurDehra Dun (Uttaranchal)-248142,337800.00
47,2013-2014,Uttarakhand,347900045,Dekyiling Tibetan Handicraft Cum Training And Charitable Society,Po Kulhan Sahastradhara Road DehradunUttaranchal-248001,1812212.18
48,2013-2014,Uttarakhand,347900175,DEVBHOOMI MARTIAL ARTS WELFARE SOCIETY,252 Gopal Nagar Dehradun RoadDehradun249201,0.00
49,2013-2014,Uttarakhand,347900136,DEVRISHI EDUCATIONAL SOCIETY,32/22 CIRCULAR ROADDEHRADUN248001,0.00
50,2013-2014,Uttarakhand,347920035,DHAROHAR VIKAS SANSTHA,RaitakhanNainital263132,430640.00
51,2013-2014,Uttarakhand,347900134,Dhyana Mandiram Trust,Swami Ram Sadhaka Grama Virpur Khurd Virbhadra RoadRishikesh249203,19611622.00
52,2013-2014,Uttarakhand,347900157,DISASTER MITIGATION AND MANAGEMENT CENTRE,UTTARAKHAND SECRETARIAT 4 SUBHASH ROADDEHRADUN248001,1936.00
53,2013-2014,Uttarakhand,347910004,Divya Prem Sewa Mission Trust,Rana Bhawan Bhagirathi Nagar P.O. Saptsarover Sadhubela Hardwar Uttaranchal-249408,511055.00
54,2013-2014,Uttarakhand,347910014,Divya Yog Mandir Trust,Kripalu Bagh Ashram Near Dadu Bagh Kankhal  HaridwarUttranchal-249408,663976.00
55,2013-2014,Uttarakhand,347900067,Don Bible College,61 Rajpur Road  . DehradunUttarachal-,21634509.35
56,2013-2014,Uttarakhand,347900005,Doon Charitable Trust Society,41 Shaleen Enclave BadripurDehradun (Uttaranchal)-,0.00
57,2013-2014,Uttarakhand,347900029,Dr B.S. Gupta Medical Charitable Society,13/2 Sadanand Marg RishikeshDehradun Distt. (Uttaranchal)-249201,0.00
58,2013-2014,Uttarakhand,347900047,Drikung Kagyu Institute,Jang Chub  LingSahastradhara Road Dehradun  P.O. KulhanUttaranchal-248001,23921601.59
59,2013-2014,Uttarakhand,347920006,Dwarhat Gram Swaraj ya Mandal,P.O.-Rani Bagh Distt.-NainitalUttaranchal-263126,0.00
60,2013-2014,Uttarakhand,347900092,Eco-Adventreks And Welfare Society,Anandgram 11 Nalapani Road Adhoiwala DehradunUttranchal-248001,2026713.53
61,2013-2014,Uttarakhand,347900112,Edara-shabab-E-Islami,"Vill"" Mehuwal-A-Mafi PO- Majra Distt: DehradoonUttranchal-248171",0.00
62,2013-2014,Uttarakhand,347920013,Emmanuel Masihi Samiti,Chandmari Po Kathgodam NainitalUttaranchal-263126,1052408.00
63,2013-2014,Uttarakhand,347900025,Emmanuel Social Association,Muyal's House 28/2 Luxmi Road Dalanwala Dehradun.Uttar Pradesh-248001,0.00
64,2013-2014,Uttarakhand,347900010,Experiments In Rural Advancement,9 Arvind Marg Rajpur Road DehradunUttaranchal-248001,0.00
65,2013-2014,Uttarakhand,347900027,Finall Touch Educations Society,16-B Subhash RoadDehradun248001,0.00
66,2013-2014,Uttarakhand,347910033,FORUM FOR RURAL INFRASTRUCTURAL ENVIRONMENTAL AND NATIONAL DEVELOPMENT SOCIETY,344 MIG VIVEK VIHAR COLONY PO JWALAPURHARIDWAR249407,511639.00
67,2013-2014,Uttarakhand,347860009,G.B. Pant Institute Of Himalayan Enviroment & Development,Kosikatarmal Distt. AlmoraUttaranchal-263643,27192252.43
68,2013-2014,Uttarakhand,347980003,Gaden Phelgyeling Nuns- Institute,P.O.- Dunda Village- Ranadi Distt.- Uttar KashiUttaranchal-249151,0.00
69,2013-2014,Uttarakhand,347980016,GANGA VALLEY EDUCATIONAL TRUST,VILLAGE DEVIDHAR DUNDA POST AND TEHSILDUNDAUTTARKASHI249151,65757.00
70,2013-2014,Uttarakhand,347960014,Garhwal Community Development & Welfare Society,Mussoorie Road Chamba Distt.- Tehri GarhwalUttaranchal-249148,678806.00
71,2013-2014,Uttarakhand,347980013,Garhwal Rural Awareness Campaign for Eager Society,Post Box No. 1 Ward no – 2 Old Market BarkotUttar Kashi(Dist)249141,0.00
72,2013-2014,Uttarakhand,347960017,Garhwal Vikas Kendra,Village & Post- Suman Kyari Nainbagh Tehri GarhwalUttaranchal-249186,155903.00
73,2013-2014,Uttarakhand,347950002,Garhwal Welfare Samiti,Kandari Bhawan-Auring RudraprayagUttranchal-246419,0.00
74,2013-2014,Uttarakhand,347900128,Gokul Society for Handicapped,1/4 Teg Bahadur RoadDehradun248001,0.00
75,2013-2014,Uttarakhand,347880004,Gomati Prayag Jan Kalyan Parishad,Bhakunda Post- Dhunglwali Block- KaranprayagDistt. Chamoli Uttaranchal-246446,0.00
76,2013-2014,Uttarakhand,347900093,Gongkar Choede  Monastry,Laldang (Tibeten  Colony) VpoBrotiwalaVikas NagarDehradunUttaranchal-,5141880.26
77,2013-2014,Uttarakhand,347860032,GOPAL DUTT SHIKSHAN SAMITI,SHARMA NIWAS CHAUKHUTIYA AT RANIKHET ROAD POST GANAI DISTT ALMORACHAUKHUTIYA263656,0.00
78,2013-2014,Uttarakhand,347900049,Grace Educational Society,51-C Rajpur Road DehradunUttaranchal-248001,6784332.90
79,2013-2014,Uttarakhand,347960023,Gram Seva Sansthan,Dhapad Goangarh Po Bhatgaon Tehri GarhwalUttaranchal-249181,0.00
80,2013-2014,Uttarakhand,347920020,Grameen Evam Krishi Vikas Samiti,6-334 Kalawati Colony Haldwani NainitalUttaranchal-263139,0.00
81,2013-2014,Uttarakhand,347960036,"Gramin Krishi Vikas Avam Paryavaran Sumbharadan Sanstha ""Darem""",C/o Hotel Jyoti Torist Main Market Ghansali  PO.& Via- GhansaliTEHRI-GARHWAL   Uttranchal-249155,0.00
82,2013-2014,Uttarakhand,347960035,Gramin Kshetra Vikash Samiti (RADS),P.B.-06 Vill & Post Ranichauri Tehri GarhwalNew Tehri Uttranchal-249199,0.00
83,2013-2014,Uttarakhand,347860018,Gramin Samaj Kalyan Samiti,Talla Chaina Khan Almora Uttaranchal -263601,0.00
84,2013-2014,Uttarakhand,347950003,Gramin Sudhar Avam Sramik Sewa Sansthan,Vill + Post- Budna (Lassya) JakholiRudraprayag (Uttranchal)-246141,0.00
85,2013-2014,Uttarakhand,347870001,Gramin Uthan Samiti,V.P.O. Kapkote Ta. KapkoteDistt. Bageshwar Uttaranchal-263632,0.00
86,2013-2014,Uttarakhand,347990022,Gramin Vikas Samiti,Kalyan Baldia Bhawan Cinema Line PithoragarhUttaranchal-262501,366707.00
87,2013-2014,Uttarakhand,347900094,Gramya Mahila Kalyan Sansthan,Wing No 3 Barrack No 24/1 Prem Nagar DehradunUttaranchal-248007,0.00
88,2013-2014,Uttarakhand,347900151,GRAPHIC ERA EDUCATIONAL SOCIETY,566/6 Bell Road ClementtownDehradun248002,0.00
89,2013-2014,Uttarakhand,347910031,HAPPY FAMILY HEALTH CARE AND RESEARCH ASSOCIATION,Subhash NagarRoorkee247667,0.00
90,2013-2014,Uttarakhand,347900169,HEALTH NETWORKING SEWA SANSTHAN,BHATT BHAWAN DEEPNAGAR AJABPUR KALADEHRADUN248001,0.00
91,2013-2014,Uttarakhand,347900172,HELPING HANDS,C 204 HILL VIEW APPARTMENTS SAHASTRADHARA ROADDEHRADUN248001,4614350.00
92,2013-2014,Uttarakhand,347900066,Herbertpur Christian Hospital Society,Po Herbertpur DehradunUttaranchal-,13429493.47
93,2013-2014,Uttarakhand,347900012,Herbertpur Trust Association,10 Convent Road DehradunUttaranchal-248001,415062.65
94,2013-2014,Uttarakhand,347900111,Him Jyoti Foundation,Raj Bhawan DehradunUtteranchal-248003,207953.36
95,2013-2014,Uttarakhand,347880010,Himad Samiti,Vishwanath Talkies Complex Gopeshwar ChamoliUttaranchal-246401,2435708.00
96,2013-2014,Uttarakhand,347900065,Himalaya Inland Mission,Landour MussoorieUttaranchal-,9483344.02
97,2013-2014,Uttarakhand,347980014,Himalaya Paryavaran Jadi Buti Agro Sansthan,Village Bagi Post ThandiUttarkashi249165,0.00
98,2013-2014,Uttarakhand,347890007,HIMALAYA WATER SERVICES TATHA VIKAS PARYAVARAN SANRAKSHAN SAMITI,DARAHCHAMPAWAT262523,2375870.03
99,2013-2014,Uttarakhand,347900048,Himalayan Action Research Centre,744 Indira Nagar Phase-ii Po New Forest DehradunUttaranchal-248006,15845888.46
100,2013-2014,Uttarakhand,347960041,Himalayan Educationa and  Resource Development Society,Block Road Chamba Tehri Garhwal.New Tehri249145,2050924.00
101,2013-2014,Uttarakhand,347960037,Himalayan Environment Studies And Conservation Organisation,Vigyanprastha Gholteer Gwar Chowk Distt. Rudraprayag GarhwalUttaranchal-,3881356.00
102,2013-2014,Uttarakhand,347880008,Himalayan Foundation,Village SarotiNandprayag246449,0.00
103,2013-2014,Uttarakhand,347960003,Himalayan Institute for Environment Ecology and Development,Post Bagh No.7 Hifeed CampusRanichauri249199,0.00
104,2013-2014,Uttarakhand,347900083,Himalayan Institute for Rural Awakening,C-18 Ugrasen Nagar PO Virbhadra Rishikesh DehradunUttaranchal-249202,0.00
105,2013-2014,Uttarakhand,347900020,Himalayan Institute Hospital Trust,Holly Grant Dehra DunUttaranchal-248140,51565389.00
106,2013-2014,Uttarakhand,347950004,Himalayan Jan Kalyan Evam Bal Vikas Samiti,Village- Daira (Mastura) UkhimathDistt.- Rudraprayag (Uttranchal)-246469,1832420.00
107,2013-2014,Uttarakhand,347900141,HIMALAYAN JYOTI SAMITI (FORMERLY KNOWN AS UTTARANCHAL JYOTI SAMITI,CHAAR DUKAN LANDOUR CANTTMUSSOORIE248179,567388.99
108,2013-2014,Uttarakhand,347860013,Himalayan Organisation For Protecting Environment,Post. Pikholi Ram Khet Dist. AlmoraUttaranchal-263647,0.00
109,2013-2014,Uttarakhand,347990009,Himalayan Seva Samiti,Vill-Dharapani PO- Chandak Distt.-PithoragarhUttaranchal-262501,0.00
110,2013-2014,Uttarakhand,347990008,Himalayan Study Circle for Environment Child Edu. Health & Research,G.I.C. Road Pandey Gaon PithoragarhUttaranchal-262501,0.00
111,2013-2014,Uttarakhand,347900053,Himalayan Torchbearers,15/11green Valley Rajpur Road DehradunUttaranchal-,9470308.35
112,2013-2014,Uttarakhand,347900167,HIMALAYAN TOURISM PROMOTION ORGANIZATION,1ST Floor 42 Shastri Enclave Haridwar RoadDehradun248001,0.00
113,2013-2014,Uttarakhand,347960015,Himalayee Paryavaran Shiksha Sansthan,P.o. Lamb Goan Tehri GarhwalUtttaranchal-249165,1339750.00
114,2013-2014,Uttarakhand,347990011,Himaliyan Gram Vikas Samiti,Awalghat Road Dasaithal Post- Dasaithal (Gangolihat)Distt. Pithoragarh (Uttaranchal)-262522,0.00
