S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2013-2014,West Bengal,147030064,16  MILE MOHAMMAD  RAFI  GRAMMYO  KALYAN  SAMITY,VILLAGE  16 MILE - PO  GURUTOLA - PS  KALIACHAKKOLKATA732127,0.00
2,2013-2014,West Bengal,147030030,16 Mile Rural Development Society,16 Mile PO-Gurutola Malda town MaldaWest Bengal-732127,0.00
3,2013-2014,West Bengal,147120791,8No.Bhukailash Road Swami Vivekananda Homoeo Clinic and Charitable Dispensary,8 No.Bhukailash Road KolkataWest Bengal-700023,0.00
4,2013-2014,West Bengal,147111117,AASHAR AALO,Village and Post Office Gabberia Police Station Mandir Bazar District South 24 Parganas Pin 743336 West BengalKolkata743336,0.00
5,2013-2014,West Bengal,147111019,AAWAAZ A VOICE FOR THE VOICELESS,Sherwood Estate 169 N S C Bose Road Flat 2 K Block H NarendrapurKolkata700103,270144.71
6,2013-2014,West Bengal,147111039,ABAYAB TWO THOUSAND AND FIVE,Village and PO Beniabow KalikapurKalikapur743613,0.00
7,2013-2014,West Bengal,147120715,Abta Janakalyan Kendra,2/30Sangati Colony P.0:Regent Estate KolkataWest Bengal.-700092,0.00
8,2013-2014,West Bengal,147110277,Abubakkar Khan Seba Sadan,Purba Bayar Singh Via PathankhaliP S Basanti743611,0.00
9,2013-2014,West Bengal,147050073,ABUL KALAM AZAD MASS EDUCATION SOCIETY,Village – Kadam Sarif P.O. – Roshan Bagh P.S. – MurshidabadRoshan Bagh742164,0.00
10,2013-2014,West Bengal,147110004,Accord,"51/A Middle Road Sourth View Apartment Ground Floor 
Barrackpore P.O. : Nona-Chandanpukur Dist. North 24 Parganas kolkata - 700122.Barrackproe700122",125000.00
11,2013-2014,West Bengal,147110998,Acharya Pranavananda Seva Ashram,Vill and PO Purba Nishchintapur Budge Budge Kolkata 700 138Kolkata700138,0.00
12,2013-2014,West Bengal,147110251,Action Of Promoters For Dev.& Liberation,Mamudpur P.o.kanyanagarSouth 24 Parganas -743503.-,0.00
13,2013-2014,West Bengal,146920068,Adibasi Social Workers Association for Social Action Net Work,Champakiari PO KenduadiBankura722102,0.00
14,2013-2014,West Bengal,147120090,Adorers Congregation,P - 8 C.i.t.road Park Circus KolkataWest Bengal-700017,5836315.30
15,2013-2014,West Bengal,147120675,Agape Education Mission,near 4 No. Bheri  Nowbhanga Sector- IV Salt Lake KolkataWest Bengal-700105,6165047.08
16,2013-2014,West Bengal,147110890,Agarhati Sri Ramakrishna Sarada Sevashrama,Village and Post - Agarhati P.S. - SandeshkhaliBarasat743329,387859.00
17,2013-2014,West Bengal,147000104,Agradut Palley Unnayan Samity,Vpo Gaza HowrahW.b-711226,0.00
18,2013-2014,West Bengal,147000027,Agragati,Vil Kalikata Po Raspur  HowrahWest Bengal-711401,309000.00
19,2013-2014,West Bengal,147040269,Agrani Sangha And Pathagar,Vil Jagannath Karbar Pirijkhanbar MidnaporeWb-721422,0.00
20,2013-2014,West Bengal,147120387,Ahead,153a Block -g New Alipore KolkataWest Bengal -700053,414628.79
21,2013-2014,West Bengal,147120965,AHEAD INITIATIVES,5-1-2-G Cornfield RoadKolkata700019,10544211.00
22,2013-2014,West Bengal,147110225,Aikatan Sangha,Vill. & P.o.dara Ps.joynagarSouth 24 Parganas. W.b.-,0.00
23,2013-2014,West Bengal,146940068,Aikyatan Development Society,At- Gushkara Dharapara PO-Gushkara BurdwanWest Bengal-,0.00
24,2013-2014,West Bengal,147120903,AIM Art Illuminates Mankind,234 Acharya Prafulla Chandra RoadKolkata700004,0.00
25,2013-2014,West Bengal,146920056,AKASH GRAM UNNAYAN SAMITY,Village- Lodna P.O- LodnaP.S- OndaBankura722174,0.00
26,2013-2014,West Bengal,146940002,Akbarpur Sammelan,Po Nandanghat BurdwanWest Bengal-713515,0.00
27,2013-2014,West Bengal,147110291,Akshaynagar Pallisri Sangha,Block: Kakdwip AkshaynagarSouth 24 Parganas -743347-,7918729.00
28,2013-2014,West Bengal,147050092,Al Falah Mission Berhampore,29-1E K K  Banerjee RoadBerhampore742101,0.00
29,2013-2014,West Bengal,147111094,AL MUSTAFA EDUCATIONAL AND WELFARE TRUST,VILL PO ATGHARA PS BADURIASUB DIV BASIRHAT743438,0.00
30,2013-2014,West Bengal,147000120,Al- Ameen Mission,Village- Khalt Pur P.o.- DehibhursulRajbalhul Howrah West Bengal-,0.00
