S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Haryana,172270079,ADARSH RURAL DEVELOPMENT SOCIETY,227 DEEP PLAZA NEAR COURT GURGAONGURGAON122001,0.00
2,2015-2016,Haryana,172250011,Adarsh Samaj Sahayog Samiti,House No. 909 Sector 9 FaridabadHaryana-121006,0.00
3,2015-2016,Haryana,172390007,Adarsh Saraswati Shiksha Samiti,Sant Graib Das Gali No. 2 Kakrai Rd SonepatHaryana-,0.00
4,2015-2016,Haryana,172270083,AGRASAR,A-261 SOUTH CITY-IGURGOAN122001,8003198.00
5,2015-2016,Haryana,172200003,Al-Rasheed Charitable Society,91/2Gandhi Nagar Buria Road JadadhriYamuna Nagar Haryana-,79686622.00
6,2015-2016,Haryana,172300011,AMAR JYOTI FOUNDATION,NEAR LIJWANA CHUNGI WARD-6JULANA126102,0.00
7,2015-2016,Haryana,172310001,Aparna Trust,Madhuban  Karnal Haryana-,2650955.17
8,2015-2016,Haryana,172270087,ARPAN MUKHOPADHYAY MEMORIAL TRUST,24/801 HERITAGE CITY M.G ROAD DLF-IIGURGAONGURGAON122002,197332.80
9,2015-2016,Haryana,172310007,Arpana Handicrafts, KarnalHaryana-,0.00
10,2015-2016,Haryana,172310008,Arpana Products, Karnal Haryana-,0.00
11,2015-2016,Haryana,172310002,Arpana Research & Charities Trust, KarnalHaryana -,11112251.58
12,2015-2016,Haryana,172350009,Association for Social Health in India Haryana State Branch,Ashiana Children Home Building Opp H No 642 Sector 16Panchkula134109,0.00
13,2015-2016,Haryana,172250010,Association for the Welfare of Handicapped,3 A / 163 N.I.T. FaridabadHaryana-121001,60000.00
14,2015-2016,Haryana,172230005,Baba Yogi Neta Nath Trust,Village Lohani Tehsil and District BhiwaniHaryana127021,0.00
15,2015-2016,Haryana,172350003,Bal Sadan Association,I- 9 Sector 12 A PanchkulaHaryana-134112,236497.00
16,2015-2016,Haryana,172250003,Bethany Social Service Society,A-2 Central Graman N.H.5 FaridabadHaryana-121001,0.00
17,2015-2016,Haryana,172350008,BHARAT MEMORIAL CHARITABLE TRUST,86 INDUSTRIAL AREA PHASE IPANCHKULA134109,1.00
18,2015-2016,Haryana,172250030,BHARTIYA GRAM SUDHAR SAMITI,FCA 794A BLOCK-C  SGM NAGAR  PATEL CHOCK FARIDABADFARIDABAD121001,0.00
19,2015-2016,Haryana,172220001,BUWAN KOTHI INTERNATIONAL TURST,VILLAGE LEHERIANBHUNA125113,7692450.00
20,2015-2016,Haryana,172270082,CAIRN FOUNDATION,C/o CSR Department DLF Atria Building Jacaranda MargN Block DLF City Phase-II Gurgaon122002,81337117.00
21,2015-2016,Haryana,172210018,Centre for Rural Development & Social Awareness,VPO Kherawaliu Via Kalka Dist. AmbalaHaryana-133302,0.00
22,2015-2016,Haryana,172370004,Chaubisee Vikas Sangh,Meham Dist. RohtakHaryana-,0.00
23,2015-2016,Haryana,172210008,Christian Hospital,Jagadhari Dist: AmbalaHaryana-,1382300.00
24,2015-2016,Haryana,172200008,CHURCH OF CHRIST FULL GOSPEL INDIA,PLOT NO. 24-B INDIARA GARDEN OPP. I.T.I.YAMUNA NAGAR135001,0.00
25,2015-2016,Haryana,172270080,COCACOLA INDIA FOUNDATION,No. 1601 1701 One Horizon Centre DLF Golf Course Road DLF Phase5 Sector 43 Gurgaon Haryana 122002Gurgaon122002,0.00
26,2015-2016,Haryana,172270081,Developing Initiatives for Knowledge Social and Humanitarian Activities DIKSHA,E 401 Celebrity Homes Palam ViharGurgaon122017,84350.18
27,2015-2016,Haryana,172320010,DR VEENA CHOWDHARY FOUNDATION,485/3 Navchetna House Killa Sikha Raod Shahabad MKurukshetra136135,0.00
28,2015-2016,Haryana,172270057,Dr. Vijay Kumar Foundation,1969 Sector 4Gurgaon122001,2364714.00
29,2015-2016,Haryana,172230006,Eco Club,Ward No 7 Siwani MandiBhiwani127046,0.00
30,2015-2016,Haryana,172270060,Education And development Society,Village Khuspuri Post Office Umra Tehsil NaginaNUH122108,0.00
31,2015-2016,Haryana,172250012,Educational Cum Vocational Association for the Disabled,100 FT.Road  Shyam Colony Ballabhgarh FaridabadHaryana-,766688.00
32,2015-2016,Haryana,172270077,End Poverty,M-48 South CIty 1Gurgaon122001,13899142.49
33,2015-2016,Haryana,172370011,Gehlu Gian Bharti Shiksha Samiti,Village - Farmana Tehsil-Meham Distt.-RohtakHaryana-124520,0.00
34,2015-2016,Haryana,172270037,Genesis Foundation,A-50/5 DLF Qutab Enclave Phase-I GurgaonHaryana-122001,6461947.30
35,2015-2016,Haryana,172210022,Gram Sudhar Samiti,Khanpur Brahamanda AmbalaHaryana-,0.00
36,2015-2016,Haryana,172290007,Gram Swarajya Sansthan,196  Premnagar HissarHaryana-,0.00
37,2015-2016,Haryana,172270019,GRAMIN VIKAS SAMITI,504/1 Bhim Garh Kheri-IINear Railway StationGurgaon Harayana - 122001GURGAON122001,0.00
38,2015-2016,Haryana,172270065,GRAMIN VIKAS SIKSHA AVAM SAMAJ KALYAN SAMITI,VPO AGONBLOCK FEROZEPUR JHIRKA122104,0.00
39,2015-2016,Haryana,172200002,Gramin Vikas Vigyan Kendra,#303 CHOPRA GARDENYAMUNA NAGAR135001,0.00
40,2015-2016,Haryana,172400003,GRAMIN YUVA VIKAS MANDAL SERDHA,V.P.O. SERDHA DISTT. KAITHALKAITHAL136043,0.00
41,2015-2016,Haryana,172270029,Gurgaonharyana.com Society,668/11 Shivpuri GurgaonHaryana-122001,0.00
42,2015-2016,Haryana,172270056,Guru Nanak Sewa Sansthan,002/A Residency Ardee City Sector-52Gurgaon122001,0.00
43,2015-2016,Haryana,172330007,Habitat for Humanity,Post Box 1543-GPOAt-Rakshit Bhavan Kalaka Road near Keel FactoryRewari Haryana -123401,686561.70
44,2015-2016,Haryana,172370010,Haryana Navyuvak Kala Sangam,443/30 Dev Colony Delhi Road  RohtakHaryana-124001,0.00
45,2015-2016,Haryana,172310030,HARYANA VILLAGE MINISTRIES,55 VASANT VIHARKARNAL132001,1460723.00
46,2015-2016,Haryana,172350012,HIMALAYA FOUNDATION,93P  SECTOR 25PANCHKULA134112,928264.05
47,2015-2016,Haryana,172270042,Holy Trinity Bible Church,267/14Gurgaon122001,5564466.00
48,2015-2016,Haryana,172270075,I AM GURGAON,D 63 SOUTH CITY 1GURGAON122002,2493500.00
49,2015-2016,Haryana,172270046,IIMPACT,"IIMPACT
Ground Floor  M 2/3 DLF Phase - II
Gurgaon - 122002 ( Haryana)Gurgaon122002",18047129.82
50,2015-2016,Haryana,172200009,INDIAN CHARITABLE FOUNDATION,303 CHOPRA GARDENYAMUNA NAGAR135001,0.00
51,2015-2016,Haryana,172270068,Indian Institute of Corporate Affairs,p-6 Sector-5IMT Manesar122050,0.00
52,2015-2016,Haryana,172310010,Indian Missionary Society Northern Region,Kunjpura Road KarnalHaryana-,16651539.36
53,2015-2016,Haryana,172270074,Institute for Research on India and International Studies,993 Sector-40Gurgaon122003,715677.00
54,2015-2016,Haryana,172250033,Integrated Association of Micro Small and Medium Enterprises of India,Plot No 66 Sector 27AFaridabad121003,0.00
55,2015-2016,Haryana,172350011,J K Shanti Charitable Society,H No 100 Sector 12Panchkula134009,4186450.00
56,2015-2016,Haryana,172270054,Jafar Welfare and Education Society,Village mahu Post manidekhera tehsil F.P. JhirkaMewat122108,0.00
57,2015-2016,Haryana,172200007,Jagriti,Village AmadalpurYamunanagar135001,0.00
58,2015-2016,Haryana,172250028,JAN PARIVARTAN SANSTHA,483-29 sectorFARIDABAD121008,0.00
59,2015-2016,Haryana,172300009,JIND DHARMARTH TRUST,BANK ROADJIND126102,0.00
60,2015-2016,Haryana,172250018,Jiva Institute of Vedic Science & Culture,H.No.1144 Sector-19 FaridabadHaryana-121002,0.00
61,2015-2016,Haryana,172270013,Khushbu Welfare Society,4-B Friends Colony Jharsa Road Gurgaon Haryana-,102886.00
62,2015-2016,Haryana,172390017,Kirti Yuva Club,Kakroi Road Near Dharam Kanta SonepatSonepat131001,0.00
63,2015-2016,Haryana,172210025,LOGOS FAITH FOUNDATION,48 B Himmat Pura Near Yadav Tent HouseAmbala Cantt133001,6406623.00
64,2015-2016,Haryana,172300010,LORD KRISHNA TRUST,385 W NO 2 RAMBIR SINGH COLONY  GANGAPUTRA BHAWAN  RAILWAY ROADJIND126102,0.00
65,2015-2016,Haryana,172270086,LOTUS PETAL CHARITABLE FOUNDATION,"Gali No 5 Plot No 3 
Village Silokhra
Near Unitech House 
South City 1Gurgaon122002",3965048.00
66,2015-2016,Haryana,172210013,Madarsa-Baitul Uloom,Piplimazra HPO Dist. YamunanagarHaryana-,7258779.00
67,2015-2016,Haryana,172300007,MAHATMA GANDHI PRAKRITIK CHIKITSA SAMITI,286/5 SCHEME NO.5 GANDHI NAGAR JINDJIND126102,0.00
68,2015-2016,Haryana,172270044,Maranatha India,A-10/24 DLF Phase-IGurgaon122002,38406566.00
69,2015-2016,Haryana,172270064,MAXVISION SOCIAL WELFARE SOCIETY,GALI NO. 2 1ST FLOOR ASHOK VIHAR PHASE-1 NEAR PAWAN GENERAL STORE RAILWAY STATION ROAD GURGAON HARYANA -122001GURGAON122001,4315.33
70,2015-2016,Haryana,172270073,MERA PARIVAR,HOUSE NO 267 SECTOR 14GURGAON122001,1955370.35
71,2015-2016,Haryana,172270009,Mewat Development Society,Chharora PO Tauru Dist. GurgaonHaryana-,0.00
72,2015-2016,Haryana,172270071,MEWAT EDUCATIONAL AND DEVELOPMENT SOCIETY,VILLAGE DUNGEJA POST OFFICE PINANGWAN TEHSIL FEROZPUR JHIRKAMEWAT122108,0.00
73,2015-2016,Haryana,172250023,Mewat Trust for Educational Welfare,Villa/Po- Fatehpur Taga FaridabadHaryana-121004,936618.23
74,2015-2016,Haryana,172270085,MI INDIA DEVELOPMENT TRUST,UNIT NO 530 FIFTH FLOOR TOWER - B SPAZEDGE SECTOR - 47 SOHNA ROADGURGAON122018,501225.00
75,2015-2016,Haryana,172310026,Mission to the Desperate and Destitute of India,Anathashram Building P.B. NO. 137 Rajiv Puram PhoolgarhKarnal Haryana-132001,140940.89
76,2015-2016,Haryana,172390009,Modern Education Society,Village-Mandoura Town-KharkhodaSonepat Haryana-,673415.00
77,2015-2016,Haryana,178010001,MOHD SHAMSUDDIN EDUCATIONAL AND SOCIAL SOCIETY,VPO TAURUTAURU122105,0.00
78,2015-2016,Haryana,172280003,Morning Glory Public Society,1260 MIG(V)New Housing Board ColonySector-3 RewariHaryana-123401,0.00
79,2015-2016,Haryana,172210020,Nand Lal Geeta Vidya Mandir Samiti,Vill-Tepla Ambala Cantt AmbalaHaryana-134003,291800.00
80,2015-2016,Haryana,172250004,National Association for the Blind, FaridabadHaryana-,253400.00
81,2015-2016,Haryana,172330003,National Evangelical Christian Development Society,P Box  1543 G.P.O.At-Rakshit  BhavanKalaka Roadnear Keel FactoryRewari Haryana-123401,2342194.00
82,2015-2016,Haryana,172270084,NAV DISHA EDUCATION AND WELFARE SOCIETY,SIDHRAWALISIDHRAWALI122413,11000.00
