S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Meghalaya,214250099,AGENCY FOR SUSTAINABLE DEVELOPMENT INITIATIVES,CHURCH HOUSE MISSION COMPOUNDSHILLONG793002,0.00
2,2015-2016,Meghalaya,214250051,Archdiocese Of Shillong,ArchBishop's House ShillongMeghalaya-793003,28464394.40
3,2015-2016,Meghalaya,214260024,BAKDIL,Lower Chandmari TuraWest Garo Hills Meghalaya-794002,1966617.00
4,2015-2016,Meghalaya,214250065,Bethany Society,Arai Mile New Tura W. Garo HillsMeghalaya-794101,17297786.25
5,2015-2016,Meghalaya,214260018,Bosco Mount, RongkhonTura -794001,122845.00
6,2015-2016,Meghalaya,214250027,Bosco Reach Out,Sacred Heart College  Dist: Shillong  East Khasi HillsMeghalaya-793008,60449632.57
7,2015-2016,Meghalaya,214250023,Catholic Church, NongpohEast Khasi Hills -793102,3090737.40
8,2015-2016,Meghalaya,214270004,Catholic Church, RingdoSonapahar -793119,0.00
9,2015-2016,Meghalaya,214270007,Catholic Mission, West Garo Hills Meghalaya-,0.00
10,2015-2016,Meghalaya,214250022,Christ King College,  Shillong -793003,1825135.00
11,2015-2016,Meghalaya,214250019,Church of God Ecclesia,Mawkhar Main Road Shillong Meghalaya-793001,2260049.00
12,2015-2016,Meghalaya,214530008,Claretian Formation Association of North East India,Claret Villa MawlaiShillong -793008,7819671.00
13,2015-2016,Meghalaya,214250053,Daughters Of St Paul  Society,Laitumkhram ShillongMeghalaya-793003,217734.40
14,2015-2016,Meghalaya,214240018,Diocese of Jowai,Bishop's House Jowai Jaintia Hills DistrictMeghalaya-793150,20654884.00
15,2015-2016,Meghalaya,214270012,Diocese of Nongston,Bishop's House Nongstoin West Khasi HillsMeghalaya-793119,41088775.90
16,2015-2016,Meghalaya,214260002,Diocese Of Tura,Bishop's House TuraMeghalaya-794001,28118207.22
17,2015-2016,Meghalaya,214230012,District Multipurpose Socio Economic Dev. Organisation,Kusimkolgre Willaim Nagar East Garo HillsMeghalaya-,3156231.00
18,2015-2016,Meghalaya,214250086,Divya Jeevan Foundation Society,Lady Veronica Park Laitumkhrah Shillong East Khasi HillsMeghalaya-793003,32062.00
19,2015-2016,Meghalaya,214530011,Don Bosco Centre for Indigenous Cultures,PO Mawlai ShillongMeghalaya-793008,252648.00
20,2015-2016,Meghalaya,214260019,Don Bosco College,Tura West Garo HillsMeghalaya.-,8813880.00
21,2015-2016,Meghalaya,214250072,Don Bosco Education Aid Society,Sacred Heart College Shillong East Khasi HillsMeghalaya-,0.00
22,2015-2016,Meghalaya,214250028,Don Bosco Technical School,  Shillong-793003,200000.00
23,2015-2016,Meghalaya,214250063,Don Bosco Youth Centre,Don Bosco Road  Shillong-793003,3311688.62
24,2015-2016,Meghalaya,214250054,DOULOS BIBLE INSTITUTE,Riathsamathiah Shillong -793001,420827.00
25,2015-2016,Meghalaya,214250070,Dwar Jingkyrmen,School For Children in Need of  Special Education StonlandShillong Meghalaya-793003,25323.00
26,2015-2016,Meghalaya,214250001,Evangelical Free Church of  India,P.O  Madanriting 21 East Khasi Hills ShillongMeghalaya-793021,9039634.98
27,2015-2016,Meghalaya,214530009,Ferando Development Educational and Welfare Society,St. Margaret's Convent  PeachlandsShillong Meghalaya-793003,18262284.37
28,2015-2016,Meghalaya,214240016,Ferrando Educational and Welfare Society,Ferrando convent Myndihati Jaintia Hills Meghalaya -793200,0.00
29,2015-2016,Meghalaya,214250076,Ferrando Speech & Hearing Centre,Mawroh- Mawlai Shillong East Khasi Hills -793008,3148705.85
30,2015-2016,Meghalaya,214250090,FMA-Outreach for Underprivileged Women and Children,Auxilium Nongthymmai Shillong East Khasi Hills (Meghalaya) -793014,1969481.00
31,2015-2016,Meghalaya,214290002,Franciscan Capuchin Social Service Society,Byrnihat Ri-Bhoi DistrictMeghalaya-793101,17931066.70
32,2015-2016,Meghalaya,214530012,FRANSALIAN EDUCATIONAL AND WELFARE SOCIETY,M.S.F.S. STUDY HOUSEMAWROH MAWLAI793008,3586351.00
33,2015-2016,Meghalaya,214260008,Garo Baptist Convention,Tura  Meghalaya   -794002,33246.00
34,2015-2016,Meghalaya,214250108,Grassroot,mawkhar main roadshillong793001,0.00
35,2015-2016,Meghalaya,214260016,Holy Cross Church,Rongkhon TuraMeghalaya-794001,0.00
36,2015-2016,Meghalaya,214240004,Holy Family Church,Khliehriat Naintia HillsMeghalaya-793200,0.00
37,2015-2016,Meghalaya,214250081,Impulse NGO Network,Temple Road Lower Lachumiere near Horse shoe Blg ShillongMeghalaya-793001,673640.00
38,2015-2016,Meghalaya,214260020,Integral Tribal Welfare Society,St. Claret Mission Ampati West Garo HillsMeghalaya.-,1403149.00
39,2015-2016,Meghalaya,214250103,J. N. BAWRI TRUST,BARA BAZAR ROADSHILLONG793002,0.00
40,2015-2016,Meghalaya,214240019,JAINTIA HILLS DEVELOPMENT SOCIETY,BISHOPS HOUSE LUMBIHSYNTU MIHMYNTDU JOWAI P OJOWAI793150,0.00
41,2015-2016,Meghalaya,214250041,Kharang Rural  Centre,Goldmine ShillongMeghalaya-793004,499900.00
42,2015-2016,Meghalaya,214250010,Khasi Jaintia Presbyterian Assembly Social Economic Life Development Association,Church House Mission Compound ShillongMeghalaya-793002,136192.00
43,2015-2016,Meghalaya,214250062,Khasi Jaintia Presbyterian Synod HospitalShillong,Jaiaw Shillong East Khasi HillsMeghalaya-793001,10302644.28
44,2015-2016,Meghalaya,214250074,Khat Arshnong Socio-Organisation,Khat Arshang Hqs. Laitmawsiang Cherrapunjee East Khasi HillsMeghalaya.-,0.00
45,2015-2016,Meghalaya,214250097,KHYNDAI KYNTOIT SOCIAL AND CULTURAL ORGANIZATION,WAHLANG (VILLAGE)MADAN BITAW (POST)EAST KASIHILLS793121,0.00
46,2015-2016,Meghalaya,214250087,Living Word Communicators,RISA Colony Shillong East Khasi Hills DistrictMeghalaya-793003,2051401.11
47,2015-2016,Meghalaya,214250091,Maitri,No 36 R R Colony Near Rynjah DispensaryLance No 3 Rynjah Shilong793006,10483766.00
48,2015-2016,Meghalaya,214250006,Mary Our Help Training Centre, ShillongMeghalaya-793001,3144540.77
49,2015-2016,Meghalaya,214230008,Medical Mission Sister Society North East India, MendipatharMeghalaya-,503470.00
50,2015-2016,Meghalaya,214240003,Mihmyntdu Community Development Project, JowaiJaintia Hills-,0.00
51,2015-2016,Meghalaya,214250018,Missionary Sisters of Mary Help of Christians,St. Margaret's Convent Shillong East Khasi HillsMeghalaya -793003,5383702.00
52,2015-2016,Meghalaya,214270014,Mount Calvary Society,Vill. NongstoinRambrai793119,3273917.00
53,2015-2016,Meghalaya,214260025,Multipurpose Development for Social Action,Village Damal-Asim PO Daddengre Tura  West Garo HillsMeghalaya-794104,3123586.00
54,2015-2016,Meghalaya,214250035,Nazareth Hopital Society,Laitukrah Shillong -793003,0.00
55,2015-2016,Meghalaya,214250003,Nirmali Society of Christ Jesus,Red Hill RoadLaitumkhrah793003,4260214.00
56,2015-2016,Meghalaya,214250095,Nongkrem Youth Development Association,NongkremShillong793015,0.00
57,2015-2016,Meghalaya,214270015,NONGSTOIN SOCIAL SERVICE SOCIETY,NONSTOIN DIOCESENONSTOIN793119,0.00
58,2015-2016,Meghalaya,214250088,North East Centre for Training and Research,Kong Doris buildingNear Power GridLower NongrahLapalang RynjahShillong793006,8132712.00
59,2015-2016,Meghalaya,214250055,North East India Committee on Relief & Development,Non Grimbah Road LaitumkhrahShillong -793003,23721859.52
60,2015-2016,Meghalaya,214250045,North East India Diocesan Council (CNI),Bishops Kuti  ShillongMeghalaya-793001,1645000.00
61,2015-2016,Meghalaya,214290006,NORTH EAST MARYSALIAN MULTIPURPOSE SOCIAL SERVICE SOCIETY,BARIDUA PO AMERIGOGNONGPOH781023,222735.00
62,2015-2016,Meghalaya,214250084,North East Society of Sisters of the Holy Cross,'Meiaida' LaitumkhrahNongrim Road Shillong East Khasi Hills DistrictMeghalaya-793003,3542380.00
63,2015-2016,Meghalaya,214250104,NORTH EASTERN REGIONAL DOMESTIC WORKERS WELFARE TRUST,MARIA VILLA 2ND FLOOR DHANKHETI MALKISHILLONG793001,0.00
64,2015-2016,Meghalaya,214250061,North-East India Christian Mission,Nongpoh Ri BhaiMeghalaya-793102,6865756.00
65,2015-2016,Meghalaya,214250017,OPERA RAVALICO,Savio Juniorate  MawlaiShillong -793008,53151576.31
66,2015-2016,Meghalaya,214250029,Oriens Theological College,Mawlai Shillong Meghalaya-793008,1632976.00
67,2015-2016,Meghalaya,214250033,Pastoral Centre,Tripura Castle Road  Shillong -793003,0.00
68,2015-2016,Meghalaya,214250012,Presbyterian Churches of Inida,Central Ward  ShillongMeghalaya-793001,2155425.53
69,2015-2016,Meghalaya,214270009,Presentation Catholic Church Nonghyllam,Nonghyllam Village Borsora P.O Shillong West Khasi HillsMeghalaya-,2752962.02
70,2015-2016,Meghalaya,214250040,Ramakrishna Mission, LaitumkhrahShillong -793003,757450.00
71,2015-2016,Meghalaya,214250038,Ramakrishna Mission Asram, CherrapunjeeEast khasi Hills -793111,18146.00
72,2015-2016,Meghalaya,214270010,RI-Lyngham Rural Development Association,Mawthengkut BPO Riangod West Khasi HillsMeghalaya-793119,0.00
