S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Dadra & Nagar Haveli,261530014,Balwatika Society,Helpers of Mary Dadra PO Dadra and Nagar Haveli SilvassaDist Valsad-396191,5991752.00
2,2016-2017,Dadra & Nagar Haveli,261530008,Church of Our Lady of Piety,P.O.Box 14 SilvassaDadra & Nagar Haveli-,0.00
3,2016-2017,Dadra & Nagar Haveli,261530004,Church of Sacred Hearts of Jesus,Dapadda  Dadra & Nagar Haveli-396240,0.00
4,2016-2017,Dadra & Nagar Haveli,261530006,Gyanmata Educational Society,Khanvel  Silvassa Dadra & Nagar Haveli-396230,0.00
5,2016-2017,Dadra & Nagar Haveli,261530012,Our Lady of Lourdes Mission,Chisda P.O.  Khanvel Dadra & Nagar Haveli-396320,0.00
6,2016-2017,Dadra & Nagar Haveli,261530003,Our Lady Of Pilar Mission,Sindonim   Dadra & Nagar Haveli-396230,0.00
7,2016-2017,Dadra & Nagar Haveli,261530013,Our Lady Of Rosary Mission, SheltiDadra & Nagar Haveli  -396230,0.00
8,2016-2017,Dadra & Nagar Haveli,261530007,Our Lord Redeemer Church,Khanvel  SilvassaDadra & Nagar Haveli -396230,0.00
9,2016-2017,Dadra & Nagar Haveli,261530005,Social Service Adivasi Society,Khanvel  SilvassaDadra & Nagar Haveli-396230,0.00
10,2016-2017,Dadra & Nagar Haveli,261530015,Society of Pilar Nagar Haveli,Premal Deep Zanda Chowk SilvassaDadra & Nagar Haveli-396230,1122456.00
11,2016-2017,Dadra & Nagar Haveli,261530001,St. Francis Xavier Mission,Khanvel  Sivassa Dadra & Nagar Haveli-396230,0.00
12,2016-2017,Dadra & Nagar Haveli,261530010,St. Francis Xavier Mission, DudhniDadra & Nagar Haveli-396230,74063.00
13,2016-2017,Dadra & Nagar Haveli,261530016,wild life and we protection foundation,shalimar industrial estate dayat falia road amlisilvassa396230,0.00
