S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Delhi,231661200,“AASHALATA” VICTORIA WILKINSON MEMORIAL CHARITABLE TRUST (REGD),L-96-D Second Floor Saket New Delhi -110017Delhi110017,0.00
2,2016-2017,Delhi,231661649,A GIGGLES WELFARE ORGANIZATION,E-74  3rd FLOOR BHARAT NAGARNEW FRIENDS COLONY110025,0.00
3,2016-2017,Delhi,231650956,A K Medical & Research Centre,504 Chamalian Road Near Idgah Delhi-110006,0.00
4,2016-2017,Delhi,231661198,AADHAR,A-361 MEERA BAGHNEW DELHI110087,466993.01
5,2016-2017,Delhi,231660628,Aagaz Foundation,Shaheed Bhawan 18/1 Aruna Asaf Ali MargQutab Institutional Area New Delhi-110067,0.00
6,2016-2017,Delhi,231660554,Aakansha Samiti,E- 437/(25YARDS) RAGHUBIR NAGAR NEW DELHI DELHI-110027RAGHUBIR NAGAR110027,684814.50
7,2016-2017,Delhi,231650652,Aakar,19 Gulmohar ParkNew Delhi-110049,706470.21
8,2016-2017,Delhi,231661026,AAM FOUNDATION,Valmiki Temple 1 Vasant Gaon Vasant ViharNew Delhi110057,155900111.06
9,2016-2017,Delhi,231650944,Aanchal Charitable Trust,148-ADDA Flats Mansarover Park110032,6648308.00
10,2016-2017,Delhi,231661033,Aarohan,B-127 Malviya NagarNew Delhi110017,0.00
11,2016-2017,Delhi,231661063,AASTHA  FOUNDATION,12 G F TANSEN MARGNEW DELHI110001,0.00
12,2016-2017,Delhi,231661406,AATMIK ARADHANA CHARITABLE TRUST,H N 14 Gali No 6 Biharipur Colony Near CRPF Camp Khajoori KhasDelhi110094,13228.00
13,2016-2017,Delhi,231660407,ABHAS- Action Beyond Help and Support,A201Yamuna Apartments AlaknandaNew Delhi-110019,0.00
14,2016-2017,Delhi,231661472,ABHAY RAMA FOUNDATION,G - 16B MANSAROVER PARKSHAHDARA110032,0.00
15,2016-2017,Delhi,231661593,ABHINAV SAMAJ,R-10 R-Block Old Uttam NagarNew Delhi110059,300000.00
16,2016-2017,Delhi,231660767,Abhivyakti Foundation,Room No. 403 1/18 B Dreamland Asaf Ali Road New Delhi -110002,0.00
17,2016-2017,Delhi,231661203,ACCESS Development Services,22 Ground Floor Hauz Khas VillageNew Delhi110016,33784574.10
18,2016-2017,Delhi,231650265,Acharya Kakasaheb Kalelkar Samarak Nidhi,1j L Nehru Marg Rajghatnew Delhi 2New Delhi -110002,0.00
19,2016-2017,Delhi,231661299,Action Aid Association,R 7 Hauz Khas EnclaveNew Delhi110016,680669487.00
20,2016-2017,Delhi,231650125,Action for Ability Development and Inclusion,2 Balbir Saxena Marg Huaz KhasNew Delhi -110016,0.00
21,2016-2017,Delhi,231650903,Action For Autism,C-18 Chirag EnclaveNew Delhi-110048,3840895.72
22,2016-2017,Delhi,231650089,Action For Food Production,25/1-a Institutional Area Pankha Road Janakpuri New Delhi-110058,66891797.83
23,2016-2017,Delhi,231661051,ACTION FOR PERFECT CHARITY,D - 162 POCKET - B MAYUR VIHAR PHASE - II NEW DELHIDELHI110091,0.00
24,2016-2017,Delhi,231660546,Action for Resource Development in Health-Education by Youth Association,E-97 D.D.A. Colony Khyala New Delhi -110018,0.00
25,2016-2017,Delhi,231650807,Action For Self Reliance & Alternative,G1/456-457 Dalmil Road Uttam NagarNew Delhi110059,20383986.00
26,2016-2017,Delhi,231650276,Action India,5/27-a Jangpura - B  New Delhi-110014,900679.61
27,2016-2017,Delhi,231660452,Adaan Foundation,F-7B DDA Flats Munirka New Delhi -110067,0.00
28,2016-2017,Delhi,231660938,ADHARSHILA,S 519 GREATER KAILASH 2NEW DELHI110048,8363384.00
29,2016-2017,Delhi,231660849,Adhyatmic Vikas Shiksha Sanstha,515 E (A-347) Buddha MargMandawali Fazalpur110092,929514.00
30,2016-2017,Delhi,231650822,Adhyatmik Sadhana Sangh,C-block Naraina Industirial AreaNew Delhi `-110028,5513.00
31,2016-2017,Delhi,231660313,Adi Gram Samiti,Sector 'B' Pocket-I Flat no.1106 AVasant KunjNew Delhi-110070,735125.00
32,2016-2017,Delhi,231650990,Adishakti Laboratory For The Theatre Art Research  Public Charitable Trust,Triveni Apartments Flats No. 106 Block -b Phase - 1 Sheikh SaraiNew Delhi-110017,1295043.65
33,2016-2017,Delhi,231660381,Adopt,606Ansal Bhawan 16Kasturba gandhi MargNew Delhi-110001,0.00
34,2016-2017,Delhi,231650923,Advanced Leadership Training Centre,24-a Opp. Anupam Sfs Flats Zaidullah Zaib Extn MehrauliNew Delhi-110030,21838181.00
35,2016-2017,Delhi,231650915,Adventist Development & Relief Agency India,11 Hailey RoadNew Delhi -110001,55831269.06
36,2016-2017,Delhi,231661587,ADVIT FOUNDATION,101 ANUPAM APARTMENTS M.B. ROADNew Delhi110068,17405295.00
37,2016-2017,Delhi,231661204,AFRICAN STUDIES ASSOCIATION OF INDIA,AFRICA DIVISION SCHOOL OF INTERNATIONAL STUDIES JAWAHARLAL NEHRU UNIVERSITYNEW DELHI110067,1101093.00
38,2016-2017,Delhi,231661327,AFS INTERCULTURAL PROGRAMS INDIA,M-9 SECOND FLOOR LAJPAT NAGAR - IINEW DELHI110024,29093548.45
39,2016-2017,Delhi,231660622,Aga Khan Agency for Habitat India,Sarojini House 2nd Floor 6 Bhagwan Dass RoadNew Delhi-110001,4424761.00
40,2016-2017,Delhi,231650072,Aga Khan Foundation,Sarojini House (2nd Floor) 6 Bhagwan Dass RoadNew Delhi-110001,594859035.00
41,2016-2017,Delhi,231660163,Agewell Foundation,M-8A Lajpat Nagar - II166110024,3632502.00
42,2016-2017,Delhi,231650746,AGNEL CHARITIES (AGNEL SEVA SANGH) DELHI,Father Agnel Ashram  Gautam NagarNew Delhi-110049,4710798.00
43,2016-2017,Delhi,231660748,Agragami India,4 Community Shopping Centre Anupam Apartments SiddulajabNew Delhi-110068,9915712.32
44,2016-2017,Delhi,231660594,AHIMSA,C/o Seth  Flat No.201E Nagarjuna ApartmentsChilla Regulator DELHI-110096,508279.00
45,2016-2017,Delhi,231660503,Ahimsa Foundation,21 Skipper House 9 Pusa Road New Delhi -110005,0.00
46,2016-2017,Delhi,231661635,AHVAAN TRUST,E-45 Fourth Floor Himalaya House Kasturba Gandhi MargNew Delhi110001,6500000.00
47,2016-2017,Delhi,231660629,Aident Social Welfare Organisation,# B-22 3rd Floor Gazipur Village GazipurDelhi110096,1389905.25
48,2016-2017,Delhi,231661511,AIDMATRIX FOUNDATION,C-2/2200 VASANT KUNJ NEW DELHI-110070NEW DELHI110070,0.00
49,2016-2017,Delhi,231660900,AKANKSHA WELFARE  FOUNDATION,"20 ANSARI ROAD GROUND FLOOR
DARYA GANJ NEW DELHI-110002NEW DELHI110002",0.00
50,2016-2017,Delhi,231661062,Akhand Param Dham,Opposit Pocket-R Dilshad GardanDelhi110095,815304.00
51,2016-2017,Delhi,231660186,Akhil Bharatiya Antyodaya Sansthan,18/489 Trilok Puri Delhi -110091,5582798.00
52,2016-2017,Delhi,231661603,AKHIL BHARTIYA AGARWAL SAMMELAN,83 MODEL BASTI EAST PARK ROAD KAROL BAGH NEW DELHIDELHI110005,0.00
53,2016-2017,Delhi,231660942,AKHIL BHARTIYA FAUJI MANAV KALYAN SEVA SANSTHA,A-162 GALI No. 16 SINDHU FARM ROAD MITHAPUR EXT. BADARPUR NEW DELHI-110044.NEW DELHI110044,0.00
54,2016-2017,Delhi,231661161,AKHIL BHARTIYA MAJDOOR SHIKSHA SEWA SAMITI,H.O. 12 K.-1 Exten. Mohan Garden Uttam NagarNew Delhi110059,0.00
55,2016-2017,Delhi,231650554,Akshya Pratishthan,D-iii Vasant KunjNew Delh110070,331256.00
56,2016-2017,Delhi,231661131,AL MAARIF EDUCATIONAL AND CULTURAL SOCIETY,OLD D-21 NEW C-18 RANI GARDEN SHASTRI NAGARDELHI110031,0.00
57,2016-2017,Delhi,231660031,Alamb,JBB-35-B Janta Flats Near Swarg Ashram Hari NagarNew Delhi-,488135.00
58,2016-2017,Delhi,231650030,Alaripu,1702/1D -2 1st FloorMehrauli New Delhi110030,0.00
59,2016-2017,Delhi,231660842,All India Artisans and Craftworkers Welfare Association,Basement B- 223 Chittaranjan ParkNew Delhi110019,42805069.53
60,2016-2017,Delhi,231650069,All India Association For Christian Higher Education,39istt.area D Block JanakpuriNew Delhi -110058,4958984.00
61,2016-2017,Delhi,231660979,All India Association For Women And Child Development,162 ankur apartment 7 I.P.EXTN.Delhi110092,0.00
62,2016-2017,Delhi,231660455,All India Citizen's Welfare Society,10/133 West Guru Angad Nagar Gurudwara RoadDelhi -110092,0.00
63,2016-2017,Delhi,231661500,ALL INDIA CONFEDERATION FOR WOMENS EMPOWERMENT THROUGH EDUCATION,P-1 GROUND FLOOR PRIVATE COLONY  SRINIWASPURI EXTENSIONNew Delhi110065,0.00
64,2016-2017,Delhi,231650008,All India Confederation Of Blind,Sector V Rohini   New Delhi-110085,9928316.00
65,2016-2017,Delhi,231661056,All India Education and Medical Relief Society of St.Ann,H 2/3 VikaspuriDelhi110018,537357.27
66,2016-2017,Delhi,231661190,All India Educational Movement,E-3 Abul Fazal Enclave Jamia NagarNew Delhi110025,0.00
67,2016-2017,Delhi,231660787,All India Ex Soldiers League,6090-b8Vasant Kunj110070,0.00
68,2016-2017,Delhi,231660934,ALL INDIA ISLAHE ANJUMAN SIDDIQUI,J-3/127 C KISHAN KUNJ LAXMI NAGARDELHI110092,0.00
69,2016-2017,Delhi,231661162,ALL INDIA MARWARI YUVA MANCH,3432/13HASSAN BUILDINGSECOND FLOORNICHOLSON ROADKASHMIRI GATEDELHI-110006DELHI110006,0.00
70,2016-2017,Delhi,231660991,All India Masihi Jamat,B-18 Second FloorWest Patel Nagar110008,5305654.10
71,2016-2017,Delhi,231660209,All India Movement For Seva,112-a Hans Bhawan 1 Bahadur Shah Zafar Marg New Delhi-110002,180193849.00
72,2016-2017,Delhi,231660576,All India Praise Ministries Trust,I Block 10/964 Sangam Vihar New Delhi -110062,4624261.00
73,2016-2017,Delhi,231650116,All India Prayer Fellowship,Q-3 Green Park Extension New Delhi -110016,486257.00
74,2016-2017,Delhi,231660011,All India Primary Teacher's Federation,41Institutional Area Pankha Road D Block JanakpuriNew Delhi -110058,19942444.65
75,2016-2017,Delhi,231660427,All India Society for Advance Education and Research,317 Main Road Khichripur Near Mayur Vihar Phase IIDelhi-110091,0.00
76,2016-2017,Delhi,231660987,All India Society of Education,AISE Bhawan B-1/348 Sector - 17Rohini110089,0.00
77,2016-2017,Delhi,231661365,ALL INDIA ST MARTHA EDUCATION SOCIETY,5 GHONDLI KRISHNA NAGARDELHI110051,0.00
78,2016-2017,Delhi,231660463,All India Talimi Wa Milli Foundation,B 1 Raza Chowk Gali No.18 Zakir Nagar OkhlaNew Delhi-110025,0.00
79,2016-2017,Delhi,231660695,All India Tanzeem Taleem-O- Dawat,576/39 Zakir Nagar Okhla New Delhi -110025,480924.58
80,2016-2017,Delhi,231650394,All India Womens Conference,6 Bhagwan Das Road  New Delhi-110001,752052.16
81,2016-2017,Delhi,231650763,All India Womens Education Fund Association,Hannah Sen Cottage  Lady Irwin College 4 Sikandra RdNew Delhi -110001,36244.00
82,2016-2017,Delhi,231661205,Allama Rafiq Trust,772  SuiwalanDelhi110006,0.00
83,2016-2017,Delhi,231661451,ALLIANCE FOR AN ENERGY EFFICIENT ECONOMY,SAIRA Tower 4th Floor Gulmohar Enclave N-161-A Yusaf SairaiNew Delhi110049,1964960.00
84,2016-2017,Delhi,231660325,Alliance Francaise de Delhi,72Lodhi EstateNew Delhi110003,1372344.00
85,2016-2017,Delhi,231661455,ALPHA OMEGA CHARITABLE SOCIETY,Platinum Height Flat No. 345 DDA HIG MultistorySector-18B Block-B Dwarka110078,20427.01
86,2016-2017,Delhi,231660858,Alternative Futures,B 177 East of KailashNew Delhi110065,0.00
87,2016-2017,Delhi,231660685,Alzheimers  and Related Disorders Society of India ARDSI Delhi Chapter,163 Kailash HillsGround Floor Back Portion110065,2787.50
88,2016-2017,Delhi,231660555,Aman Public Charitable Trust,"T-29 Ground Floor
Green Park Main
New Delhi 110016New Delhi110016",7780043.42
89,2016-2017,Delhi,231661645,aman uday,1-C North End Civil LinesDelhi110054,0.00
90,2016-2017,Delhi,231650260,Amar Jyoti Charitable Trust Delhi,N-192 Greater Kailash Pt. I  New Delhi-110048,7528423.76
91,2016-2017,Delhi,231660623,Amba Foundation,C-76 Bathla Apts 43 I.P.Extension Delhi -110092,122500.00
92,2016-2017,Delhi,231650449,American Institute Of Indian Studies,D-31 Defence Colony  New Delhi-110024,180480975.00
93,2016-2017,Delhi,231661567,AMIN SOCIAL WELFARE TRUST,F-79 GROUND FLOOR NEAR HARI KOTHI ABUL FAZAL ENCLAVE PART-I JAMIA NAGAR OKHLANEW DELHI110025,0.00
94,2016-2017,Delhi,231661369,ANAND DHAM,163-164 GROUND FLOOR POCKET C-1 SECTOR - 11 ROHINIDELHI110085,1411430.00
95,2016-2017,Delhi,231650957,Ananda Mission Charitable Trust,Su- 5-6 Dda Building 11 Bhikaji Cama PalaceNew Delhi -110066,2011050.00
96,2016-2017,Delhi,231660826,Ananda Sangha,N-100 Panchsheel Park110017,1547.00
97,2016-2017,Delhi,231661558,ANANDA YOG ASHRAM TRUST,RZ-2696/30 TUGHLAKABAD EXTN. OPP. TARA APTS. KALKAJINEW DELHID110019,0.00
98,2016-2017,Delhi,231661619,ANANTA ASPEN CENTRE,124 FIRST FLOOR THAPAR HOUSE JANPATHNEW DELHI110001,100000.00
99,2016-2017,Delhi,231660732,Animal Rahat,C/o Ravi Rajan and Co Pvt. Ltd.505A 5th FloorD 4 Rectangle 1 District Centre Saket110017,18236733.00
100,2016-2017,Delhi,231660472,Animal Rights International,Ahimsa BhawanF 125 Lado Sarai New Delhi110030,0.00
101,2016-2017,Delhi,231661110,ANK,JG-40- (3GF) Khirki Extension Malviya NagarDelhi110017,485829.00
102,2016-2017,Delhi,231650880,Ankur Public Charitable Trust,Gangadaya Heti Bai Chri. School Abul Fazal Enclave OkhlaNew Delhi-110025,414437.00
103,2016-2017,Delhi,231650214,Ankur Society For Alternatives In Education,76 2nd Floor National ParkLajpat Nagar-IV110024,7641765.30
104,2016-2017,Delhi,231661176,ANM CHARITABLE TRUST,WZ 10B ASALATPUR  A-2 JANAKPURINEW  DELHI110058,7482835.15
