S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Goa,271830133,Anyay Rahit Zindagi,Plot No.71Next to ESI DispensarySancoale Industrial Estate SaurinagarSouth Goa403726,8313970.00
2,2016-2017,Goa,271830093,Auxilium Salesian  Society, CaranzalemGoa-403523,0.00
3,2016-2017,Goa,271810007,BETHESDA LIFE CENTRE,H No 1503/3 Rego Bagh Bambolim Complex TisWadi NorthNorth Goa403202,5390018.70
4,2016-2017,Goa,271830104,Canossa  Society Goa,Modlo Vaddo ArambolPernem Goa-403524,0.00
5,2016-2017,Goa,271830025,Capuchin Friars Minor Society,Modi Navelim  SalcetteGoa-,9869413.97
6,2016-2017,Goa,271830153,Care and Compassion - Goa,4F/G-2 Models ComplexTaleigao Market Ilhas403002,3434573.03
7,2016-2017,Goa,271830003,Caritas Goa,Paco Pathiarcal Altinho PanjimGoa -403001,417245.00
8,2016-2017,Goa,271830058,Carmelite Monastery, ChimalimGoa-,0.00
9,2016-2017,Goa,271830008,Central Fund of Archdiocese of Goa & Daman, PanjimGoa-,2089282.41
10,2016-2017,Goa,271830155,CHANDOR JYOTHI SEVA SANGH,PALLOTTI JYOTHI NIWASGUIRDOLIMCHANDOR403714,2088825.00
11,2016-2017,Goa,271830156,Childrens Rights in Goa,H.No 754/1 11 2nd Floor CHRISTINA APARTMENTSAlto Porvorim403521,2108327.50
12,2016-2017,Goa,271830130,Chorao Educational Society,Boctawada-Chorao Ilhas- North-GoaGoa-403102,0.00
13,2016-2017,Goa,271830080,Churach of our Lady Of The Sea, Nani DamanDaman & Diu -396210,0.00
14,2016-2017,Goa,271830072,Congr Of The Srs Of St Joseph Of Clunny, VernaGoa -403722,293897.37
15,2016-2017,Goa,271830074,Congregation Sisters of St Joseph Clunty,Vaddem Vasco Da GamaGoa -403802,0.00
16,2016-2017,Goa,271830073,Congregation Sisters St.Joseph Of Cluny,Cluny Convent  Nagoa De VernaSalcete-Goa-403722,216164.56
17,2016-2017,Goa,271830158,COOJ MENTAL HEALTH FOUNDATION,13 34 LAVI COTTAGEMODLEM MOROD403507,0.00
18,2016-2017,Goa,271830018,Diocesan Cathectical Centre,  Old Goa-,1625000.00
19,2016-2017,Goa,271830055,Diocesan Centre For Social Community Media, PanjimGoa-403001,0.00
20,2016-2017,Goa,271830057,Diocesan Family Service Centre Goa,D B MargOpp Steamer Jetty403001,0.00
21,2016-2017,Goa,271830140,Diocesan Society of Education,Paco Patriarcal AltinhoGoa-403001,0.00
22,2016-2017,Goa,271830046,Discalced Carmelite Monastery,Novitia Training Aquem MargaoGoa-403601,397660.00
23,2016-2017,Goa,271810009,Disha Charitable Trust,Behind Directorate of Education A.B. RoadPanaji403001,100000.00
24,2016-2017,Goa,271830129,Don Bosco Benaulim Society,H. No. 353 Pull Vaddo BenaulimGoa.-403707,0.00
25,2016-2017,Goa,271830053,Don Bosco Farmer's Rehabilitation Society,Sulcorna Quepem  Goa-403705,0.00
26,2016-2017,Goa,271830127,Don Bosco Luotolim Society,Luotolim  SalceteGoa-403718,0.00
27,2016-2017,Goa,271800002,Dudhsagar Krishi Udyog Society,Pillar Fathers Farm Shigao-CollemPonda Goa-403410,0.00
28,2016-2017,Goa,271830134,EL-Shaddai Charitable Trust,176 Batti Parra Bardez North Goa Goa-403510,41110127.39
29,2016-2017,Goa,271810014,FAITH WORKS INDIA,"Faith Works India
Shalom Plot NO. 123
Vainguinum Valley
Dona Paula
Goa - 403004DONA PAULA403004",23188.00
30,2016-2017,Goa,271830122,Fatima Society,Margao Goa -403601,0.00
31,2016-2017,Goa,271830023,Fr. Angel Trust, Pilar Goa-403203,470947.00
32,2016-2017,Goa,271830049,Franciscan Sisters of Christ the King,Saligao BardezGoa-,10308650.16
33,2016-2017,Goa,271820006,GOA ANIMAL WELFARE TRUST,NEAR AMBEDKAR CIRCLE BASAI CACORACURCHOREM403706,0.00
34,2016-2017,Goa,271830022,Goa Salesian Society,Dob Bosco High SchoolPanjim,3678625.00
35,2016-2017,Goa,271810013,GRACE EDUCATIONAL TRUST,NO 192  A1  BEHIND T B CUNHA ARCHITECTURE COLLEGE  OPP A 3 PWD QUARTERSALTINHO  PANAJI403001,1666229.00
36,2016-2017,Goa,271830035,Holy Childhood,Paco  Patriacal AltinhoPanjim  Goa-403001,0.00
