S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Maharashtra,083930603,A J Foundation,Plot No 8 Survey No 288 Raisoni Industrial EstateHinjewadi Pune411057,101000.00
2,2016-2017,Maharashtra,083780821,A Quest For Knowledge Hope Opportunity & Justice(khoj),Y Tadkeshwar Chawl Ramwadi Jogeshwari(east) MumbaiMaharashtra-40060,1905625.00
3,2016-2017,Maharashtra,083781527,A WORLD OF OPPORTUNITY FOUNDATION,C-3 Aditya Birla Centre S K Ahire Marg WorliMumbai400030,0.00
4,2016-2017,Maharashtra,083840044,AADHAR BAHUUDESHIYA SANSTHA,New Plots  Near Station Road  Amalner 425401 District Jalgaon MaharashtraAmalner425401,0.00
5,2016-2017,Maharashtra,083770083,AAI JANHIT BAHUUDDESHIYA SEVABHAVI SANSTHA,SAHARA ANATHALYA  PARIVAR     BALGRAM  GOVINDWADI   GEORAI  TQ  GEORAI    DIST BEEDGEORAI431127,55576.00
6,2016-2017,Maharashtra,083781097,AAKAR CHARITABLE TRUST,The Phonix Mills Ltd 462Senapati Bapat MargLower Parel Mumbai Maharastra400013,0.00
7,2016-2017,Maharashtra,083930225,Aalochana Cent.for Docu.& Res. On Women,11-b Kanchan Gali ErandhavanPune-,0.00
8,2016-2017,Maharashtra,083810020,Aamhi Aamachya Arogya Sathi,At Po Taluka : Kurkheda Gadchiroli441209  M.s.-,6566023.36
9,2016-2017,Maharashtra,083990185,aarambh,33-B Gitanjali Sector 17 VashiNavi Mumbai400703,6736743.50
10,2016-2017,Maharashtra,083781447,AARJU FOUNDATION,Room no 16 Shree Balkeswar Co opt Hsg Soc Ltd  Mahadev Bhai Rd  Kandiwali EastMumbai400101,359538.00
11,2016-2017,Maharashtra,083990074,AASARA,B-24 Praful Nakhawa Chendani Koliwada Thane East Maharashtra-400603,0.00
12,2016-2017,Maharashtra,083781390,AASHISH FOUNDATION,UNIQUE INDUSTRIAL ESTATE122 TWIN TOWER LANEPRABHADEVI DADAR WEST400025,29201.00
13,2016-2017,Maharashtra,083781405,Aastha Parivaar,86-D KamgarNagar S.G.Barve Road Kurla- EastMumbai400024,5602995.00
14,2016-2017,Maharashtra,083950023,Aavishkar Society for Development of Mentally Handicapped,E-95 MIDC Mirjole RatnagiriMaharashtra-415639,0.00
15,2016-2017,Maharashtra,083780857,Aawaaz-e-niswaan,Ist Floor Jain High School 84-samuel Street DongriMumbai(maharashtra)-,4861766.50
16,2016-2017,Maharashtra,083790031,ABDUL RAUF EDUCATIONAL WELFARE AND MULTIPURPOSE SOCIETY,WARD NO. 22 TILAKWADI OLD TOWN BULDANA MOBILE NO. 09923485757BULDANA443001,0.00
17,2016-2017,Maharashtra,083900052,Abhivyakti Media For Development,31-a Kalyani Nagar Anandvali Gangapur Road  Nashik Maharashtra-422005,3246334.00
18,2016-2017,Maharashtra,083781222,ABUNDANT LIFE MINISTRIES,27A CHAPPEL ROAD BANDRA WESTMUMBAI400050,3373266.22
19,2016-2017,Maharashtra,083781366,ACADEMY OF INDIAN MARKETING PROFESSIONALS,11 HEENA MADHU PARK SOCIETY 1ST FLOOR PLOT NO 128 1ST ROAD KHAR WESTMUMBAI400052,0.00
20,2016-2017,Maharashtra,083780317,Acil Navasarjan Rural Dev. Foundation,408  NEW UDYOG MANDIR NO.2 MOGUL LANE MAHIM (WEST)MUMBAI400016,0.00
21,2016-2017,Maharashtra,083930013,Action For Agricultural Renewal In Maharashtra,Bld No.2/23 A-braisoni Park  Market Yard PuneMaharashtra-411037,9917362.03
22,2016-2017,Maharashtra,083930291,Action For Self-reliance Hope&awareness,E-3/14 Salunke Vihar KondhwaPune 411048-,2315361.00
23,2016-2017,Maharashtra,083970070,Action for Women And Rural Development  AWARD,1st floor Sanket Complex  Near Gite Building  SataraSatara415002,3201769.00
24,2016-2017,Maharashtra,083990170,Action Research Centre,A-1/605 Shruti Park Kolshet RoadThane (West)400607,1455921.00
25,2016-2017,Maharashtra,083780396,Acworth Leprosy Hospital Society For Research Rehabilitaion & Edu. In Leprosy,Wadala BombayMaharashtra-400031,1149337.00
26,2016-2017,Maharashtra,083780204,ADAPT Able Disabled All People Together,"Upper Colaba Road
Opp. Afghan Church
Colaba.MUMBAI400005",27914415.61
27,2016-2017,Maharashtra,083790048,ADARSH BAHUUDESHIYA MAHILA SEVA MANDAL,AT POST DHADBULDANA443106,0.00
