S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Manipur,194130323,ABUNDANT LIFE MINISTRY,LAMNENGTE INNFIRST STREET NEW NAMBULAND795001,0.00
2,2016-2017,Manipur,194130427,ACTION FOR SOCIAL JUSTICE ORGANIZATION,SOIBAM LEIKAI AYANGPALI ROADIMPHAL EAST795001,0.00
3,2016-2017,Manipur,194130092,Action For Welfare Awakening In Rural Environment,Thangmeiband Imphal  Manipur-795001,0.00
4,2016-2017,Manipur,194160098,Action for Woman and Child Advancement,New ZovengImphal795128,0.00
5,2016-2017,Manipur,194140057,Action of Women in Development,Wino BazarUkhrul795142,0.00
6,2016-2017,Manipur,020780133,AGAPE CHRISTIAN OUTREACH MISSION INDIA,"ANUGRAHA NIWAS. RATENPHAI WW II OLD WORKSHOP
LEIKAI. P.O. PALLEL. CHANDEL DISTRICT. MANIPUR
795135.CHANDEL795135",0.00
7,2016-2017,Manipur,194160059,Agape Museum,Post Box 110Opposite Tuibuong Petrol PumpChurachandpur,0.00
8,2016-2017,Manipur,194130248,Agent for Social Change (ASOC),C/O  Principal Prima Donna English High School Thangmeiband LilashingKhongnangkhongImphal Manipur-795010,0.00
9,2016-2017,Manipur,194130294,All Women and Child Development,Chingamathak First Floor Electricity BuildingImphal West(Manipur)-795001,0.00
10,2016-2017,Manipur,194160080,Amazing Grace Ministry Asia,Bijang Vengnom P. O. Box - 161Churachandpur795128,0.00
11,2016-2017,Manipur,194180003,Analon Christian Development Committee,Anallon Christian Institute CampusLambung795127,0.00
12,2016-2017,Manipur,194190006,Apunba Mahei Shanglem,Ishok PO Nambol BishnupurManipur-795134,0.00
13,2016-2017,Manipur,194190023,ASSOCIATION FOR RURAL DEVELOPMENT AND WOMEN EMPOWERMENT,KeinouP.O. Nambol795135,0.00
14,2016-2017,Manipur,194130431,Association for Rural Maintenance Services,Pukhao Iranpham PO PangeiImphal795114,0.00
15,2016-2017,Manipur,194130278,Association for Social Advancement and Resource Authority,Awang Sekmai Imphal West DistrictAndhra Pradesh-795136,0.00
16,2016-2017,Manipur,194150063,Association For Welfare And Rural development,Church road ColonySenapati795106,0.00
17,2016-2017,Manipur,194170024,Assumption Parish,Catholic Church New Awangkhul  B.p.o.-lamphalpatTamenglong Manipur-795004,0.00
18,2016-2017,Manipur,194130348,Auxiliary Service for Human Affairs,H.O. Asha Yaiphakol Sagolmang Bazar P.O. PangeiImphal795114,0.00
19,2016-2017,Manipur,194130042,Awang Jiri Nupi Marup,Nambol  ImphalManipur-795134,0.00
20,2016-2017,Manipur,194130054,Bashikong Chanura Sinlon Lup,Ningom Thongjao ImphalManipur-,0.00
21,2016-2017,Manipur,194160057,Bethany Christian Institute,Post Box No.-23 Family LaneChuruchandpur Manipur-795128,0.00
22,2016-2017,Manipur,194160103,Bethesda Khankho Foundation,Head Office K Salbung B P O KoiteChurachandpur795128,3949507.00
23,2016-2017,Manipur,194160099,Bible Hill outh Club,Rengkai Bible HillChurachandpur795128,0.00
24,2016-2017,Manipur,194130241,Care Foundation,Chassad Avenue Imphal East DistrictManipur-795001,0.00
25,2016-2017,Manipur,194130220,Catholic Educational Society,Archibishops House ImphalManipur-795002,702000.00
26,2016-2017,Manipur,194130109,Catholic Medical Centre,Koirengi ImphalManipur-795001,1343477.00
27,2016-2017,Manipur,194160092,Centre for Community Initiative,Zuihnuam Road College Veng New LamkaChurachandpur795128,2966360.00
28,2016-2017,Manipur,194200059,Centre for Development Activities,Near Indo-Myanmar Road WangjingManipur.-795148,0.00
29,2016-2017,Manipur,194150067,Centre for Information and Technology in Rural Areas,Selsi Motbung P.O. MotbungSenapati795107,0.00
30,2016-2017,Manipur,194130018,Centre for Mental Hygiene,Sangaipren Airport Road ImphalManipur-795001,0.00
31,2016-2017,Manipur,194130155,Centre For Organisation Research & Education,Paona Road Imphal Manipur-795001,0.00
32,2016-2017,Manipur,194130072,Centre For Social Development,Palace Compound Imphal Manipur-795001,20228690.00
33,2016-2017,Manipur,194180052,Centre for Women and Girls,Lhunnajang village Corner Stone AcademyTengnoupal block795135,0.00
34,2016-2017,Manipur,194180018,Chamdil Khubil Social Welfare Arts & Culture Asociation, ChandelManipur-795127,150000.00
35,2016-2017,Manipur,194130205,Charik Pareng Child Welfare Association,Mantripukhri Bazar Imphal EastManipur-,0.00
36,2016-2017,Manipur,194130344,Charitbale and Religious Society,New Lambulande P.O. ImphalImphal795001,2389613.04
37,2016-2017,Manipur,194150010,CHIL CHIL ASIAN MISSION SOCIETY,P.O. Leikham Pokpi  KanglatongbiManipur-795151,5768151.00
38,2016-2017,Manipur,194150026,Chivairy Poverty Allevation Dev. Association,P.O. Mao SenapatiManipur-795150,0.00
39,2016-2017,Manipur,194160074,Christian Revival Church Manipur,K. Phaicham Chiengkonpang PO ChurachandpurManipur-795128,0.00
40,2016-2017,Manipur,194180015,Christian Social Development Organisation,Panchai ChandelManipur-795127,448470.00
41,2016-2017,Manipur,194160088,Church of the Nazarene International (North East India),Hmarveng (Teddim Road)P.O. Churachandpur795128,1176179.00
42,2016-2017,Manipur,194140053,Citizens Alliance for Re Empowerment,Viewland Zone One Ukhrul TownUkhrul795142,0.00
43,2016-2017,Manipur,194130330,CLARIST HOME,MANTRIPUKHRIIMPHAL795002,8755902.00
44,2016-2017,Manipur,194190032,Community Development Organisation,Ngaikhong Khullen  PO BishnupurBishnupur795126,0.00
45,2016-2017,Manipur,194200037,Community Development Organisation,Wangbal Lamboithong ThoubalManipur-795138,2053628.00
46,2016-2017,Manipur,194200048,Community Development Programme Centre,Mi Road  ThoubalManipur.-,0.00
47,2016-2017,Manipur,194150065,Compassion Manipur,DamdeiMotbung795107,192604.00
48,2016-2017,Manipur,194130445,Cornerstone Academy Manipur,LEF Church EnclaveLangol795004,287195.00
49,2016-2017,Manipur,194130085,Council For Antipoverty Action,Urup Litan Makhong Imphal  Manipur-795130,0.00
50,2016-2017,Manipur,194130338,COUNCIL FOR DEVELOPMENT OF POOR AND LABOURERS,LILONG BAZARIMPHAL WEST-IILILONG BAZAR795130,0.00
51,2016-2017,Manipur,194160076,Covenant Childrens Home,Mualkoi Churachandpur Manipur-795006Churachandpur795006,15037957.00
52,2016-2017,Manipur,194170032,Development Agency for Tribal People,Chiulon (Khingjaron) Village PO Box - 7 TamenglongManipur-795141,0.00
53,2016-2017,Manipur,194190014,Development on Communication Arts and Culture Science,Economic and Education Centre (D-Cacus-Education Centre) BCECNing Thoukhong Bazar Area Ningthoukhong795126,0.00
