S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Orissa,105020343,“SUDHA”,Ramachandi Balikuda Sahi  Station RoadPuri752002,0.00
2,2016-2017,Orissa,104930025,A COMPENSSION FOR TROUBLE SOULS OF INDIA,AT-DENGINIPADARP.O-LUHAGUDI761015,0.00
3,2016-2017,Orissa,104830238,AABAHANA,MALYABANTAT/P.O-NACHUNI752028,0.00
4,2016-2017,Orissa,104830098,Aaina,765 Sahid Nagar Bhubaneswar KhurdaOrissa-751007,2204845.95
5,2016-2017,Orissa,105060084,Aamara Biswas,KamalibazarSambalpur768001,1876385.79
6,2016-2017,Orissa,105020256,Aarkashree,Konark Puri Orissa -752111,0.00
7,2016-2017,Orissa,104860201,AASHRAYA,At - Manitiri PO- BalichandrapurCuttack754205,169571.00
8,2016-2017,Orissa,104930030,AASTHA,Om shanti colonyParalakhemundi761201,0.00
9,2016-2017,Orissa,105020293,Abhilash,At/Po-Pipili Distt.=PuriOrissa-752104,0.00
10,2016-2017,Orissa,104870184,ABHYUDAYA,BHATLIBARGARH768030,0.00
11,2016-2017,Orissa,104960045,Accord,At/po-ponchada Via-kakirigummaKoraput Orissa-,0.00
12,2016-2017,Orissa,105020073,Acharya Harihar Sishu Bhawan,At/po Sakhigopal  PuriOrissa-752014,0.00
13,2016-2017,Orissa,104860087,Action For Better Living And Environment,Jangyachhak Angulai KendrapadaOrissa-,1692858.00
14,2016-2017,Orissa,105030088,ACTION FOR INDIA OUTREACH,AT- G UDAYAGIRIP O-G UDAYAGIRI762100,0.00
15,2016-2017,Orissa,105050026,Action for Protection of Wild Animals(APOWA),At-HatapatanaPo-Kadaliban Dist-KendraparaDist-Kendrapara754222,840816.00
16,2016-2017,Orissa,104930022,ACTION FOR SOCIAL DEVELOPMENT,AT-MOHANAP.O-MOHANA761015,0.00
17,2016-2017,Orissa,104960043,Action For Social Human Alme,P.o.tolona  Rayagada -765022.-,0.00
18,2016-2017,Orissa,104830082,Action Research And Orientation Of Human Values Through Experiment &,Entertainment(arohee)n3-107irc  VillagenayapallibhubaneswarKhurda Orissa.-751015,0.00
19,2016-2017,Orissa,104840048,Action Research For Health And Socio Economic Development,At:ramjee Squarepo:patnagarh Bolangir Orissa -767025,0.00
20,2016-2017,Orissa,104840076,ADARSHA,C/O Mr.Manoj BadenaikLATUR766105,0.00
21,2016-2017,Orissa,105060072,ADARSHA SHISHU MANDIR (A VOLUNTARY ORGANISATION),Pillakhandeipara N.S.C.B. College Road DhanupaliSambalpur768100,0.00
22,2016-2017,Orissa,104840035,Adhar,At. Loisingha  BolangirOrissa-767020,15274.00
23,2016-2017,Orissa,104990056,ADHAR,AT/P.O.- BHANJPURBARIPADA757002,0.00
24,2016-2017,Orissa,104840082,ADHIKAR,at/po-Juba Via-Patnagarh PIN-767025Dist-Balangir767025,0.00
25,2016-2017,Orissa,105120028,ADIBASI BIKASH TRUST,ENGERBAJALTAR765022,0.00
26,2016-2017,Orissa,105120001,Adibasi Kalyan Parishad,At-badisala Post:bankili Rayagada Orissa -765029,0.00
27,2016-2017,Orissa,105110022,ADIBASI MANGALA SAMITI,MAHULABHATAP.O-TAMWAT766105,0.00
28,2016-2017,Orissa,105020119,Adikar,192 Dharma Vihar Khandagiri BhubaneshwarOrissa-757030,1797130.00
29,2016-2017,Orissa,104930009,Adivasi Development Society,AT/PO- Gumma Gajapathi Dist.Orissa-761207,0.00
30,2016-2017,Orissa,105010035,Adivasi Harijan Integrated  Mass Social Agency,At-KendupadarPO-Phulbani Kendupadar PhulbaniOrissa-754001,0.00
31,2016-2017,Orissa,104890160,ADIVASI HARIJAN WELFARE AGENCY NET WORK,SANTHAPURGONDIA PATNA759016,0.00
32,2016-2017,Orissa,104960042,Adivasi Krushi Swasthya Sikhya Samiti,Karanjaguda Po Kumaradamuni RayagadaOrissa-765019,839300.00
33,2016-2017,Orissa,105070048,Adivasi Navjeewan Gathan Navjyoti Agua,Kahupani SundargarhOrissa-770018,5806303.60
34,2016-2017,Orissa,104910128,ADIVASI SEVA SAMITTEE AVSS,AT/P.O-EKALAPURVIA-BADAGADA761109,0.00
35,2016-2017,Orissa,104830097,Adventure,Plot No.15/2977jharapara Cuttack Roadbhubaneswar KhurdaOrissa-751006,0.00
36,2016-2017,Orissa,104910064,Agami Lok Kalyana Sangha, P.o.panigondaGajapati -761217.-,0.00
37,2016-2017,Orissa,105060070,Agape Reaching Ministries,Agape House of Prayer Church At PanchgahhiaPO Bareipalli768150,0.00
38,2016-2017,Orissa,104860197,AGAPE SEVA SAMITI,NUA SAHI KAPALESWARCHOUDWAR754025,0.00
39,2016-2017,Orissa,105020187,Agency For Social Action,At/po Kokatpur PuriOrissa-752108,0.00
40,2016-2017,Orissa,104960035,Agragamee,At./po.- Kashipur District- RayagadaOrissa-765015,19600497.00
41,2016-2017,Orissa,104990020,Agranee,At/p.o.- Sarat District- MayurbhanjOrissa-757079,0.00
42,2016-2017,Orissa,104870180,AGRANEE JANA KALYAN ANUSTHAN,SALEPALI P.O. PAIKMALBARGARH768039,0.00
43,2016-2017,Orissa,104870185,AHINSA CLUB,BHUTIBAHALRAISALPADARGAISILAT768037,0.00
44,2016-2017,Orissa,105060076,Aim of our Regional Development (ROAD),At and P.o- RengaliSambalpur768212,0.00
45,2016-2017,Orissa,104860035,Ali Siddiqia Trust,Ali Manzil Mangala Bag CuttackOrissa-753001,39100.00
46,2016-2017,Orissa,105120014,ALISHA,Ramchandrapur Street.Gunupur765022,0.00
47,2016-2017,Orissa,104890095,All Orissa Research Institute For Development Of Woman Movement,At/PO Maagalpar  Via Btapur DhenkanalOrissa-,0.00
48,2016-2017,Orissa,104960056,Alleluia Ministries,Post Box No.5  Nabarangpur -764059.-,214462.00
49,2016-2017,Orissa,104840089,ALLIANCE,ADARSHA PARA COLD STORAGE ROADBALANGIR767001,0.00
50,2016-2017,Orissa,105030023,Allocation of Development to Vulnerable in and Evangelical Nurture Trust(ADVENT),At/Po-Kurmingia Via-Kalinga Distt.- KandhamalOrissa-762022,1360486.75
51,2016-2017,Orissa,104860196,Alternative Development Initiative with Rural Engagement,Jahangirabad PO Sisua SalepurCuttack754202,1747383.00
52,2016-2017,Orissa,104820036,Alternative For Rural Movement,AT-ParuliaPO:AstiVia:BaliapalBalasoreOdisha-756026Baliapal756026,2712199.56
53,2016-2017,Orissa,104830277,AMA ADHIKAR,PLOT NUMBER 2232 SRI RAM NIVAS SRI RAM NAGAR OLD TOWNBHUBANESWAR751002,0.00
54,2016-2017,Orissa,105010033,Amagam, At/po.- BamunigamDist- Kandhamal Orissa-762021,0.00
55,2016-2017,Orissa,104860001,Amar Jyoti India,27 Makerbag CuttackOrissa-753001,1593704.00
56,2016-2017,Orissa,104830311,Amarjyoti,Plot No - 965 Lingaraj Nagar Old townBhubaneswar751002,0.00
57,2016-2017,Orissa,104910212,AMBITION FOR RIGHT PATH AND ACTION FOR THE NEEDY,SAHEBJENA PALLICHHATRAPUR761020,129360.00
58,2016-2017,Orissa,104830001,Ananda Fund,GA-127. Niladri Vihar PO-Sailasree ViharBhubaneswar751021,0.00
59,2016-2017,Orissa,105030035,Anant Dipti Asha Trust,At-Rudangia PO-Rudangia G.Udayagiri Kandhamal(Phulbani)Orissa-762108,0.00
60,2016-2017,Orissa,104820014,Anchalik Grama Vikas Parishad,Nilgiri Muktiniketan Pundal Balasore Orissa. -756020,0.00
61,2016-2017,Orissa,105000009,ANCHALIK JANAKALYAN ANUSTHAN (AJKA),SUKULPALI  PO MACHIDA VIA PANCHGAONJHARSUGUDA768226,0.00
62,2016-2017,Orissa,104850018,Anchalik Samrudhi Sadhana Anusthan,AT/PO-Kursud Via-Sindhekela Dist-BalangirBalangir767035,0.00
63,2016-2017,Orissa,104840090,ANCHALIKA JANASEVA ANUSTHAN,AT-SUNDHIMUNDA PO-CHANDOTARA VIA-SINDHEKELABALANGIR767033,822958.00
64,2016-2017,Orissa,105020051,Anchalika Kunjeshwary Sanskritika Sansad,At. Sevanchal  Po Kanas PuriOrissa-752017,0.00
65,2016-2017,Orissa,104870183,ANCHALIKA SARVODAYA SEVA PRATISTHAN,AT-MANDOSIL  PO-MANDOSIL  PS-PAIKMALBARGARH768050,0.00
66,2016-2017,Orissa,105070086,ANCHALIKA SEVA SAMITI,AT-RAICHUAN PO-ROHINI VIA-HIMGIR ROADHIMGIR ROAD770075,0.00
67,2016-2017,Orissa,104960101,ANCHALIKA UNAYAN SANGATHANA,AT-DASMANTPURPO-DASMANTPUR765028,0.00
68,2016-2017,Orissa,104850005,Angul Swechhasevi Sangathan Samukshya,Somnathpur Ankula Hulurisingha AngulOrissa-759123,0.00
69,2016-2017,Orissa,104960034,Ankuran,At/po Narayan Patna KoraputOrissa-765014,0.00
70,2016-2017,Orissa,104950020,Antodaya, KalahandiOrissa-766013,0.00
71,2016-2017,Orissa,104970003,Antyodaya Chetana Kendra,Sankat Palia HadgarhKeonjhar -758023.-,0.00
72,2016-2017,Orissa,104990002,Antyodaya Chetana Mandal,Rangamatia PO PatagadiaRashgovindpur757016,5069399.00
73,2016-2017,Orissa,104830323,Anurag Foundation,C15 BJB NagarBhubaneswar751014,662317.00
74,2016-2017,Orissa,104990058,ANWESANA,AT/PO - NUDADIHA DIST - MAYURBHANJUDALA676077,1432996.09
75,2016-2017,Orissa,104830309,ANWESHA TRIBAL ARTS AND CRAFTS,N-2 175 IRC Village NayapalliBhubaneswar751015,0.00
76,2016-2017,Orissa,104830326,Aradhana,patra pada aiims road bhubaneswarBhubaneswar751019,0.00
77,2016-2017,Orissa,104890092,Aranyak,At.talmul Sasan P.o.talmulAngul -759040.-,0.00
78,2016-2017,Orissa,105070008,Arnoldus Convent,Gomardih P.o. Tunmura SundargarhOrissa.-770031,0.00
79,2016-2017,Orissa,104890026,Arun Institute Of Rural Affairs,At-aswakhola P.o.karamulDhenkanal -759014.-,360534.00
80,2016-2017,Orissa,104890024,Asha,At. Mundideuli Po Kamakhyanagar DhenkanalOrissa-759018,0.00
81,2016-2017,Orissa,104840005,Asha Arthic -o- Samajik Hithyog,At. Mission House P.o. Loisingha Banangir Orissa-767020,0.00
82,2016-2017,Orissa,105000005,Asha Kiran Charitable Society,Asha KiranDipuparaPO-Jharsuguda Orissa -768201,2909686.90
83,2016-2017,Orissa,104960039,Asha Kiran Society,Ashanagar Post- Lamtaput Dist: KoraputOrissa-764081,9761359.00
84,2016-2017,Orissa,105030029,Ashakiran(Society for Rural Development and Empowerment),At/Po-Balliguda KandhamalOrissa-762103,10087.00
85,2016-2017,Orissa,104910143,ASHRA VISION,AT/P.O-SALIM GOCHHAVIA-BAMUNIGAM762021,0.00
86,2016-2017,Orissa,104820113,ASHRAYA,AT-JAYANARAYANPUR SHASAN P.O-BADAPOKHARIVIA-TUDIGADIA756047,0.00
87,2016-2017,Orissa,104970051,Ashraya,At/Po-Jajang Joda KeonjharOrissa-758052,0.00
88,2016-2017,Orissa,105180032,ASHRAYA,AMALAPADA BOUDHA ROADDASAPALLA752084,0.00
89,2016-2017,Orissa,104830293,ASIAN INSTITUTE OF PUBLIC HEALTH,PLOTNO 1037 SHRIRAM NAGAR SAMANTARAPURBHUBANESWAR751002,9198115.00
90,2016-2017,Orissa,104910076,Assn. For Rural Upliftment And National Allegiance,Gangapur Post-jagamohan Via-mundamarai Dist: GanjamOrissa-761114,1487564.66
91,2016-2017,Orissa,105100001,Assn. For Voluntary Action,At-goudaguda Post-tentulikhunti Dist. Nabrangpur Orissa.-764070,0.00
92,2016-2017,Orissa,104860088,Assocation For Social Reconstr. Actvit.,Plot No.1284/C Sector 6 Markat Nagar CDACuttack-753014,0.00
