S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2017-2018,Arunachal Pradesh,310570004,AGENCY FOR CULTURE HUMAN RESOURCES AND ENVIRONMENT DEVELOPMENT( A C H R E D),C/o Literature CentreKhonsa786630,1529248.00
2,2017-2018,Arunachal Pradesh,318100001,ALL ARUNACHAL PRADESH WELFARE SOCIETY,ESS Sector Near RWD ColonyItanagar791111,0.00
3,2017-2018,Arunachal Pradesh,310570006,Arunachal Orphan Care Society,Namphuk Nalla PO-Kharsang Dist-ChanglangMiao792122,0.00
4,2017-2018,Arunachal Pradesh,310560008,BOUM KAKIR MISSION,BRIDGE POINT CHIMPUITANAGAR791113,0.00
5,2017-2018,Arunachal Pradesh,310540034,Catholic Church Welfare Society,Naharlagun Papum Pare Arunachal Pradesh -791110,3178958.00
6,2017-2018,Arunachal Pradesh,310560006,DIOCESE OF ITANAGAR,Bishops House MOWB IIItanagar Papum Pare791111,10093246.35
7,2017-2018,Arunachal Pradesh,310570007,DIOCESE OF MIAO,BISHOPS HOUSEMIAO CHANGLANG792122,12983090.25
8,2017-2018,Arunachal Pradesh,310610002,Essomi Foundation,Enzengo Roing Lower Dibang ValleyArunachal Pradesh-792110,0.00
9,2017-2018,Arunachal Pradesh,310540007,Future Generation,Vivek BuildingVivek Vihar H-Sector ItanagarPapumparaArunachal Pradesh-791113,286867.00
10,2017-2018,Arunachal Pradesh,310560005,ITANAGAR DIOCESAN EMPOWERMENT ASSOCIATION (IDEA),Bishops House MOWB IIItanagar Papum Pare791111,0.00
11,2017-2018,Arunachal Pradesh,310580001,Kameng Social Service Society,St. Joseph's School / St Joseph's Hospital New SeppaEast Kameng (Arunachal Pradesh)-791102,231348.00
12,2017-2018,Arunachal Pradesh,310580006,Kameng Welfare Society,YangseyNaharlagun790102,0.00
13,2017-2018,Arunachal Pradesh,310590005,Kasturba Welfare Society,P.o-TalihaUpper Subansiri791122,0.00
14,2017-2018,Arunachal Pradesh,310540024,Mangyanam (Hope) Arunachal Pradesh,Don Bosco Centre Tigodo Village Yupia Papum Pare DistrictArunachal Pradesh-791110,0.00
15,2017-2018,Arunachal Pradesh,310540032,Manjushree Charitable Society,Manjushree Vidyapeeth Orphanage Tashi Jong TawangArunachal Pradesh-790104,40428743.00
16,2017-2018,Arunachal Pradesh,310530004,MON PAPLUNG JANGCHU CHOEKORLING KAGYU SOCIETY,JANG PO JANG PSTAWANG790105,0.00
17,2017-2018,Arunachal Pradesh,310540012,Nani Sala Foundation,Arunachal Front Building Post Box N0.202NaharlagunPapumpare Aarunachal Pradesh-791110,0.00
18,2017-2018,Arunachal Pradesh,310570005,NEWMAN EDUCATIONAL SOCIETY,NEOTAN VILLAGEMIAO CHANGLANG792122,4330611.70
19,2017-2018,Arunachal Pradesh,310540031,Nyishi Baptist Church Council,Model Village Naharlagun PapumpareArunchal Pradesh-791111,0.00
20,2017-2018,Arunachal Pradesh,310540002,Oju Welfare Association,Naharlagun  Arunachal Pradesh-,0.00
21,2017-2018,Arunachal Pradesh,310600003,PEMA MANI CHARITABLE TRUST,NYINGMA GONPATUTING792061,8191250.00
22,2017-2018,Arunachal Pradesh,310540010,R.K. Mossang Memorial Society,P.O. Jairampur ChanglangArunachal Pradesh-792121,0.00
23,2017-2018,Arunachal Pradesh,310550001,Ramakrishna Mission, Vivek NagarWest Siang -791001,222465.00
24,2017-2018,Arunachal Pradesh,310570001,Ramakrishna Mission, Narottam NagarTirap-786629,218976.00
25,2017-2018,Arunachal Pradesh,310540003,Ramakrishna Mission Hospital,RamaKrishna Mission Hospital P.O ItanagarArunachal Pradesh.-791113,1752166.00
26,2017-2018,Arunachal Pradesh,310550003,SAINT FRANCIS DE SALES COLLEGE SOCIETY,S.F.S. COLLEGEAALO791001,0.00
27,2017-2018,Arunachal Pradesh,310540018,Salesians of Don Bosco,Don Bosco Jully Itanagar PapumpareArunachal Pradesh-791111,0.01
28,2017-2018,Arunachal Pradesh,310540004,SEVA KENDRA ARUNACHAL EAST, Borduria TirapArunachal Pradesh-786630,31952697.92
29,2017-2018,Arunachal Pradesh,310560001,Subansiri Kristu Kiran Society, 791120,4191085.00
30,2017-2018,Arunachal Pradesh,310560007,TAJE MEMORIAL MULTIPURPOSE SOCIETY,GOHPUR TINALIITANAGAR791111,0.00
31,2017-2018,Arunachal Pradesh,020750007,Tangsa Baptist Churches Association,P.O. Jagun TinsukiaAssam-792122,0.00
32,2017-2018,Arunachal Pradesh,310540043,Tarhuk Samaj,Village Kopila Post Office Damin District Kurung KumeyDamin791118,0.00
33,2017-2018,Arunachal Pradesh,310540001,Tibetan Multipurpose Cooperative Society,P.O.Tindglong  Dist. Lohit Arunachal Pradesh-,373314.00
