S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2017-2018,Karnataka,094421365,A ROCHA INDIA,NO. 23 ANJENAYA STREET Y. G. PALYA AUSTIN TOWN BANGALOREBANGALORE560047,738973.38
2,2017-2018,Karnataka,094630184,A. Shama Rao Foundation,13-2-116 Hotel Srinivas Building GHS Road MangaloreDakshina Kannada Karnataka-575001,0.00
3,2017-2018,Karnataka,094460022,A.R.A.L.U.,M.C Compound Kamthana BidarKarnataka.-585226,639825.00
4,2017-2018,Karnataka,094421438,AASHRAYA SEVA TRUST,NO 135 1ST K BLOCK Dr RAJKUMAR ROAD RAJAJINAGARBANGALORE560010,0.00
5,2017-2018,Karnataka,094421358,Aashwasan Foundation,#12 5th Main Grape Garden KammanahalliBangalore560084,200208.03
6,2017-2018,Karnataka,094421604,ABAI,No. 613 2nd Floor 1st Main 6th Sector HSR LayoutBangalore560102,0.00
7,2017-2018,Karnataka,094420703,Abalashram,Dr.DVG Road Basavanowdi Bangalore Karnataka-560004,131739.00
8,2017-2018,Karnataka,094630036,Abhaya Ashraya,Konaje Village Assaigoli Post  Mangaore Dakshina KannadaKarnataka-574199,550945.00
9,2017-2018,Karnataka,094640028,ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT,"ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT
 ABHYUDHAYA  2nd Cross Manjunathnagar Kyathasandra PostTUMKUR572104",0.00
10,2017-2018,Karnataka,094421514,ABILASHRAYAM TRUST,NO  373  2ND CROSS  MUNISWAMAPPA LAYOUT  OPP KODIGEHALLI RAILWAYSTATION  KODIGEHALLIBANGALORE560092,264775.51
11,2017-2018,Karnataka,094420574,Abilities (Resource Centre for Disabled Person),13-C 5th Main Jayamahal Extension BangaloreKarnataka.-560046,36250.00
12,2017-2018,Karnataka,094421009,Abundant Life for All Ministries,No.83 Alfa Centre Yelahanka near Palamahalli tankMarutinagarBangalore-560064,502985.00
13,2017-2018,Karnataka,094440063,Abyndaya Kendra,Gratia Plena Convent Santibastwad BelgaumKarnataka.-,2992633.60
14,2017-2018,Karnataka,094421709,Academy for Creative Teaching Trust,"480 6th Main HMT Colony Opp Bus Depot

R T NagarBANGALORE560032",7080000.00
15,2017-2018,Karnataka,094420912,Academy For Severe Handicaps And Autism(Asha charitable Trust),CA# L-76/A(Opp.L-50)Kirloskar  ColonyHBCS3rd stageIV BlockBasveswarnagarBangaloreKarnataka-560079,999655.00
