S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2018-2019,Chhattisgarh,327520063,Arshil Shikshan  And Prashikshan  Welfare Society,Siddiki Manjil Raja Talab Teh RaipurRaipur492001,80510.00
2,2018-2019,Chhattisgarh,327630001,Assisi Seva Samaj,St. Thomas Ashram Dalli Rajhara  DurgChhatisgarh-491228,334250.00
3,2018-2019,Chhattisgarh,327630007,Berojgar Mahila Seva Samiti,Q.NO.9/H Street No. I Zone 3 Khursipar BhilaiDistt. Durg Chhattisgarh-490011,0.00
4,2018-2019,Chhattisgarh,327540039,Chhatishgarh Sabari Sewa Sansthan,Bazar Para LakhanpurLakhanpur497116,0.00
5,2018-2019,Chhattisgarh,327550007,GOOD SHEPHERRD VILLAGE DEVELOPMENT SANSTHA,Housing of BlessingsBacheli494553,0.00
6,2018-2019,Chhattisgarh,327550003,Gramodaya Sewa Sansthan,Chitalanka DantewadaChhattisgarh-494449,0.00
7,2018-2019,Chhattisgarh,327510006,Jan Mitram Kalyan Samiti,Janmitram HouseIndian School RoadBade AttarmudaPast Kale ViharRaigarh496001,0.00
8,2018-2019,Chhattisgarh,327620003,Lutheran Mission of Salvation,A-24 56 Dafai West JhagrakhandManendragarh497447,0.00
9,2018-2019,Chhattisgarh,327520047,NAWADAGAR,VILL-DOHANAP.O SEHARVIA-RAJPURRAJPUR497118,0.00
10,2018-2019,Chhattisgarh,327500012,Oodaan Good Shepherd Society,tumgaon Road Ayodhya NagarMahasamund493445,0.00
11,2018-2019,Chhattisgarh,327630018,Pratibha Mahila Evam Bal Vikas Samiti,Vill. & P.O. -Thanod DurgChhattisgarh-491001,0.00
12,2018-2019,Chhattisgarh,327470016,Ramakrishna Mission Ashrama,Narainpur BastarChhatisgarh-494661,4287101.00
13,2018-2019,Chhattisgarh,327520029,Ramakrishna Mission Vivekananda Ashram,PO Vivekananda Ashrama RaipurChhatisgarh-492001,0.00
14,2018-2019,Chhattisgarh,327590007,SAHBAGI SAMAJ SEVI SANSTHA,AT RATESSARA P.O. JAISEKARAVIA CHARAMA494337,0.00
15,2018-2019,Chhattisgarh,327540036,SAK MEMORIAL EDUCATIONAL CULTURAL SOCIETY,Opp.SANJAY PARKRAMANUJGANJ ROADAMBIKAPURAMBIKAPUR497001,465500.00
16,2018-2019,Chhattisgarh,327630027,SANKALP EK PRAYAS SOCIETY BHILAI,"SANKALP EK PRAYAS SOCIETY BHILAI
ROOM NO-3 CONTRACTOR BUILDING NSPCL TOWNSHIPBHILAI-490006
BHILAI490006",0.00
17,2018-2019,Chhattisgarh,327560005,SHANTI MAITRI GRAMIN VIKAS SANSTHAN,05 BANGLA VILLAGE CHADMUDIYA POST KURUD DIST DHAMTARI CHHATTISGARH 493663KURUD493663,0.00
18,2018-2019,Chhattisgarh,327520073,SHRI SANATAN MANAV SANSKRITI,E-63 SAMTA COLONY NEAR AMA TALABRAIPUR492001,0.00
19,2018-2019,Chhattisgarh,327470005,Social Education and Basic Awareness,At/PO Jagdalpur Bastar DistrictChhatisgarh-494001,0.00
