S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2018-2019,Jharkhand,337820086,Aadivasi Reformation and Welfare Society WARS,At Po GuaJharkhand833213,0.00
2,2018-2019,Jharkhand,337820013,Adarsh Seva Sansthan,Opp. 4th Phase Adarsh Nagar Sonari JamshedpurJharkhand-,6720147.94
3,2018-2019,Jharkhand,337820091,ALL INDIA SARNA DHRAM BIDUCHANDAN AVASHIYA UCHA VIDYALAYA SAMITI,"AT/PO- BHAGABANDIVIA- DUMURIA 
DIST- EAST SINGHBHUM JHARKHANDMUSABANI832104",0.00
4,2018-2019,Jharkhand,337820090,AMAR JYOTI SOCIETY JAMSHEDPUR,PROVINCIAL HOUSE AMAR JYOTI CAMPUS PARDIH MANGOJAMSHEDPUR831012,6041152.78
5,2018-2019,Jharkhand,337700039,Ayod Vikas Society,Raniswar Dumka JharkhandDumka814148,0.00
6,2018-2019,Jharkhand,337800141,Centre for Action and Rural Development,A.H.ComplexOpp.S.F.C. Godown Kadru.RanchiJharkhand.-834002,0.00
7,2018-2019,Jharkhand,337800107,Centre for Development,Gayatri Saddan Tupudana HatiaRanchi-834003,1082615.88
8,2018-2019,Jharkhand,337820030,Clever Social Welfare Centre,Clacer Bhawan P.O. Amda Singhbhum WestJharkhand-833101,0.00
9,2018-2019,Jharkhand,337820062,DAKSHINA BHARATHA MAHILA SAMAJ,ROAD NO. 7 B. H. AREA KADMAJAMSHEDPUR831005,0.00
10,2018-2019,Jharkhand,337820088,Gautam Buddha Social  Welfare Mission,A70 Nalanda Path Bagun Nagar P O BaridihJamshedpur831017,0.00
11,2018-2019,Jharkhand,337730012,Girdih Parish Society,Catholic Ashram Post Box No-90Giridih Jharkhand-815301,0.00
12,2018-2019,Jharkhand,337720008,Godda Parish Society,Sacred Heart Church Godda GoddaJharkhand-814133,0.00
13,2018-2019,Jharkhand,337790015,Gramin Samaj Kalyan Vikas Manch,Daltonganj Distt. Palamu Jharkhand - 822101 IndiaDALTONGANJ822101,0.00
14,2018-2019,Jharkhand,337830018,Grass Root Association of Manjhi for Social Economic Welfare of Adivasi,Jivan Jyoti Campus Gopalpur  PO RanitarJamtara815352,0.00
15,2018-2019,Jharkhand,337750064,Hazrat Munam Pak Talim Mission,Maharaj Ganj P.O. Dadpur HazaribaghJharkhand-,0.00
16,2018-2019,Jharkhand,337710005,Jan Kalyan Vikas Kendra,Vill-Singhitali P.O.-Chapari P.S.-Bhawnathpur Distt.-GarhwaJharkhand.-822112,0.00
17,2018-2019,Jharkhand,337790045,janta vikas manch,vill and po kharagpur via chatarpur ps hariharganj dist palamaupalamau822113,0.00
18,2018-2019,Jharkhand,337690017,JEEVAN JYOTI SANSTHAN,ZILAPARISHAD BUILDING BEKARBANDHDHANBAD826001,0.00
19,2018-2019,Jharkhand,337690009,Jharkhand Gramin Vikas Trust,Mahuda More (Near  Mishra hotel) DhanbadJharkhand.-828305,0.00
20,2018-2019,Jharkhand,337800234,JHARKHAND JAN VIKAS SANSTHA,TIRIL DELATOLI KOKARRANCHI834009,0.00
21,2018-2019,Jharkhand,337820083,JHARKHAND JYOTI,ZONE NO 6B BIRSANAGAR PO BARIDIHJAMSHEDPUR831017,0.00
22,2018-2019,Jharkhand,337700041,Lahanti,"Dudhani Kuruwa Dumka
Raghunathganj Dist Dumka
Jharkhand 814101Dumka814101",0.00
23,2018-2019,Jharkhand,337660021,MACHHUARA YUVA MANCH,VILL.- SCHHOOL BALIDIH P.O.- BALIDIH BOKARO JHARKHANDBOKARO827014,0.00
24,2018-2019,Jharkhand,337820056,Marshal Vikas Kendra,Village-Tirungbasa PO-Tantnagar Singhbhum WestJharkhand-,3135465.00
25,2018-2019,Jharkhand,337810007,MEED PUBLIC SCHOOL SOCEITY,AT PO SHRIKUND VIA BARHARWA DISTT SAHIGANJSAHIBGANJ816101,0.00
26,2018-2019,Jharkhand,337790021,Nav Jivan Hospital Society,P.O. Satbarwa Distt. PalamauJharkhand-822126,0.00
27,2018-2019,Jharkhand,337790042,NIRBADH,Kajrat HussainabadPalamau822116,0.00
28,2018-2019,Jharkhand,337820081,Occupational Safety and Health Association of Jharkhand,1011 Satluj Vijayas Shatabdee SonariJamshedpur831011,783200.00
29,2018-2019,Jharkhand,337680041,Pentecostal Holiness Church,Madhupur  Distt. Deogarh Jharkhand -,7218831.00
30,2018-2019,Jharkhand,337690016,PITAMBARA JAN KALYAN TRUST,VILLAGE-DHARKIRO P.O. ROWAM P.S. KATRAS DISTRICT DHANBADDHANBAD828113,0.00
31,2018-2019,Jharkhand,337720006,Poreyahat Mercy Hospital Society,Mercy Hospital Gungasa P.O. Godda Jharkhand -,1206000.00
32,2018-2019,Jharkhand,337730024,Pragati Kendra,At _ Sihodih P.O.- SirsiaGiridih815301,0.00
33,2018-2019,Jharkhand,337830001,Prerana Bharati,High School Road At.-Pathar Chapti High School Road P.O. MihijamDist .Jamtara (Jharkhand)-815354,0.00
34,2018-2019,Jharkhand,337710008,PRERNA (PROGRAMME FOR RURAL EMPLOYMENT EDUCATION AMONG RURAL NEIGHBOUR ASSOCIATION),MADARSA ROAD UNCHRIGARHWA822114,1354304.00
35,2018-2019,Jharkhand,337660008,Pujya Taapaswi Sri Jagjeevan Jee Maharaj Chakchu Chikitssalaya,P.O. Petarbar BokaroJharkhand-829121,337702.00
36,2018-2019,Jharkhand,337820060,Rama Krishna Math,Dahigora ghatshilaeast singhbhum832303,43037.00
37,2018-2019,Jharkhand,337680027,Ramakrishana Mission Vidyapeeth,Ramakrishna Nagar P.O. Vidyapeeth Distt. DeogharJharkhand-814112,45350.00
38,2018-2019,Jharkhand,337830007,Ramakrishna Math,P.O.Jamtara. Distt. JamtaraJharkhand-815351,0.00
39,2018-2019,Jharkhand,337800082,Ramakrishna Mission Ashrama,Morabadi RanchiJharkhand-834008,3902238.00
40,2018-2019,Jharkhand,337800065,Ramakrishna Mission Tuberculosis Sanatorium,P.O. Ramakrishna Sanatorium Dist: RanchiJharkhand -835221,47000.00
41,2018-2019,Jharkhand,337820047,Ramakrishna Mission Vivekananda Society,L Road Bistpur JamshedpurJharkhand-,675550.91
42,2018-2019,Jharkhand,337660019,Rupayani,Chatal Type P.O-Tenughat(RB)-O1 BokaroJharkhand.-829123,0.00
43,2018-2019,Jharkhand,337820063,Rural Outright Development Society,At- C-7/7 Mosaboni No- 3 Post- Mosaboni MinesMosaboni832104,0.00
44,2018-2019,Jharkhand,337820072,SAMRIDHI,LINE NO. 1 BAGAN NO. 3 KASHIDHI SAKCHIJAMSHEDPUR831001,0.00
45,2018-2019,Jharkhand,337790040,SAUGAHT FOUNDATION,At Sudna PO Sudna Medininagar District Palamu Jharkhand Pin 822101 JharkhandDaltonganj822101,1766000.00
46,2018-2019,Jharkhand,337800212,Shiv Shishya Pariwar,B 254 Mecon Co opeartive Society Near DAV Hehal School Kathal More RanchiRanchi834005,0.00
47,2018-2019,Jharkhand,337820023,Sisters of Providence of Gap Society,Jyoti Niketan Sahibganj Jharkhand -816109,2996126.00
48,2018-2019,Jharkhand,337800208,SOCIAL AWARENESS FOR DEMOCRATIC ART AND RESEARCH,H B ROAD THARPAKHANARANCHI834001,0.00
49,2018-2019,Jharkhand,337800015,Society  For Rural Industrialisation,Village Gari P.O. Bariatu RanchiJharkhand-834009,19183.00
