S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2018-2019,Tamil Nadu,075820278,A World of Friends,Gandhi Nagar Orikkai Village KanchipuramTamilnadu-631502,2378070.00
2,2018-2019,Tamil Nadu,075850098,Abamalai Samuganala Seeramaipu Sangam,26\30  Rottikadai  CoimbatoreTn-,664545.00
3,2018-2019,Tamil Nadu,075900688,Ability Foundation,12fourth Main Road Gandhi Nagar AdayarChennai Tamil Nadu.-600020,0.00
4,2018-2019,Tamil Nadu,075900561,Action For Child Labour,No 5 A-R Nagar Near CTA Garden Mangadu Near CTA Garden Mangadu600056,2064150.00
5,2018-2019,Tamil Nadu,075901047,Action for Improving Mankind,14/314th Lane Sastri NagarAdyar ChennaiTamilnadu-600020,0.00
6,2018-2019,Tamil Nadu,075890320,Action for Rural Improvement Service and Tranining Organisation,Rajkumar Cottage Ulagampatty Agaram (PO)Thadikombu (Via)Dindigul (TamilNadu)-624709,0.00
7,2018-2019,Tamil Nadu,076010170,Action for Welfare and Awakening in Rural Development,No.6 ganapatht Nagar Extension (behind Om Sakthi Koil)VadalurCuddalore Tamilnadu-607303,884215.00
8,2018-2019,Tamil Nadu,075900056,Active International Mission Aid,   -,0.00
9,2018-2019,Tamil Nadu,075940349,Adhiparasakthi Charitable Medical Education And Cultural Trust,Melmaruvathur Distt. KanchipuramTamil Nadu-603319,30792498.00
10,2018-2019,Tamil Nadu,075940176,Aeon Trust, Kodaikanal -,940328.00
11,2018-2019,Tamil Nadu,075901415,Agaram Foundation,17/8 Krishna Street Thiyagaraya NagarChennai600017,10426219.00
12,2018-2019,Tamil Nadu,076090002,Agriculturewater And Action For Rural Development,35 Pudukottai North Street Pannirkulam Post Kayathar ViaTuticorin-628952,0.00
13,2018-2019,Tamil Nadu,075940512,Akshayas Helping in H.E.L.P. Trust,9 West I Main St. Doak Nagar Ext.Madurai625010,27824640.00
14,2018-2019,Tamil Nadu,075950011,All Rural Development and Social Construction Society,Indra Nagar Colony Uthampalayam Tk ErasakkanayakkanurTheni (TamilNadu)-625515,324174.00
15,2018-2019,Tamil Nadu,075960140,All Womens Welfare And Rural Development Society,No 461 Matha Koil Street Mappillai Naicken Patti Thanjavur District Pin 613403THANJAVUR613403,0.00
16,2018-2019,Tamil Nadu,075890262,Amla Province,Amala Convent  ThuckalayKanyakumari629117,1261328.00
17,2018-2019,Tamil Nadu,076040031,Ananda Ashram,Thannirpally P.o. Via Marudur  Kulithalai TalukKarur Distt. (tamil Nadu)-639107,815181.00
18,2018-2019,Tamil Nadu,075990092,Anbalaya Handicapped Rehabilitation Centre Trust,BTM ComplexSethu salai Thondi(post)Thondi623409,0.00
19,2018-2019,Tamil Nadu,076020085,ANBU KARANGALIN ADHARAVU TRUST,#3 PERUMAL KOIL STREET THIRUVAYARPADI STREETPONNERI - (POST)601204,280000.00
20,2018-2019,Tamil Nadu,075890065,Anbu Manai Boys Home,Mantharamputhoor Pattiady P OKanyakumari629001,0.00
21,2018-2019,Tamil Nadu,075901020,Anbumalar Social Service Vision,Rehoboth campus Mapushkanpet village Gnayiru Post Ponneri TalukTiruvallur District600067,0.00
22,2018-2019,Tamil Nadu,076040300,Andheri Trust,"CENTRE FOR DEVELOPMENT COOPERATION
No.105 B INNIYANOOR ROAD
PRATIYUR
TIRUCHIRAPPALLI - 620009TIRUCHIRAPPALLI620009",7499626.00
23,2018-2019,Tamil Nadu,075900980,Angel christian Charitable Foundation India,No. 36. Old No. 1440 H Block 13th Main Road Annanagar ChennaiChennai600040,7228308.00
24,2018-2019,Tamil Nadu,075840009,Annai Ashramam,4/30c Rama Puram Theroor Village Ramapuram PostKanyakumari.-629303,0.00
25,2018-2019,Tamil Nadu,075840116,ANNAI CHELLEMMAL EDUCATIONAL TRUST,NO.139 KEEZHOOR THIRUPATHISARAMKANYAKUMARI629901,0.00
26,2018-2019,Tamil Nadu,075960075,Annai Indina Social Education Centre,148nagai Road Sambodainagai Auiaa-e-millathTamil Nadu.-,0.00
27,2018-2019,Tamil Nadu,075940390,Annai Mary Foundation,A.vethamuthu Illam Bharathi NagarMadurai Tamil Nadu-625018,0.00
28,2018-2019,Tamil Nadu,076060077,ANNAI SOCIAL WELFARE AND AWARENESS TRUST (ASWAT),66 ARUNAGIRINATHAR STREET CHENNIMALAI.CHENNIMALAI638051,0.00
29,2018-2019,Tamil Nadu,075960149,ANNAI SRI GOURI AMMAL EDUCATIONAL TRUST,"NO.3 SWAMY SANNATHI STREET (THERADI)
THIRUVAIYARU
THANJAVUR (Dt.)
PIN 613204THIRUVAIYARU613204",0.00
30,2018-2019,Tamil Nadu,075850215,Anointing Ministries,945/2A-1-CGandhi Nagar near Military Mess MadukkaraiCoimbatore Tamilnadu-641105,0.00
31,2018-2019,Tamil Nadu,075901257,Apostolic Faith Ministry of India Trust,376 Dr. Ambedkar nagar  III rd RoadWest VelacheryChennai600088,0.00
32,2018-2019,Tamil Nadu,075870111,APOSTOLIC MERCY HOME TRUST,No. 63-J 3rd Cross Gandhi NagarDharmapuri636701,0.00
33,2018-2019,Tamil Nadu,076010163,Aravind Foundation,697 Junction Road Vriddhachalam CuddaloreTamilnadu-606001,0.00
34,2018-2019,Tamil Nadu,075900245,Arch Diocese Of Madras - Mylapore Society,Arch Bishop's House Santhome MylaporeTamil Nadu-600004,96168594.40
35,2018-2019,Tamil Nadu,076080099,Arpanam Trust,Manjampoondi VillageKilsirupakkam PostTiruvannamalaiTamilnadu-606707,0.00
36,2018-2019,Tamil Nadu,075880030,ARPNA,14 GOVINDHAN NAGAR THENPATHI SIRKALI-(P.O)SIRKALI609111,0.00
37,2018-2019,Tamil Nadu,075850216,Arul Shelter Home Trust,4/85 Muthugoundaner Palarpathi P Kinathukadavu Pollachi TKCoimbatore641045,126290659.81
38,2018-2019,Tamil Nadu,076080061,Arunachala Village School Trust,Vediyappanur Village Adiannamalai PostTiruvannamalai (TamilNadu)-606604,5095729.00
39,2018-2019,Tamil Nadu,075900720,Arunodhaya Centre For Street And Working Children,15 Bazar Street  Royapuram.Chennai Tamilnadu-600013,2157608.95
40,2018-2019,Tamil Nadu,075960032,Assn.for Integ.devpt Through Edu &action,Myiladuthurai Tamil Nadu -,0.00
41,2018-2019,Tamil Nadu,075820217,Association For Community Developmet Services,3/260 Sathankuppam  Po-kelambakkamDistrict-kancheepuram Tamil Nadu.-603103,3748896.00
42,2018-2019,Tamil Nadu,076010018,Association For Community Training,Mugaujur South Arcot -605755,2314894.00
43,2018-2019,Tamil Nadu,076010112,Association For Development  Through  Integration  And Co.,64 L.i. G.    Anna Nagar Anai KuppamCuddalore Tamil Nadu -607001,0.00
44,2018-2019,Tamil Nadu,076030247,Association For Integrated Rural Development,Valliyoor  Ramalingapuram TherkuvalliyoorNellai Kattabomman Tamil Nadu-,17709.06
45,2018-2019,Tamil Nadu,076030253,Association For Rural And Tribal Improvement,Thirumalai Village & Post Polur TalukDist-  Thiruvannamalai Tamil Nadu-606907,708378.00
46,2018-2019,Tamil Nadu,075940165,Association For Rural Development,4/339 Thriuveni Nagar  Nagamalaipudukkottai Madurai Tamil Nadu-,9604940.00
47,2018-2019,Tamil Nadu,075820276,Association for the Rural Womens Education for Liberation,MAPP  Main Road Sadras Kalpakkam KanjeepuramTamilnadu-603102,0.00
48,2018-2019,Tamil Nadu,075850246,Association For Womens Welfare And Tribal Development Turst (AWARTD),15/167-C KurumpapalayamVedapatti Post641007,0.00
49,2018-2019,Tamil Nadu,075960123,Association of Rural Upliftment and Needful Alternative Trust,"NO.3 VISALATCHI NAGAR OPP GKM PETROL BUNK
THIRUVAIYARU THANJAVUR DT TAMILNADU-613204.THANJAVUR613204",0.00
50,2018-2019,Tamil Nadu,075930035,AUGUSTINE EDUCATIONAL AND CHARITABLE TRUST,S. Preethi Group of Colleges Arasanoor Thirumansolai PostSivagangai TalukRamanathapuram630601,0.00
51,2018-2019,Tamil Nadu,076060079,AVALPOONDURAI ARIMASANGA ARAKKATTALAI,6  1-A PALANIGOUNDAN VALASUAVALPOONDURAI638115,0.00
52,2018-2019,Tamil Nadu,075850050,Avinashilingaminstitute For Home Science,And Higher Education For Women Deemd UniversityCoimbatore- 641043-,105000.00
53,2018-2019,Tamil Nadu,075901044,Avvai Home and Orphanage,24/41 Besant Avenue Adyar ChennaiTamilnadu-600020,7418024.12
54,2018-2019,Tamil Nadu,075960015,Avvai Village Welfare Society,Manalmedu KilvelurNagapattinam-,0.00
55,2018-2019,Tamil Nadu,075890219,Awareness For Women And Action For Rural Development,4/73-A Paloor JunctionKarungal Post629157,0.00
56,2018-2019,Tamil Nadu,076160041,B.S.W & V.V. TRUST,"5/27 JAIN NAGAR  ARUMUGANERI PIN:-628202
THIRUCHENDUR TALUK
TUTICORIN DISTRICT
ARUMUGANERI628202",0.00
57,2018-2019,Tamil Nadu,075900615,Balavidyalaya Trust,18 1st Cross StreetShastri Nagar600020,2129088.00
58,2018-2019,Tamil Nadu,076060076,Bannari Rural Foundation,Bannari Amman Sugars Complex AlathukombaiSathymangalam638401,0.00
59,2018-2019,Tamil Nadu,075850319,BANNARIAMMAN EDUCATIONAL TRUST,1212 TRICHY ROADCOIMBATORE641018,0.00
